entropy,EpRewMean,entloss,surrgain,EpisodesSoFar,EpLenMean,EpThisIter,TimestepsSoFar,EpTrueRewMean,ev_tdlam_before,meankl,optimgain,TimeElapsed
4.913758,105.51959,0.0,0.12471821,1343,847.975,1,790565,3166.5804651953395,0.4044150114059448,0.011316927,0.12471821,3203.7162120342255
4.9156475,105.34414,0.0,0.13194795,1344,847.975,1,791565,3161.9868494292327,0.5442596077919006,0.013275385,0.13194795,3207.8205325603485
4.8895216,105.173874,0.0,0.14263812,1345,844.075,1,792409,3154.880014337291,0.643756240606308,0.014980551,0.14263812,3211.9086277484894
4.815489,104.70166,0.0,0.13189349,1347,840.8,2,793515,3136.6624941976374,0.7165383100509644,0.013093295,0.13189349,3216.0117132663727
4.795251,101.31328,0.0,0.10171915,1349,818.675,2,794630,3063.425256141566,0.670703113079071,0.011493889,0.10171915,3220.089318752289
4.807348,102.70061,0.0,0.107321754,1350,827.325,1,795630,3107.7299507941098,0.3901534080505371,0.013094161,0.107321754,3224.194367170334
4.810614,102.83364,0.0,0.11351937,1352,823.175,2,796682,3090.5202036975543,0.8285211622714996,0.012351802,0.11351937,3228.299962043762
4.8242865,103.67019,0.0,0.12062074,1353,824.75,1,797433,3104.5564348087114,0.7748436331748962,0.013030075,0.12062074,3232.381997346878
4.7974806,99.56444,0.0,0.13566414,1355,806.25,2,798693,3016.6066290796807,0.7837548553943634,0.013348099,0.13566414,3236.485428094864
4.774256,99.34859,0.0,0.123134464,1356,805.05,1,799110,3010.222502400546,0.751893937587738,0.0128513295,0.123134464,3240.585130214691
4.7431235,99.94827,0.0,0.10236934,1357,809.275,1,800110,3027.401738685986,0.29415780305862427,0.011978899,0.10236934,3244.6774802207947
4.731996,101.861595,0.0,0.12766525,1358,828.775,1,801074,3109.7482996868516,0.7452412843704224,0.0129178595,0.12766525,3248.7728934288025
4.7143955,102.52405,0.0,0.12904727,1359,828.775,1,802074,3106.6386235494147,0.5777214765548706,0.011804145,0.12904727,3252.8650522232056
4.6835575,102.28402,0.0,0.13448352,1360,826.625,1,802988,3103.245414162663,0.7977568358182907,0.013219336,0.13448352,3256.9569852352142
4.7011175,101.5986,0.0,0.13896543,1361,824.225,1,803682,3088.202007598415,0.6589097380638123,0.012802403,0.13896543,3261.045197725296
4.7131963,100.619835,0.0,0.12633173,1363,820.5,2,805002,3054.006158704249,0.8117349594831467,0.011418492,0.12633173,3265.137416124344
4.705811,100.95154,0.0,0.119403355,1364,820.5,1,806002,3068.107397559427,0.589972198009491,0.013170771,0.119403355,3269.228889465332
