EpisodesSoFar,TimeElapsed,surrgain,meankl,ev_tdlam_before,TimestepsSoFar,entropy,EpThisIter,EpTrueRewMean,EpLenMean,EpRewMean,entloss,optimgain
4002,8168.654767036438,0.0638327,0.005258845,0.6796618103981018,2031273,1.0663551,2,2524.6874543178883,667.875,36.788147,0.0,0.0638327
4004,8172.725414991379,0.13046587,0.014981139,0.9180595949292183,2032273,1.0460798,2,2445.76212090856,651.05,36.377678,0.0,0.13046587
4007,8176.7987859249115,0.0724955,0.0039949724,0.8447128385305405,2034069,1.0511031,3,2449.873993237888,651.825,36.241524,0.0,0.0724955
4010,8180.86051607132,0.19901228,0.014012771,0.9032811895012856,2035359,1.056799,3,2433.554685378087,650.05,36.22599,0.0,0.19901228
4012,8184.931070566177,0.08570637,0.003881528,0.9101265892386436,2035985,1.0675119,2,2322.774420060101,626.45,35.231655,0.0,0.08570637
4014,8189.0002155303955,0.067652665,0.0037761284,0.7616327255964279,2037234,1.074095,2,2273.47027875147,615.4,34.64734,0.0,0.067652665
4016,8193.075733423233,0.15175861,0.013954065,0.9444383755326271,2038089,1.0729438,2,2294.311267734122,619.25,34.96643,0.0,0.15175861
4017,8197.149124622345,0.1387535,0.01402249,0.8807161897420883,2038536,1.0651343,1,2230.1934443443474,605.425,34.073994,0.0,0.1387535
4019,8201.234223127365,0.06878091,0.0044904836,0.8942666277289391,2039798,1.0672356,2,2264.7360099294133,612.95,33.827564,0.0,0.06878091
4022,8205.313977479935,0.09034893,0.004785624,0.8913394957780838,2041187,1.0618981,3,2219.2687838001084,599.65,33.286522,0.0,0.09034893
4024,8209.406378746033,0.0809829,0.0048464285,0.9001919776201248,2041941,1.0531142,2,2176.4204924119576,592.425,32.555885,0.0,0.0809829
4026,8213.47671341896,0.12364101,0.013608264,0.7139576077461243,2043263,1.0505621,2,2099.597760091974,575.475,32.04704,0.0,0.12364101
4028,8217.557773590088,0.081769794,0.0041290834,0.8873826712369919,2044552,1.0657892,2,2146.942752017484,586.7,32.819042,0.0,0.081769794
4029,8222.061030864716,0.12651998,0.013133232,0.9279478937387466,2045450,1.0688242,1,2230.142538779905,603.875,33.693718,0.0,0.12651998
4031,8226.138710737228,0.29313585,0.014513643,0.6306671500205994,2046648,1.061585,2,2134.351194540178,583.85,32.948406,0.0,0.29313585
4032,8230.206525564194,0.12983441,0.013403979,0.073611319065094,2047648,1.045355,1,2141.8641298748926,585.825,32.914337,0.0,0.12983441
4035,8234.272342205048,0.1337021,0.014675927,0.8777288421988487,2048902,1.0538478,3,1961.6077180152104,546.875,30.58223,0.0,0.1337021
4036,8238.35967874527,0.065328255,0.003754741,0.6747141182422638,2049902,1.0522767,1,2002.1861560647478,558.05,30.764439,0.0,0.065328255
4039,8242.444294452667,0.09216085,0.013034994,0.810952290892601,2050907,1.0445943,3,1909.6528024998483,541.025,29.959747,0.0,0.09216085
4041,8246.515343904495,0.07960223,0.00415875,0.7743871808052063,2052194,1.0399402,2,1904.162598174654,538.0,30.253796,0.0,0.07960223
4043,8250.58699798584,0.08394922,0.0040043993,0.7282626032829285,2053782,1.03154,2,1970.368664319955,549.35,30.947193,0.0,0.08394922
4044,8254.667779445648,0.19003367,0.0142830005,0.031366705894470215,2054249,1.0313412,1,1971.6199833784256,549.4,32.521595,0.0,0.19003367
4046,8258.739905834198,0.1273537,0.013237594,0.8704759478569031,2054738,1.0390468,2,1866.8128083755905,527.525,31.820185,0.0,0.1273537
4048,8262.820585489273,0.15863428,0.013627479,0.8882833868265152,2055575,1.039039,2,1836.9112098660692,522.25,31.693531,0.0,0.15863428
4050,8266.890972614288,0.15044382,0.01332701,0.7314274311065674,2056898,1.0294324,2,1924.1051682083125,538.475,32.504787,0.0,0.15044382
4051,8270.980204820633,0.121019304,0.014483571,0.9084653779864311,2057366,1.028055,1,1932.9272407529002,541.55,32.44152,0.0,0.121019304
4053,8275.039977788925,0.118537426,0.014835337,0.9034236371517181,2058320,1.0216374,2,1900.7615113219977,533.375,31.773737,0.0,0.118537426
4054,8279.121528148651,0.06485973,0.0038280524,0.8122405111789703,2058640,1.0248334,1,1906.1981135643364,535.15,32.06814,0.0,0.06485973
4057,8283.205734491348,0.12612188,0.014566384,0.9444962181150913,2059712,1.0216008,3,1861.4872522830399,529.4,31.495499,0.0,0.12612188
4059,8287.29725241661,0.17088161,0.013615627,0.8166687339544296,2061274,1.0175548,2,1896.229052775372,536.9,32.123554,0.0,0.17088161
4060,8291.36742568016,0.117455274,0.012825705,0.6300734877586365,2062274,0.99671924,1,1955.1821841068056,550.1,32.4683,0.0,0.117455274
4061,8295.445247411728,0.086114675,0.0140829645,0.6907848119735718,2063274,1.000709,1,2018.6100799546298,565.05,33.057793,0.0,0.086114675
4063,8299.519959926605,0.09757957,0.004224837,0.756038099527359,2064749,1.0091857,2,2083.7946312172535,577.5,33.647625,0.0,0.09757957
4064,8303.593669176102,0.0751451,0.0038027135,0.8339286595582962,2065597,1.0115143,1,2147.949134842981,591.4,34.23284,0.0,0.0751451
4066,8307.672326087952,0.078098334,0.003841898,0.8736379891633987,2066674,1.0053191,2,2122.5485588102006,585.275,33.792305,0.0,0.078098334
4067,8311.729173183441,0.20986776,0.014374669,0.37454599142074585,2067674,1.0109781,1,2170.5878229050854,594.725,34.578243,0.0,0.20986776
4069,8315.831516504288,0.07394718,0.0038100083,0.9190094694495201,2068265,1.0084615,2,2050.0697751119274,570.375,33.79003,0.0,0.07394718
4072,8319.918694972992,0.14000595,0.0135627985,0.7346917986869812,2069409,0.99607855,3,1951.4835015910871,544.025,32.344532,0.0,0.14000595
4073,8323.997084379196,0.07338237,0.003960415,0.560878723859787,2070409,0.99093056,1,1994.871389069852,552.925,32.996254,0.0,0.07338237
4074,8328.08169555664,0.07202878,0.0047748643,0.5403569936752319,2071396,0.9922012,1,2080.1385275375137,571.775,34.178192,0.0,0.07202878
4075,8332.16110420227,0.12655786,0.01346213,0.7443164587020874,2072396,0.9869476,1,2157.8039664394455,587.35,35.131317,0.0,0.12655786
4076,8336.24996304512,0.11610444,0.004892444,0.8518072217702866,2072913,0.980042,1,2112.127784518517,575.275,35.079834,0.0,0.11610444
4078,8340.325643062592,0.13015935,0.013388764,0.9124439507722855,2073926,0.9651027,2,2149.081202425081,581.4,35.387733,0.0,0.13015935
4079,8344.438325881958,0.08544499,0.0038346788,0.8810234814882278,2074542,0.95499223,1,2204.1514748944646,590.875,36.24309,0.0,0.08544499
4081,8348.525752544403,0.07100488,0.004508492,0.9403616450726986,2075740,0.9666743,2,2180.2442056645805,588.65,35.90141,0.0,0.07100488
4083,8352.617933273315,0.14537127,0.013085507,0.8931180313229561,2076473,0.9670654,2,2060.3857970913837,567.275,34.65716,0.0,0.14537127
4086,8356.702178478241,0.15774328,0.014748305,0.9121089428663254,2077509,0.9690915,3,2072.7824238484145,569.275,33.1704,0.0,0.15774328
