Logging to /tmp/Walker2d-v2_1/
Total trajectorues: 1
Total transitions: 1000
Average returns: 3664.405313
Std for returns: 0.000000
Pretraining with Behavior Cloning...
Training loss: 3.775716781616211, Validation loss: 3.054130792617798
Training loss: 0.03204435482621193, Validation loss: 0.31365540623664856
Training loss: 0.0030985919293016195, Validation loss: 0.30913981795310974
Training loss: 0.0005486989975906909, Validation loss: 0.30774328112602234
Training loss: 0.0002289752446813509, Validation loss: 0.31543996930122375
Training loss: 0.00015037457342259586, Validation loss: 0.3231689929962158
Training loss: 0.0001568095904076472, Validation loss: 0.3282693922519684
Training loss: 6.593432044610381e-05, Validation loss: 0.3298865854740143
Training loss: 5.557714030146599e-05, Validation loss: 0.33104124665260315
Training loss: 4.1026742110261694e-05, Validation loss: 0.3307400941848755
