ev_tdlam_before,EpThisIter,meankl,entloss,EpLenMean,entropy,TimestepsSoFar,optimgain,surrgain,TimeElapsed,EpRewMean,EpisodesSoFar
-0.06260967254638672,1,0.00861435,0.0,999.0,1.4189401,999,0.0067107095,0.0067107095,0.8721504211425781,-105.96002382801265,1
-0.014104247093200684,1,0.009222191,0.0,999.0,1.4189401,1998,0.00920264,0.00920264,1.5381693840026855,-105.43621352347529,2
0.05114912986755371,1,0.008671412,0.0,999.0,1.4189401,2997,0.0026935225,0.0026935225,2.206068277359009,-102.73568975866982,3
0.05891925096511841,1,0.0050975806,0.0,931.75,1.4189401,3727,0.017196793,0.017196793,2.885249376296997,-71.9243345519317,4
0.25165969133377075,2,0.00816593,0.0,782.3333333333334,1.4189401,4694,0.017243091,0.017243091,3.5506930351257324,-33.34105049711358,6
0.37810343503952026,3,0.009549982,0.0,666.1111111111111,1.4189401,5995,0.011452275,0.011452275,4.3103015422821045,-5.594308832413058,9
0.4948481321334839,3,0.0078109065,0.0,578.25,1.4189401,6939,0.013116221,0.013116221,5.001011848449707,10.796470758634976,12
0.6337466835975647,5,0.006019732,0.0,472.8235294117647,1.4189401,8038,0.008779884,0.008779884,5.699737548828125,27.49572832493812,17
0.7221392691135406,5,0.0063954815,0.0,411.54545454545456,1.4189401,9054,0.0082408525,0.0082408525,6.379580020904541,37.150248063396816,22
0.7800319492816925,5,0.009385765,0.0,372.44444444444446,1.4189401,10056,0.004212856,0.004212856,7.081690073013306,42.914482790870444,27
0.8757847771048546,6,0.008324714,0.0,340.90909090909093,1.4189401,11250,0.008820573,0.008820573,7.769125461578369,47.778929441887165,33
0.8814362287521362,5,0.009385662,0.0,322.1842105263158,1.4189401,12243,0.019914828,0.019914828,8.470351934432983,51.00451536562136,38
0.839682012796402,5,0.005069678,0.0,256.45,1.4189401,13255,0.0064886874,0.0064886874,9.16698694229126,64.68127108175729,43
0.8657140284776688,6,0.0072961412,0.0,205.65,1.4189401,14221,0.008670094,0.008670094,9.85960340499878,69.45536797068738,49
0.8492022454738617,6,0.0074732425,0.0,190.7,1.4189401,15222,0.0067569045,0.0067569045,10.529737949371338,70.46569330819523,55
