EpisodesSoFar,surrgain,meankl,entropy,TimeElapsed,entloss,EpTrueRewMean,TimestepsSoFar,EpThisIter,EpLenMean,EpRewMean,ev_tdlam_before,optimgain
917,0.06968911,0.006988479,3.4842525,2857.162999391556,0.0,-3387.077161728589,917000,1,1000.0,103.7746,0.9182301238179207,0.06968911
918,0.06052717,0.004810718,3.4721916,2860.5979104042053,0.0,-3401.4287805649947,918000,1,1000.0,103.84424,0.9569218568503857,0.06052717
919,0.06271281,0.0057145976,3.4890509,2864.485881090164,0.0,-3401.786492475397,919000,1,1000.0,106.93645,0.4557802081108093,0.06271281
920,0.036379784,0.0042611165,3.482232,2867.964930534363,0.0,-3418.618201840299,920000,1,1000.0,106.95803,0.7904278039932251,0.036379784
921,0.027441703,0.012000845,3.4992437,2871.4238743782043,0.0,-3419.888424565184,921000,1,1000.0,110.45046,0.8224018663167953,0.027441703
922,0.02656851,0.0048617506,3.4804907,2874.8824379444122,0.0,-3410.3525141149194,922000,1,1000.0,115.2343,0.12241888046264648,0.02656851
923,0.030724648,0.0049808673,3.4628928,2878.7277879714966,0.0,-3408.8440573663197,923000,1,1000.0,117.840744,0.15043342113494873,0.030724648
924,0.02567203,0.0044084303,3.4513772,2882.1928141117096,0.0,-3426.247847834652,924000,1,1000.0,117.30798,-0.11195719242095947,0.02567203
926,0.058117017,0.0077639287,3.4473855,2885.6469337940216,0.0,-3423.518837365083,926000,2,1000.0,126.0792,0.3300430178642273,0.058117017
927,0.042461693,0.0061744344,3.448341,2889.108641386032,0.0,-3419.3905595583624,927000,1,1000.0,130.83577,0.4389336109161377,0.042461693
928,0.04712905,0.0116953105,3.4479058,2892.5660881996155,0.0,-3403.995141689701,928000,1,1000.0,126.69564,0.604208767414093,0.04712905
929,0.016815327,0.008127982,3.4357016,2896.0542964935303,0.0,-3400.2572648437044,929000,1,1000.0,127.81339,0.7782563865184784,0.016815327
930,0.026850615,0.010277044,3.4298315,2899.529787540436,0.0,-3409.093221774241,930000,1,1000.0,130.77284,0.770922526717186,0.026850615
931,0.02702164,0.003950174,3.4041116,2903.0077035427094,0.0,-3405.0286620877364,931000,1,1000.0,132.32352,0.36327558755874634,0.02702164
932,0.07660635,0.0066271895,3.4052436,2906.4537472724915,0.0,-3425.355677637809,932000,1,1000.0,133.39548,0.7065978050231934,0.07660635
933,0.031239148,0.0058562635,3.421966,2909.893303871155,0.0,-3433.8244559236946,933000,1,1000.0,134.26163,-0.1182166337966919,0.031239148
934,0.03771263,0.004227532,3.3985217,2913.3647241592407,0.0,-3456.598973748606,934000,1,1000.0,135.57828,0.8416738212108612,0.03771263
935,0.10764269,0.0052032163,3.3995078,2916.8197798728943,0.0,-3448.0924071455456,935000,1,1000.0,133.48538,0.04191863536834717,0.10764269
936,0.07109329,0.010265546,3.3961864,2920.2687978744507,0.0,-3442.312577251448,936000,1,1000.0,130.70383,0.8521371632814407,0.07109329
937,0.03644864,0.0046555344,3.3861916,2923.729678630829,0.0,-3429.928783260858,937000,1,1000.0,129.2013,-0.08397769927978516,0.03644864
938,0.024317697,0.0100343805,3.4256592,2927.1982700824738,0.0,-3418.7862987637736,938000,1,1000.0,127.44369,0.165027916431427,0.024317697
939,0.07566662,0.0073315706,3.4234245,2930.6418993473053,0.0,-3408.571482162383,939000,1,1000.0,126.326195,0.15875446796417236,0.07566662
940,0.08873454,0.008475509,3.4110496,2934.0920741558075,0.0,-3394.3119692529594,940000,1,1000.0,124.89844,0.07596796751022339,0.08873454
941,0.039228447,0.005093136,3.4035928,2937.5389127731323,0.0,-3406.37972151266,941000,1,1000.0,126.06914,0.002392709255218506,0.039228447
942,0.06572893,0.008816865,3.3949807,2941.008489370346,0.0,-3394.508196810956,942000,1,1000.0,125.7509,0.2559366226196289,0.06572893
943,0.19767165,0.008081943,3.3853152,2944.4365174770355,0.0,-3386.3851704824674,943000,1,1000.0,125.416214,0.5712124407291412,0.19767165
944,0.10347003,0.01203824,3.3825371,2947.9073116779327,0.0,-3377.624762950049,944000,1,1000.0,122.79224,0.727398008108139,0.10347003
945,0.062179092,0.00872656,3.3973088,2951.3694105148315,0.0,-3397.1068958902165,945000,1,1000.0,124.51377,0.7143573462963104,0.062179092
