entropy,EpRewMean,EpisodesSoFar,TimestepsSoFar,EpLenMean,entloss,optimgain,ev_tdlam_before,TimeElapsed,meankl,EpThisIter,surrgain
1.3332669,-90.19419466386476,1,999,999.0,0.0,0.021926805,0.0018131136894226074,0.8287172317504883,0.010197382,1,0.021926805
1.2401124,-90.11609969516812,2,1998,999.0,0.0,0.021228269,0.052225351333618164,1.4933247566223145,0.010222767,1,0.021228269
1.186278,-82.42040522244183,3,2997,999.0,0.0,0.019040246,0.17115241289138794,2.15161395072937,0.00855154,1,0.019040246
1.2051392,-46.16081087288598,4,3577,894.25,0.0,0.037262034,0.06537526845932007,2.812849283218384,0.0069583403,1,0.037262034
1.1473231,-49.35672987812181,5,4576,915.2,0.0,0.009406915,-4.660362243652344,3.455833911895752,0.009547068,1,0.009406915
1.1597438,-33.116674731947136,6,5307,884.5,0.0,0.00887643,0.1392783522605896,4.112943172454834,0.0057161427,1,0.00887643
1.1503805,-23.710536356490092,8,6722,840.25,0.0,0.017682893,0.22859960794448853,4.76755166053772,0.007614675,2,0.017682893
1.1397549,-9.05172466289566,10,7934,793.4,0.0,0.0120045375,0.19308322668075562,5.435723781585693,0.0066724564,2,0.0120045375
1.2135679,9.235011618068036,13,9074,698.0,0.0,0.011755311,0.3219597339630127,6.097526550292969,0.008040864,3,0.011755311
1.2518665,13.317665912288007,14,9478,677.0,0.0,0.0081841145,0.3732919692993164,6.767944812774658,0.006787342,1,0.0081841145
1.2383422,23.678107217698496,18,11220,623.3333333333334,0.0,0.027028818,0.3925648331642151,7.434800863265991,0.005878908,4,0.027028818
1.2043712,29.596370473516945,21,12178,579.9047619047619,0.0,0.008980285,0.45463013648986816,8.088296890258789,0.005192876,3,0.008980285
1.2136841,35.95172465237149,25,13268,530.72,0.0,0.009993954,0.5162992179393768,8.746421098709106,0.005343391,4,0.009993954
1.1831813,42.860405533717845,30,14287,476.23333333333335,0.0,0.008935707,0.6118319928646088,9.42548418045044,0.0066947946,5,0.008935707
1.1609803,47.96947427764184,35,15219,434.8285714285714,0.0,0.0066997716,0.607340544462204,10.089094161987305,0.0032979213,5,0.0066997716
1.099518,51.71023927272423,40,16237,405.925,0.0,0.009414711,0.6016327142715454,10.742579221725464,0.008823808,5,0.009414711
1.1250088,68.60062429784082,46,17315,300.2,0.0,0.0076932954,0.6855525076389313,11.403414964675903,0.006347762,6,0.0076932954
