surrgain,EpTrueRewMean,entropy,TimeElapsed,EpThisIter,ev_tdlam_before,EpRewMean,entloss,meankl,TimestepsSoFar,EpisodesSoFar,optimgain,EpLenMean
0.06827936,451.99807936728337,8.161544,166.1056785583496,1,0.818058043718338,364.78778,0.0,0.0073057883,37930,238,0.06827936,516.075
0.056749217,463.45103526719686,8.200639,170.3392243385315,2,0.7500941753387451,380.1932,0.0,0.006072753,39390,240,0.056749217,542.025
0.07241692,482.33977834887247,8.227066,174.57935976982117,1,0.8943102210760117,390.07193,0.0,0.0058627063,40266,241,0.07241692,557.225
0.061600804,483.42562326275885,8.206664,178.820787191391,1,0.006974637508392334,390.91196,0.0,0.006825813,41266,242,0.061600804,561.9
0.072286576,492.4949883759993,8.168591,183.05787992477417,1,0.22550612688064575,402.0241,0.0,0.0067896983,42266,243,0.072286576,581.15
0.06747018,490.0851309395066,8.153003,187.2900369167328,1,0.9252036884427071,400.5714,0.0,0.006044561,42560,244,0.06747018,580.15
0.09146789,502.8037015577453,8.147901,191.52171802520752,1,0.9592404663562775,408.0252,0.0,0.0063677495,43272,245,0.09146789,592.375
0.080557436,514.8972127043764,8.15303,195.75571632385254,2,0.9678098484873772,411.7242,0.0,0.0062451735,44497,247,0.080557436,601.825
0.050392874,518.8823875383749,8.15544,199.99032473564148,1,0.015112578868865967,418.79462,0.0,0.006570586,45497,248,0.050392874,616.35
0.08538912,516.8811442403031,8.1347065,204.2201280593872,2,0.9389939457178116,420.47745,0.0,0.006820457,46567,250,0.08538912,623.075
0.06698407,527.4646708267535,8.129102,208.45569348335266,1,0.13807713985443115,431.8559,0.0,0.007220822,47567,251,0.06698407,644.05
0.070218414,538.7836662552527,8.115646,212.69390082359314,1,-0.050782084465026855,443.21307,0.0,0.0064267153,48567,252,0.070218414,665.6
0.06726326,549.4788988590092,8.114304,216.92772698402405,1,-0.4647533893585205,449.18692,0.0,0.0071674334,49567,253,0.06726326,679.1
0.07178065,559.8163817592258,8.116761,221.16098999977112,2,0.9434221424162388,455.792,0.0,0.006724884,50745,255,0.07178065,694.175
0.053527802,560.9464204172668,8.124146,225.40134191513062,1,0.03406858444213867,452.05972,0.0,0.0073717674,51745,256,0.053527802,694.175
0.07463693,574.8409344431981,8.129195,229.64321637153625,1,0.0002605915069580078,462.82916,0.0,0.006826501,52745,257,0.07463693,714.65
0.06606434,587.1826640997452,8.09851,233.88691902160645,1,-0.021946310997009277,471.5913,0.0,0.0067038317,53745,258,0.06606434,732.875
0.06228125,602.6823717807772,8.113205,238.12391662597656,1,-0.10000383853912354,478.0416,0.0,0.007087433,54745,259,0.06228125,747.1
0.056276273,603.8264849773116,8.150284,242.3676962852478,1,-0.022040367126464844,474.9249,0.0,0.006459481,55745,260,0.056276273,748.4
