surrgain,EpRewMean,meankl,EpisodesSoFar,EpTrueRewMean,TimeElapsed,TimestepsSoFar,entloss,EpThisIter,EpLenMean,ev_tdlam_before,entropy,optimgain
0.42423838,0.4184622,0.0060529425,17112,405.39315752716357,31062.866738319397,1349273,0.0,13,81.075,0.002427220344543457,23.58337,0.42423838
0.27482665,0.46802774,0.0053832876,17123,436.24831286827873,31086.056784152985,1350303,0.0,11,87.2,0.07617545127868652,23.58362,0.27482665
0.31582463,0.47410163,0.0053667515,17135,431.6690006724716,31109.06962108612,1351342,0.0,12,86.025,-0.22341465950012207,23.584026,0.31582463
0.3317182,0.58761317,0.0047494937,17145,459.3312116362569,31131.936982154846,1352383,0.0,10,91.8,0.023369252681732178,23.584835,0.3317182
0.14378837,0.4726065,0.0073615476,17158,454.4865164013421,31155.2820250988,1353422,0.0,13,90.4,-0.7454245090484619,23.583506,0.14378837
0.19194001,0.4356113,0.0048560714,17170,445.10619966348565,31178.430139303207,1354419,0.0,12,87.775,-0.07209324836730957,23.58483,0.19194001
0.1877961,0.31441125,0.0065743816,17183,423.25409906493206,31201.74427008629,1355485,0.0,13,84.075,-0.6292314529418945,23.585115,0.1877961
4.521163,0.33425236,0.009225263,17195,416.2235555783047,31225.174376249313,1356489,0.0,12,82.8,-0.2253021001815796,23.584316,4.521163
0.24737832,0.31228003,0.005373521,17208,415.7655557353131,31248.437903165817,1357508,0.0,13,82.625,0.17107445001602173,23.583494,0.24737832
0.19009,0.35077086,0.005874227,17220,415.67723167957865,31271.716316223145,1358520,0.0,12,82.375,0.059855103492736816,23.58443,0.19009
0.23333922,0.34626666,0.00663443,17233,416.8787731211486,31295.511188983917,1359569,0.0,13,82.225,-0.1249915361404419,23.583858,0.23333922
0.22833735,0.32095218,0.005216225,17245,413.2137361743197,31318.929455041885,1360564,0.0,12,81.475,0.07670724391937256,23.582073,0.22833735
0.22120586,0.30218583,0.005579888,17259,404.0754692786675,31342.249789237976,1361649,0.0,14,80.65,-0.10034418106079102,23.578655,0.22120586
0.17630501,0.35676163,0.005181801,17271,393.6948515312515,31365.531638145447,1362610,0.0,12,78.475,-0.7040715217590332,23.579945,0.17630501
0.22399989,0.33796233,0.0053196545,17285,385.1089869758609,31388.527266025543,1363650,0.0,14,77.15,-0.4492778778076172,23.579622,0.22399989
0.21320474,0.37784666,0.005667502,17298,388.99235872154924,31411.62301516533,1364651,0.0,13,77.275,-0.7016115188598633,23.579233,0.21320474
0.40838924,0.5032037,0.0060543157,17311,392.9697479244733,31435.209081172943,1365728,0.0,13,77.95,-0.12754178047180176,23.578287,0.40838924
0.16474316,0.4955786,0.005199196,17324,401.20463378843334,31459.209895133972,1366757,0.0,13,79.075,-0.04449176788330078,23.578611,0.16474316
