surrgain,TimeElapsed,meankl,EpLenMean,EpThisIter,entloss,EpRewMean,EpisodesSoFar,entropy,TimestepsSoFar,optimgain,ev_tdlam_before
0.02798045,0.8311562538146973,0.010339917,999.0,1,0.0,-105.92660308123203,1,1.3339832,999,0.02798045,0.00030803680419921875
0.017119523,1.4934484958648682,0.010144887,999.0,1,0.0,-94.22068519554018,2,1.2403811,1998,0.017119523,-0.03187215328216553
0.019140061,2.160687208175659,0.009852309,999.0,1,0.0,-86.67223858510975,3,1.1490941,2997,0.019140061,0.29355108737945557
0.021214679,2.8287956714630127,0.009949151,999.0,1,0.0,-80.54683907649968,4,1.0849608,3996,0.021214679,0.3243172764778137
0.01734891,3.4816129207611084,0.0099731935,999.0,1,0.0,-76.68146510651115,5,0.99276745,4995,0.01734891,-9.453296661376953e-05
0.009611873,4.161265850067139,0.009568997,999.0,1,0.0,-71.00365221334094,6,0.9402848,5994,0.009611873,0.460168719291687
0.009154962,4.8242552280426025,0.005432522,981.8571428571429,1,0.0,-51.807434193475686,7,0.9690776,6873,0.009154962,0.03237348794937134
0.014164154,5.4858598709106445,0.00946108,984.0,1,0.0,-50.78063353298726,8,0.9662532,7872,0.014164154,-3.3621349334716797
0.010704357,6.156348466873169,0.008565737,954.5555555555555,1,0.0,-37.628870654688896,9,0.9783025,8591,0.010704357,0.06816971302032471
0.020104911,6.819467782974243,0.008065671,896.8181818181819,2,0.0,-17.951968513740454,11,1.0566255,9865,0.020104911,0.11965453624725342
0.018071491,7.480629205703735,0.008174436,855.5384615384615,2,0.0,-5.393545151391209,13,1.0793748,11122,0.018071491,0.09138607978820801
0.0124583,8.158084630966187,0.00737658,804.8666666666667,2,0.0,4.858114068328857,15,1.0794456,12073,0.0124583,0.1598215103149414
0.0074329646,8.816202163696289,0.005043897,738.8888888888889,3,0.0,16.65095693410023,18,1.0810184,13300,0.0074329646,0.26173096895217896
0.015414671,9.461374998092651,0.008938403,679.4761904761905,3,0.0,25.656502287943898,21,1.0734158,14269,0.015414671,0.3778425455093384
0.02806976,10.125320434570312,0.007863277,630.0,3,0.0,32.74615379151005,24,1.056541,15120,0.02806976,0.4204196333885193
0.009773146,10.788432121276855,0.008754455,560.1379310344828,5,0.0,41.488694261890785,29,0.9810944,16244,0.009773146,0.42643845081329346
0.014397744,11.448659896850586,0.0093096,520.1515151515151,4,0.0,47.05422628517991,33,0.96601117,17165,0.014397744,0.5266706347465515
0.015472462,12.120527982711792,0.009275083,480.6842105263158,5,0.0,52.02959750754266,38,0.9482403,18266,0.015472462,0.5022577345371246
0.010534645,12.776719093322754,0.008378265,405.675,5,0.0,66.5569202636899,43,0.9048696,19224,0.010534645,0.6074832081794739
0.015827954,13.444443464279175,0.007945102,296.2,6,0.0,81.24761422097899,49,0.83401537,20439,0.015827954,0.6230457425117493
0.009339754,14.103836297988892,0.0059310216,233.1,6,0.0,84.26792617280776,55,0.78908527,21397,0.009339754,0.6870140731334686
0.01114325,14.773803234100342,0.0047287457,203.525,6,0.0,85.83269636289526,61,0.7907238,22410,0.01114325,0.673277348279953
0.009080801,15.435983896255493,0.0060143154,187.55,6,0.0,86.97726512146926,67,0.79415137,23375,0.009080801,0.7099347710609436
0.013597101,16.08295750617981,0.0093293525,177.075,7,0.0,87.22424503934324,74,0.79194623,24569,0.013597101,0.7465899288654327
0.016425744,16.7404146194458,0.009768946,172.775,5,0.0,87.55628849368779,79,0.76678485,25406,0.016425744,0.7541042417287827
0.014293119,17.401578903198242,0.0060953223,166.4,7,0.0,88.14740836298462,86,0.73586065,26548,0.014293119,0.7581865787506104
0.01690873,18.073050498962402,0.008143436,160.6,7,0.0,88.1425183878654,93,0.7163365,27556,0.01690873,0.7448990046977997
0.033135924,18.73527765274048,0.0062736482,162.55,6,0.0,88.01030210454199,99,0.7562007,28584,0.033135924,0.8041578233242035
0.010341259,19.398226976394653,0.0078662345,159.3,7,0.0,87.85760563819898,106,0.7162421,29591,0.010341259,0.8568988889455795
0.008264274,20.058480739593506,0.008807458,158.4,6,0.0,87.84567472751041,112,0.6740364,30604,0.008264274,0.8395493477582932
0.016685855,20.725725412368774,0.009105343,157.95,7,0.0,88.07081027723521,119,0.6596,31724,0.016685855,0.8523753583431244
0.009182388,21.390384674072266,0.0067477236,159.0,6,0.0,87.89775310049818,125,0.63629127,32756,0.009182388,0.8491605520248413
0.012914652,22.056387901306152,0.007676516,159.15,6,0.0,88.41924358309242,131,0.6029816,33660,0.012914652,0.8386380523443222
0.010905619,22.711666107177734,0.007999731,155.525,7,0.0,88.32761422760316,138,0.5622151,34693,0.010905619,0.8912583887577057
0.019559383,23.376423120498657,0.0078580035,158.925,7,0.0,87.85597512025306,145,0.5981858,35807,0.019559383,0.8857271373271942
0.011092906,24.032086610794067,0.009649517,158.05,6,0.0,87.80989255334275,151,0.56539893,36788,0.011092906,0.9247983768582344
0.016929522,24.690226078033447,0.0084593715,161.525,6,0.0,87.1396742756173,157,0.51677984,37860,0.016929522,0.9448592402040958
0.009145489,25.355043649673462,0.008930227,157.025,7,0.0,87.24659958748458,164,0.47344875,38858,0.009145489,0.7976839393377304
0.006749343,26.02853226661682,0.008024078,153.1,7,0.0,87.4678915261139,171,0.44610217,39784,0.006749343,0.8987410590052605
0.023561439,26.6864013671875,0.007156768,153.725,7,0.0,87.65039608745684,178,0.44677714,40842,0.023561439,0.9572101607918739
0.018708522,27.35054111480713,0.008774053,153.225,7,0.0,88.0213314356671,185,0.45336178,41936,0.018708522,0.9592094235122204
