entloss,EpThisIter,EpisodesSoFar,EpLenMean,meankl,optimgain,EpRewMean,TimeElapsed,surrgain,TimestepsSoFar,entropy,ev_tdlam_before
0.0,1,1,999.0,0.010216413,0.022948269,-101.39613901328276,0.8477301597595215,0.022948269,999,1.328917,0.008923232555389404
0.0,1,2,999.0,0.0103000365,0.024173416,-94.76095898224747,1.5040793418884277,0.024173416,1998,1.2606369,-0.053316593170166016
0.0,1,3,999.0,0.010188881,0.023060739,-89.78841346549602,2.1595590114593506,0.023060739,2997,1.1731315,-0.08129966259002686
0.0,1,4,999.0,0.010092467,0.0110516995,-82.42237582760121,2.8179402351379395,0.0110516995,3996,1.0981611,-0.23602163791656494
0.0,1,5,999.0,0.0100969,0.018300427,-77.08407452205189,3.4766812324523926,0.018300427,4995,1.0017567,-0.1520540714263916
0.0,1,6,999.0,0.009701641,0.020211529,-71.39956025699824,4.133018970489502,0.020211529,5994,0.93779796,0.019750356674194336
0.0,1,7,999.0,0.008655775,0.01067344,-67.60879102522952,4.801551580429077,0.01067344,6993,0.8543833,-0.14605319499969482
0.0,1,8,949.875,0.008054787,0.022223491,-49.43869728878493,5.456504583358765,0.022223491,7599,0.8524305,0.03232365846633911
0.0,1,9,926.7777777777778,0.006403732,0.00034831674,-35.60123205038157,6.135108947753906,0.00034831674,8341,0.825518,0.13232046365737915
0.0,1,10,934.0,0.0076380707,0.012206655,-35.18612255207487,6.782490968704224,0.012206655,9340,0.7554551,-5.806386947631836
0.0,2,12,930.8333333333334,0.0068277605,0.0075107436,-25.511990669965474,7.428665637969971,0.0075107436,11170,0.7182332,0.14806485176086426
0.0,1,13,924.6153846153846,0.0065089474,0.015280204,-17.56433106651055,8.080597639083862,0.015280204,12020,0.7013647,0.15121185779571533
0.0,2,15,880.4666666666667,0.008727774,0.011660421,-4.044312641235327,8.729061603546143,0.011660421,13207,0.63937664,0.18465906381607056
0.0,1,16,869.0,0.004492833,0.0061733206,1.4359379059450461,9.39224910736084,0.0061733206,13904,0.6081975,0.30940860509872437
0.0,2,18,836.8333333333334,0.0078545185,0.00941864,10.902087511940575,10.046147346496582,0.00941864,15063,0.54050875,0.2698788642883301
0.0,2,20,800.7,0.008963764,0.009940135,18.782008321198383,10.713966608047485,0.009940135,16014,0.46269965,0.37840110063552856
0.0,3,23,752.2608695652174,0.008056167,0.011408935,28.342338895451423,11.383796215057373,0.011408935,17302,0.45196125,0.492131769657135
0.0,1,24,741.0,0.007644198,0.016883364,30.95333572178718,12.042066097259521,0.016883364,17784,0.464608,0.510020524263382
0.0,2,26,728.3846153846154,0.006621893,0.013620744,35.500738227168476,12.698029518127441,0.013620744,18938,0.50022864,0.5594500303268433
0.0,3,29,705.6206896551724,0.0055159065,0.01606163,41.11848957569792,13.362536907196045,0.01606163,20463,0.52630275,0.5657264590263367
0.0,1,30,697.6666666666666,0.008015225,0.016446855,42.7370549670372,14.004935503005981,0.016446855,20930,0.5065849,0.6444359421730042
0.0,3,33,681.3939393939394,0.009986109,0.018919267,46.92129888393731,14.66161847114563,0.018919267,22486,0.5177763,0.6520569324493408
0.0,3,36,645.8611111111111,0.0074501364,0.004629474,50.8259371875265,15.329771995544434,0.004629474,23251,0.52007365,0.682252049446106
0.0,3,39,625.1282051282051,0.0069528306,0.010533567,53.93078231914693,16.00144600868225,0.010533567,24380,0.5078728,0.7038775086402893
0.0,4,43,562.775,0.008609571,0.018897692,68.56319616518347,16.673527717590332,0.018897692,25508,0.52359,0.6741044223308563
0.0,3,46,507.575,0.005807475,0.018638747,79.4531007087035,17.339067935943604,0.018638747,26297,0.54187346,0.753121480345726
0.0,4,50,452.775,0.005528631,0.009114457,86.75070522123954,17.98848032951355,0.009114457,27451,0.5792702,0.7904178649187088
0.0,3,53,407.15,0.009412441,0.011254979,90.61472429970787,18.654712200164795,0.011254979,28306,0.56840533,0.7510752975940704
0.0,4,57,376.175,0.010570291,0.0070849257,91.29370899387044,19.29803705215454,0.0070849257,29655,0.51283956,0.7794824987649918
0.0,3,60,359.075,0.006470815,0.020563602,91.4139293162241,19.96158742904663,0.020563602,30377,0.5538169,0.8175860494375229
0.0,5,65,328.875,0.005675092,0.012138747,91.43657637105692,20.623759984970093,0.012138747,31669,0.53415763,0.8189976662397385
0.0,3,68,311.9,0.008365078,0.014027529,91.45548816261808,21.289491891860962,0.014027529,32508,0.5201798,0.8348131328821182
0.0,5,73,281.425,0.008133513,0.018530572,91.74675977598501,21.961189031600952,0.018530572,33743,0.48987964,0.8533110320568085
0.0,4,77,272.7,0.007924492,0.016212586,91.5637806559778,22.621047735214233,0.016212586,34712,0.5236024,0.8583493232727051
0.0,5,82,263.55,0.0068738395,0.012890776,91.26849774945894,23.282829999923706,0.012890776,35818,0.5330361,0.8455089628696442
0.0,5,87,252.55,0.007374399,0.019989459,91.14569661339951,23.94367551803589,0.019989459,36787,0.51929754,0.9313027709722519
0.0,4,91,249.275,0.0066804904,0.014595292,90.9274792018246,24.613950490951538,0.014595292,37716,0.53449583,0.8594610244035721
0.0,5,96,238.25,0.009114509,0.022337442,90.62225353124026,25.278171062469482,0.022337442,38900,0.5488357,0.9144143611192703
0.0,5,101,226.825,0.009996354,0.012088063,90.66231673572182,25.925337553024292,0.012088063,39880,0.5000687,0.8975815922021866
0.0,5,106,225.525,0.00844998,0.013332313,90.58937229552188,26.580177545547485,0.013332313,40944,0.48572138,0.9626172259449959
0.0,5,111,215.125,0.009867461,0.018934544,90.66306419825828,27.24763536453247,0.018934544,41886,0.45505884,0.9458623342216015
0.0,5,116,211.275,0.007727191,0.020591984,90.65131411024075,27.909982442855835,0.020591984,42933,0.47106934,0.9568254239857197
0.0,5,121,205.975,0.0063671917,0.011621203,90.82498883696805,28.57416009902954,0.011621203,43839,0.44169644,0.9072231203317642
0.0,6,127,205.525,0.009431824,0.011208476,90.72952735833906,29.234955549240112,0.011208476,45008,0.38020828,0.9703641477972269
0.0,6,133,194.65,0.009239972,0.011601719,91.01860247254615,29.896471977233887,0.011601719,45925,0.31483802,0.9302579015493393
0.0,5,138,191.55,0.0065091196,0.010352176,90.93440112304144,30.55512309074402,0.010352176,46976,0.29662716,0.9190420359373093
0.0,6,144,186.375,0.007092597,0.0118537415,90.98103671056029,31.219900608062744,0.0118537415,48007,0.31023553,0.969708351418376
0.0,6,150,186.15,0.008217433,0.0071015116,90.96441709902237,31.879305362701416,0.0071015116,49138,0.2525688,0.9519803933799267
0.0,6,156,180.525,0.0070338016,0.012624473,90.79569131496893,32.538875341415405,0.012624473,50154,0.24286985,0.9398095309734344
0.0,6,162,176.575,0.0074957013,0.01626039,90.72726041950122,33.19982409477234,0.01626039,51096,0.23839962,0.9744046963751316
0.0,6,168,175.175,0.007842153,0.008772214,90.6439225365706,33.862385749816895,0.008772214,52214,0.19863525,0.936779111623764
0.0,5,173,178.525,0.0042527374,0.0048168083,90.43499728969046,34.52549958229065,0.0048168083,53066,0.19916157,0.9135060682892799
0.0,7,180,170.55,0.006186131,0.014336627,90.95175747184805,35.195096492767334,0.014336627,54172,0.16651607,0.9614744484424591
0.0,8,188,162.9,0.009042535,0.0134426905,91.28073719137592,35.860753297805786,0.0134426905,55241,0.14821795,0.9875068869441748
0.0,6,194,158.425,0.0071378616,0.009455611,91.68137273057475,36.52112889289856,0.009455611,56196,0.14094925,0.9821563046425581
0.0,6,200,164.15,0.008612219,0.016578453,91.69382466469635,37.18419599533081,0.016578453,57287,0.11849475,0.9655887074768543
0.0,7,207,155.95,0.009122062,0.014085213,92.12148591580225,37.84469199180603,0.014085213,58303,0.0847832,0.9793416224420071
0.0,7,214,151.775,0.0076164748,0.012324917,92.36761879372924,38.50126004219055,0.012324917,59361,0.14328702,0.9634711891412735
0.0,7,221,151.225,0.00946567,0.02304053,92.0857882913414,39.16829490661621,0.02304053,60333,0.16657567,0.9585244990885258
0.0,8,229,151.05,0.009986329,0.02073294,91.8165347636249,39.81534147262573,0.02073294,61438,0.18078677,0.9697363078594208
0.0,7,236,146.075,0.008392177,0.015230199,91.84460558202761,40.49300527572632,0.015230199,62432,0.21777712,0.987587864510715
0.0,7,243,141.225,0.008018717,0.014590597,91.7467326871883,41.155731201171875,0.014590597,63389,0.26886955,0.9838533401489258
0.0,7,250,140.775,0.007247028,0.010165915,91.52380252185904,41.81960129737854,0.010165915,64408,0.27374136,0.9704319424927235
0.0,7,257,141.175,0.007519,0.010495564,91.18666397881576,42.47993206977844,0.010495564,65425,0.2932411,0.9768108204007149
0.0,7,264,142.2,0.008822188,0.017399855,90.9229971388052,43.15630865097046,0.017399855,66476,0.28311792,0.9841164164245129
0.0,7,271,145.1,0.009609887,0.017612282,90.72405354439772,43.8204345703125,0.017612282,67469,0.23813626,0.988173509016633
0.0,8,279,143.5,0.012008371,0.026294379,90.69295620015527,44.488218784332275,0.026294379,68575,0.24494755,0.9801712520420551
0.0,7,286,142.525,0.008459713,0.016856305,90.85364474573832,45.149827003479004,0.016856305,69552,0.26841748,0.9856139644980431
0.0,7,293,144.625,0.009067452,0.014838749,90.97004468990352,45.813798666000366,0.014838749,70628,0.28351974,0.9944014381617308
0.0,7,300,144.625,0.009323092,0.014606028,91.22392768669076,46.48176050186157,0.014606028,71664,0.26887515,0.9936705222353339
0.0,7,307,143.9,0.00723329,0.0135840615,91.07339162769759,47.14662575721741,0.0135840615,72644,0.3040527,0.9484269767999649
0.0,6,313,147.625,0.009817421,0.012415312,90.99214321319384,47.80434060096741,0.012415312,73610,0.26741242,0.9342177733778954
0.0,8,321,147.375,0.008100441,0.015192144,90.97160941255575,48.45554566383362,0.015192144,74722,0.2930323,0.9662891589105129
0.0,7,328,147.95,0.009916196,0.022530925,90.56613092356825,49.113394260406494,0.022530925,75762,0.2377987,0.9738640859723091
0.0,7,335,146.55,0.00834804,0.01577993,90.55491690889622,49.76695775985718,0.01577993,76781,0.22408485,0.9196082279086113
0.0,7,342,145.725,0.0106389,0.015114636,90.45719568964256,50.43091177940369,0.015114636,77771,0.22121388,0.9691394809633493
0.0,7,349,147.0,0.010341624,0.014770956,90.23527854315887,51.092907190322876,0.014770956,78844,0.17708604,0.9900840576738119
0.0,7,356,143.4,0.009037489,0.018435987,90.23165772573348,51.75174307823181,0.018435987,79768,0.15837115,0.9328208044171333
0.0,8,364,140.825,0.011063965,0.0137692345,90.36157805535754,52.41432762145996,0.0137692345,80848,0.14000322,0.9871957441791892
0.0,7,371,138.55,0.007327051,0.013398885,90.58388703051838,53.07469844818115,0.013398885,81767,0.1520024,0.8761445134878159
0.0,8,379,138.3,0.009480199,0.022323038,90.6733257802542,53.74897742271423,0.022323038,82915,0.15846178,0.9776769392192364
0.0,7,386,137.375,0.00979894,0.022747733,90.75108306476491,54.41181206703186,0.022747733,83900,0.16612989,0.9611713476479053
0.0,8,394,135.7,0.008616019,0.012813158,91.11626265113712,55.0703067779541,0.012813158,84908,0.16566278,0.9079980552196503
0.0,7,401,137.8,0.007006572,0.016468711,90.84407444013337,55.72230052947998,0.016468711,85922,0.14610475,0.9151040613651276
0.0,9,410,135.275,0.009216174,0.010791937,91.0240802680726,56.383978605270386,0.010791937,87017,0.11746025,0.9493336118757725
0.0,9,419,127.8,0.005557771,0.011483327,91.35021878369685,57.05315566062927,0.011483327,88027,0.09055988,0.9294848814606667
0.0,8,427,123.675,0.010804266,0.021525627,91.53566717111227,57.711235761642456,0.021525627,88965,0.06317422,0.9315096214413643
0.0,9,436,122.9,0.008619569,0.012623613,91.41844175536191,58.364152669906616,0.012623613,90100,0.07854999,0.9733937103301287
0.0,7,443,122.55,0.008405719,0.016516078,91.50807016493195,59.01475667953491,0.016516078,91020,0.089370705,0.9708763994276524
0.0,9,452,120.725,0.01058393,0.020555072,91.6171935829387,59.65666174888611,0.020555072,92142,0.056939602,0.9569229409098625
0.0,8,460,123.375,0.009624648,0.010556695,91.41021878437039,60.319681882858276,0.010556695,93066,0.043805122,0.9602841325104237
0.0,10,470,120.275,0.009592358,0.025126316,91.61949123531399,60.979527711868286,0.025126316,94198,0.014000893,0.9563585855066776
0.0,8,478,121.025,0.009148678,0.013146187,91.47720284443496,61.62956500053406,0.013146187,95223,0.019170664,0.9382376410067081
0.0,8,486,122.65,0.0086990995,0.021514904,91.24353779302987,62.28382754325867,0.021514904,96238,0.027181555,0.9576171934604645
0.0,10,496,114.5,0.007963398,0.01575309,91.75000897803189,62.94454216957092,0.01575309,97234,0.065792054,0.9658276923000813
0.0,10,506,111.45,0.008505228,0.024530794,91.73028109582853,63.619505167007446,0.024530794,98230,0.110667296,0.9479255229234695
0.0,11,517,106.625,0.009050921,0.023083858,91.83027507098338,64.28153371810913,0.023083858,99313,0.10272877,0.9886684808880091
0.0,10,527,98.925,0.008616442,0.020884361,92.22077281378355,64.95329427719116,0.020884361,100305,0.10575106,0.9852635711431503
