EpisodesSoFar,entloss,entropy,EpRewMean,EpLenMean,optimgain,meankl,TimeElapsed,surrgain,ev_tdlam_before,EpThisIter,TimestepsSoFar
1,0.0,1.4189401,-103.82016232332445,999.0,0.008296524,0.00861397,0.6881470680236816,0.008296524,-0.0008820295333862305,1,999
2,0.0,1.4189401,-102.34208555060488,999.0,0.010435436,0.008995513,1.2306320667266846,0.010435436,-0.3251911401748657,1,1998
3,0.0,1.4189401,-104.29266298628102,999.0,0.006435843,0.0068141893,1.9176695346832275,0.006435843,0.46006155014038086,1,2997
4,0.0,1.4189401,-72.12305336519255,914.25,0.013219976,0.007797458,2.596524715423584,0.013219976,0.03317272663116455,1,3657
7,0.0,1.4189401,-19.448664042592746,714.8571428571429,0.013491411,0.008549435,3.2937214374542236,0.013491411,0.1830785870552063,3,5004
10,0.0,1.4189401,7.228931640411,588.5,0.007867249,0.0049397196,3.986380100250244,0.007867249,0.31060922145843506,3,5885
14,0.0,1.4189401,24.172236441675096,508.85714285714283,0.017484412,0.0074895318,4.668511390686035,0.017484412,0.447745144367218,4,7124
16,0.0,1.4189401,28.617455408156687,489.75,0.01019888,0.0065471753,5.3614606857299805,0.01019888,0.4236389398574829,2,7836
20,0.0,1.4189401,34.90559858879853,451.65,0.013301833,0.008370912,6.035395383834839,0.013301833,0.667129248380661,4,9033
25,0.0,1.4189401,41.74740021843971,407.0,0.019893713,0.010704169,6.725606918334961,0.019893713,0.7604154944419861,5,10175
29,0.0,1.4189401,45.25511154522483,384.2758620689655,0.01671167,0.008510607,7.43107271194458,0.01671167,0.8220426142215729,4,11144
34,0.0,1.4189401,47.73621929233724,361.4117647058824,0.013486455,0.008576005,8.125305891036987,0.013486455,0.8513686060905457,5,12288
40,0.0,1.4189401,51.296375210996324,331.575,0.018764526,0.006801826,8.793610572814941,0.018764526,0.8682164549827576,6,13263
46,0.0,1.4189401,66.10249116343583,244.1,0.012486339,0.0070933634,9.49193000793457,0.012486339,0.9363718032836914,6,14239
51,0.0,1.4189401,66.77038075464255,228.325,0.0096786255,0.006982039,10.177697658538818,0.0096786255,0.9466402642428875,5,15346
56,0.0,1.4189401,67.54736285154347,209.6,0.0072212014,0.0052871425,10.841909885406494,0.0072212014,0.9032707586884499,5,16220
62,0.0,1.4189401,68.3957471698254,195.675,0.019358046,0.008572452,11.519294500350952,0.019358046,0.8363891690969467,6,17324
67,0.0,1.4189401,68.05034750079673,187.925,0.0067651616,0.0051996945,12.210984945297241,0.0067651616,0.9460622370243073,5,18299
73,0.0,1.4189401,68.17789947825032,180.0,0.01325735,0.009133297,12.917217016220093,0.01325735,0.9606379792094231,6,19310
80,0.0,1.4189401,67.88671370099571,180.375,0.008276295,0.005882713,13.609179496765137,0.008276295,0.9350574016571045,7,20478
86,0.0,1.4189401,68.36326657364434,178.175,0.017751288,0.0075957035,14.31256365776062,0.017751288,0.9345595687627792,6,21366
93,0.0,1.4189401,68.5275101881399,170.475,0.008557838,0.008066835,14.994688749313354,0.008557838,0.9784766230732203,7,22494
99,0.0,1.4189401,68.99868724702277,164.225,0.011148836,0.0067646895,15.685343265533447,0.011148836,0.9736063592135906,6,23433
106,0.0,1.4189401,69.56889688953889,160.725,0.010565494,0.009052638,16.382625579833984,0.010565494,0.9432276077568531,7,24496
113,0.0,1.4189401,70.99133949882952,153.85,0.015184196,0.006025181,17.048243045806885,0.015184196,0.9713258258998394,7,25464
122,0.0,1.4189401,71.9122800623159,145.1,0.008915968,0.005479292,17.7184157371521,0.008915968,0.9770066980272532,9,26609
129,0.0,1.4189401,72.45439814788642,142.4,0.0097642215,0.007952134,18.41085934638977,0.0097642215,0.9268685206770897,7,27574
137,0.0,1.4189401,72.97535402301438,138.65,0.015741527,0.0067187343,19.08678913116455,0.015741527,0.9777925610542297,8,28645
144,0.0,1.4189401,73.12928450152693,136.9,0.011698891,0.008166783,19.783676862716675,0.011698891,0.9280919432640076,7,29669
153,0.0,1.4189401,73.31260078296876,131.275,0.00864411,0.005586977,20.471715688705444,0.00864411,0.9296979308128357,9,30715
161,0.0,1.4189401,73.82832399742892,130.025,0.015254291,0.0070855487,21.14850640296936,0.015254291,0.9447752237319946,8,31694
170,0.0,1.4189401,74.0773430374939,124.85,0.011181071,0.0077530667,21.848302841186523,0.011181071,0.9351920783519745,9,32689
179,0.0,1.4189401,73.95136882453134,121.375,0.019512605,0.00852941,22.525959968566895,0.019512605,0.9069340229034424,9,33701
189,0.0,1.4189401,74.28732931644807,111.975,0.016453683,0.0075723836,23.216654777526855,0.016453683,0.973638353869319,10,34778
201,0.0,1.4189401,74.57599104790526,103.25,0.011063906,0.007958623,23.891488313674927,0.011063906,0.9645396880805492,12,35824
211,0.0,1.4189401,74.18393564075788,99.45,0.022702096,0.0071169166,24.58244514465332,0.022702096,0.9825189504772425,10,36818
222,0.0,1.4189401,74.40588440796421,95.15,0.009676447,0.007748815,25.28819465637207,0.009676447,0.9567038230597973,11,37815
234,0.0,1.4189401,75.7125330095108,90.525,0.012796069,0.006567519,25.980085611343384,0.012796069,0.986348319798708,12,38867
245,0.0,1.4189401,75.23173372212662,92.4,0.011468269,0.0076668,26.685962915420532,0.011468269,0.9766284413635731,11,39904
258,0.0,1.4189401,76.57441419402203,86.675,0.017936155,0.008091234,27.376412630081177,0.017936155,0.9852678347378969,13,40941
270,0.0,1.4189401,76.03706134601063,85.625,0.010883493,0.008353884,28.075897693634033,0.010883493,0.9908235315233469,12,41970
280,0.0,1.4189401,75.67460910197003,88.5,0.010000154,0.0046380376,28.77760887145996,0.010000154,0.8652215749025345,10,42967
291,0.0,1.4189401,74.49191369382952,89.575,0.010927801,0.0050552282,29.472885370254517,0.010927801,0.9393628276884556,11,43979
303,0.0,1.4189401,74.0653742432525,91.15,0.011055289,0.0062411744,30.176403284072876,0.011055289,0.984704589471221,12,45024
315,0.0,1.4189401,73.3940665004228,91.65,0.014065659,0.00697004,30.872259378433228,0.014065659,0.9418288208544254,12,46068
328,0.0,1.4189401,73.43199047012091,87.45,0.012269978,0.0065696426,31.556483507156372,0.012269978,0.9518894627690315,13,47084
341,0.0,1.4189401,73.22749894895385,83.5,0.016543064,0.008845424,32.25791835784912,0.016543064,0.9849580023437738,13,48126
354,0.0,1.4189401,73.52257836103554,78.55,0.010264038,0.008249842,32.963338136672974,0.010264038,0.9893069248646498,13,49130
366,0.0,1.4189401,73.31564240793048,80.875,0.0129441805,0.0053617703,33.64016914367676,0.0129441805,0.9658592604100704,12,50168
378,0.0,1.4189401,73.95681540105251,83.325,0.013070091,0.007522353,34.33314299583435,0.013070091,0.9252754002809525,12,51186
