entloss,TimestepsSoFar,meankl,entropy,ev_tdlam_before,optimgain,EpLenMean,EpTrueRewMean,EpRewMean,TimeElapsed,surrgain,EpisodesSoFar,EpThisIter
0.0,311558,0.0044866567,23.63819,0.6558778285980225,0.22844969,88.775,430.845959878987,4.2957907,1425.276142835617,0.22844969,4128,11
0.0,312580,0.004485473,23.6403,0.7894227355718613,0.14994168,87.125,417.7282211446956,3.9255843,1429.8942697048187,0.14994168,4140,12
0.0,313622,0.0040880693,23.640703,0.7471476197242737,0.20990716,87.45,421.58926943780625,4.057547,1434.76411485672,0.20990716,4151,11
0.0,314623,0.004304763,23.640219,0.7509292960166931,0.16024317,89.025,434.0120988061193,4.324601,1439.8977785110474,0.16024317,4162,11
0.0,315628,0.0045141163,23.640154,0.6305645406246185,0.1665918,92.225,449.1845255031665,4.3607535,1444.5682101249695,0.1665918,4172,10
0.0,316706,0.004433312,23.638205,0.7598983496427536,0.16053486,92.75,453.46113038710916,4.7465267,1449.2165126800537,0.16053486,4184,12
0.0,317756,0.0039819293,23.638163,0.7591095864772797,0.16098829,92.775,451.4333437580684,4.581559,1453.8809361457825,0.16098829,4196,12
0.0,318793,0.004365235,23.635515,0.7798171192407608,0.16100141,90.375,438.1213625946869,4.206934,1458.517249584198,0.16100141,4207,11
0.0,319803,0.00423841,23.637934,0.7497817873954773,0.163205,88.15,427.0224571591146,3.8868382,1463.170156955719,0.163205,4219,12
0.0,320809,0.003967773,23.64022,0.5927751064300537,0.1608622,87.85,429.6191379464252,3.9370487,1467.8314471244812,0.1608622,4231,12
0.0,321796,0.0044336086,23.6404,0.7620880156755447,0.16246825,87.25,425.7089208883941,3.9086251,1472.508677482605,0.16246825,4242,11
0.0,322791,0.0042651966,23.639956,0.7622979283332825,0.15942478,87.175,428.14499724145537,3.9570184,1477.1515159606934,0.15942478,4253,11
0.0,323837,0.00450481,23.640156,0.7350128889083862,0.16319972,88.15,431.5821425130668,3.721087,1481.829295873642,0.16319972,4265,12
0.0,324833,0.0040508555,23.640219,0.811697319149971,0.16874343,89.85,434.33766599203466,3.5647511,1486.5038876533508,0.16874343,4275,10
0.0,325815,0.0043258816,23.640444,0.6873351335525513,0.1901625,94.125,449.78472693192214,3.6653476,1491.1747484207153,0.1901625,4285,10
0.0,326815,0.00433838,23.64136,0.5321643054485321,0.2237099,93.75,448.5762233906289,3.8441715,1495.8523161411285,0.2237099,4296,11
0.0,327847,0.0042263484,23.640543,0.762002095580101,0.16876324,93.925,454.147636902322,4.0644646,1500.4995965957642,0.16876324,4308,12
0.0,328830,0.004416827,23.639585,0.6236857175827026,0.17485654,88.55,435.23681052896865,4.095978,1505.1596267223358,0.17485654,4320,12
0.0,329822,0.004588271,23.63914,0.7191497385501862,0.15827923,83.825,412.76243233346383,3.7539997,1509.83189868927,0.15827923,4332,12
0.0,330819,0.004477352,23.639082,0.8076619207859039,0.1670719,87.0,430.0484230268663,3.7777314,1514.4999833106995,0.1670719,4343,11
0.0,331910,0.0041939355,23.638407,0.6214396953582764,0.14899042,87.225,428.1460844046105,3.7671578,1519.162629365921,0.14899042,4355,12
0.0,333009,0.0042737676,23.635725,0.7346655428409576,0.15556543,91.05,443.86658231147504,3.667958,1524.2917776107788,0.15556543,4366,11
0.0,334075,0.004632459,23.635256,0.697215348482132,0.20704809,90.825,447.93110935101396,4.0878477,1528.9324057102203,0.20704809,4378,12
0.0,335125,0.005057076,23.635271,0.6298897862434387,0.20873083,92.625,457.25494528291085,4.215152,1533.563993215561,0.20873083,4389,11
0.0,336144,0.0040557915,23.63045,0.6585516333580017,0.15949962,92.775,461.95727799965186,4.151213,1538.1819231510162,0.15949962,4400,11
0.0,337225,0.0041931933,23.630697,0.7985645830631256,0.14552556,92.25,455.98316352513336,3.8711562,1542.7971415519714,0.14552556,4412,12
0.0,338222,0.0042008567,23.632076,0.7656352669000626,0.15750003,91.675,446.598550073332,3.6364846,1547.7570452690125,0.15750003,4424,12
0.0,339240,0.004500579,23.633467,0.6441228091716766,0.16216399,86.575,416.8180202766563,3.506461,1552.3639345169067,0.16216399,4436,12
0.0,340280,0.005050273,23.634764,0.6957622170448303,0.19753513,86.575,415.56748972289114,3.6571298,1556.9659540653229,0.19753513,4447,11
0.0,341309,0.004044785,23.635675,0.7927760183811188,0.15574858,87.35,422.3270889983768,3.670496,1561.7511734962463,0.15574858,4459,12
0.0,342386,0.00554691,23.634504,0.7572600841522217,0.1902134,90.4,440.46013068043965,3.7418015,1566.361338376999,0.1902134,4471,12
0.0,343344,0.0040645357,23.633547,0.8315743058919907,0.15431485,89.875,441.8031623064734,3.6386604,1570.9745607376099,0.15431485,4481,10
0.0,344284,0.004215761,23.63621,0.6548060178756714,0.16408826,88.625,437.41381407471124,3.5097923,1575.5844581127167,0.16408826,4492,11
0.0,345236,0.004576003,23.636248,0.7184573709964752,0.15939814,88.95,440.5797242294069,3.6597266,1580.2048456668854,0.15939814,4503,11
0.0,346398,0.0045683663,23.634687,0.6629965603351593,0.17897463,94.1,461.036779871408,3.6227803,1584.8282399177551,0.17897463,4514,11
0.0,347404,0.0050598853,23.633076,0.6626287698745728,0.17663857,91.175,443.7282105640452,3.524594,1589.5002975463867,0.17663857,4526,12
0.0,348497,0.0042611277,23.63281,0.7351279258728027,0.17052199,90.225,433.79413069388283,3.268814,1594.2624788284302,0.17052199,4539,13
0.0,349510,0.006647545,23.632486,0.582246869802475,1.2429397,86.4,410.9811413938957,3.208936,1598.999891281128,1.2429397,4551,12
0.0,350507,0.004498342,23.631342,0.7171248495578766,0.16426441,80.25,381.4965574365832,2.8311372,1603.7375910282135,0.16426441,4564,13
0.0,351480,0.004568966,23.630129,0.7578752785921097,0.17095418,84.7,404.14307942523186,3.145919,1608.4695982933044,0.17095418,4574,10
0.0,352526,0.0044270526,23.629087,0.6509295403957367,0.16589221,87.625,427.4288755604795,3.5068405,1613.3883123397827,0.16589221,4585,11
0.0,353580,0.00448461,23.628595,0.6077135503292084,0.1651763,89.5,439.5411507112951,3.581189,1618.3288326263428,0.1651763,4597,12
0.0,354593,0.0045599677,23.62956,0.5672150552272797,0.17469141,89.65,442.11300213722916,3.7606812,1622.9666657447815,0.17469141,4609,12
