EpThisIter,entropy,optimgain,EpisodesSoFar,meankl,ev_tdlam_before,EpRewMean,EpLenMean,surrgain,TimeElapsed,TimestepsSoFar,entloss
1,1.3228465,0.022864878,1,0.0101508405,-0.00893557071685791,-92.16754473497986,999.0,0.022864878,0.6529982089996338,999,0.0
1,1.2264256,0.017662905,2,0.010135099,-0.7263108491897583,-87.05441365915212,999.0,0.017662905,1.1533803939819336,1998,0.0
1,1.1350008,0.015659068,3,0.010280656,-0.1332240104675293,-81.42984334669484,999.0,0.015659068,1.7756071090698242,2997,0.0
1,1.065126,0.015976902,4,0.009586684,-0.03033280372619629,-76.18209502772591,999.0,0.015976902,2.437810182571411,3996,0.0
1,1.0436994,0.010081878,5,0.008753093,0.01480025053024292,-51.02832233939024,980.8,0.010081878,3.0797595977783203,4904,0.0
3,1.1111687,0.026871596,8,0.0074069835,0.14668649435043335,-2.1267805637215744,759.875,0.026871596,3.7463881969451904,6079,0.0
1,1.1336607,0.019134806,9,0.0075973906,0.08264154195785522,4.567916451387203,760.4444444444445,0.019134806,4.406970739364624,6844,0.0
3,1.1660762,0.011351237,12,0.00720614,0.16707360744476318,22.029475964245535,679.3333333333334,0.011351237,5.080264091491699,8152,0.0
3,1.1616149,0.012283036,15,0.0075475555,0.19012147188186646,32.7671710344836,611.5333333333333,0.012283036,5.733954191207886,9173,0.0
4,1.2106615,0.004538049,19,0.007854395,0.26990634202957153,43.09043483053843,533.8947368421053,0.004538049,6.397789001464844,10144,0.0
3,1.2790424,0.010931191,22,0.006746363,0.35396915674209595,48.07576096823332,495.1818181818182,0.010931191,7.055063724517822,10894,0.0
4,1.2920849,0.0076067825,26,0.008054385,0.4504129886627197,52.108158157726095,465.15384615384613,0.0076067825,7.708611488342285,12094,0.0
5,1.266077,0.0070940917,31,0.0060120923,0.5328443646430969,56.33448583187542,425.03225806451616,0.0070940917,8.368736743927002,13176,0.0
5,1.249756,0.022436403,36,0.008794498,0.5205748379230499,59.31900200192825,395.97222222222223,0.022436403,9.019205570220947,14255,0.0
4,1.2364364,0.012960554,40,0.0072957957,0.5482495427131653,60.76665269809447,383.9,0.012960554,9.678681135177612,15356,0.0
4,1.208588,0.01007619,44,0.006712354,0.6155705451965332,76.42607883776314,304.3,0.01007619,10.337891578674316,16168,0.0
6,1.236055,0.015486107,50,0.007117024,0.6666331589221954,77.93975491706729,250.475,0.015486107,11.009371995925903,17279,0.0
6,1.1626942,0.017248653,56,0.009904224,0.5849512815475464,78.3623688467939,225.55,0.017248653,11.677976369857788,18425,0.0
6,1.1258185,0.014048932,62,0.0068856333,0.6992748081684113,78.76106731935961,212.425,0.014048932,12.350143432617188,19391,0.0
5,1.1084896,0.0070799724,67,0.008070873,0.6823176443576813,79.68431663880838,198.85,0.0070799724,13.013128757476807,20324,0.0
6,1.1402419,0.010379847,73,0.0072203204,0.6863848567008972,79.87864869061654,196.675,0.010379847,13.679500579833984,21474,0.0
4,1.1137441,0.009115829,77,0.006845283,0.7566596567630768,80.02646845655106,200.325,0.009115829,14.342082977294922,22498,0.0
5,1.105062,0.010303162,82,0.0064726504,0.7812088578939438,81.08808902754019,190.175,0.010303162,15.012203454971313,23456,0.0
5,1.117396,0.008517403,87,0.0036846725,0.7715869098901749,81.07167163369095,193.175,0.008517403,15.674966812133789,24454,0.0
6,1.0464534,0.012061442,93,0.008934474,0.8167673796415329,81.62570883585468,190.625,0.012061442,16.334943294525146,25473,0.0
6,1.028473,0.01512327,99,0.0067357533,0.8401189148426056,82.293206360097,193.25,0.01512327,17.003224849700928,26613,0.0
6,1.0137717,0.0069427015,105,0.007165099,0.8850574642419815,82.69540932880393,194.35,0.0069427015,17.682183742523193,27637,0.0
5,1.0410752,0.015161375,110,0.008422395,0.81406669318676,83.29648653976275,192.55,0.015161375,18.34601593017578,28576,0.0
5,1.0513822,0.006942815,115,0.0065410305,0.8802332133054733,84.02296215570348,189.175,0.006942815,19.01761794090271,29601,0.0
5,0.98677206,0.008295858,120,0.0071977326,0.8499782383441925,84.56177223464533,185.125,0.008295858,19.684988498687744,30488,0.0
5,1.0310365,0.015723433,125,0.007236803,0.8917461186647415,84.36318979764515,187.15,0.015723433,20.356653213500977,31548,0.0
7,1.0276033,0.015875874,132,0.0071485015,0.9312620609998703,84.21080774534502,184.625,0.015875874,21.014638662338257,32699,0.0
6,1.013437,0.012055819,138,0.007612167,0.8917175978422165,83.82487227469291,182.2,0.012055819,21.663912296295166,33628,0.0
7,0.9707932,0.008390971,145,0.0050254846,0.9381534643471241,83.68457137451632,177.0,0.008390971,22.321989059448242,34717,0.0
6,0.9625412,0.014190032,151,0.0067801,0.9458119124174118,83.62730039475505,176.575,0.014190032,22.995840549468994,35790,0.0
5,0.9481126,0.009982541,156,0.0068576555,0.9111540466547012,83.58825978627233,172.55,0.009982541,23.656350135803223,36650,0.0
6,0.97841656,0.016655454,162,0.0057174573,0.889561764895916,84.10374047900116,170.15,0.016655454,24.313347339630127,37776,0.0
6,1.0100784,0.011182541,168,0.00662975,0.9319907128810883,84.10334047346879,167.875,0.011182541,24.975598335266113,38770,0.0
6,0.9510822,0.008951831,174,0.0098635815,0.8825468048453331,84.05820436651165,167.7,0.008951831,25.637859106063843,39754,0.0
7,0.9514388,0.009454843,181,0.0061741034,0.9397611990571022,83.77717740218927,169.075,0.009454843,26.29467010498047,40937,0.0
6,0.9440441,0.017487925,187,0.009133624,0.9547886252403259,83.43819418295112,168.825,0.017487925,26.947484493255615,41837,0.0
8,0.9078674,0.01215096,195,0.00786145,0.9560407623648643,83.71776322703722,162.95,0.01215096,27.61612319946289,42964,0.0
