TimeElapsed,ev_tdlam_before,entropy,EpisodesSoFar,TimestepsSoFar,EpRewMean,meankl,EpLenMean,surrgain,EpTrueRewMean,EpThisIter,optimgain,entloss
2.514930248260498,0.5734157562255859,8.524371,1,1000,781.5771,0.0066466704,1000.0,0.05768524,-595.7922743843475,1,0.05768524,0.0
4.5383851528167725,0.11253482103347778,8.581532,2,2000,754.5858,0.0075920234,1000.0,0.05750371,-621.8156545802951,1,0.05750371,0.0
6.562392711639404,0.006674230098724365,8.570664,3,3000,788.51544,0.007589425,1000.0,0.051927816,-638.0946835199228,1,0.051927816,0.0
8.585829019546509,9.691715240478516e-05,8.568061,4,4000,787.3332,0.005853921,1000.0,0.05257975,-684.8497422458673,1,0.05257975,0.0
10.609992504119873,-0.0012323856353759766,8.558891,5,5000,796.27606,0.0072986465,1000.0,0.053288996,-673.5286737203776,1,0.053288996,0.0
12.633182287216187,-0.0007013082504272461,8.57689,6,6000,794.86084,0.0066542686,1000.0,0.050513793,-680.8386791697161,1,0.050513793,0.0
14.65983772277832,-0.00023639202117919922,8.561904,7,7000,796.0825,0.0069482587,1000.0,0.052848138,-677.8578729721002,1,0.052848138,0.0
16.688416957855225,-0.00021767616271972656,8.593858,8,8000,799.3076,0.005952306,1000.0,0.053435028,-681.752407714818,1,0.053435028,0.0
18.733858585357666,-0.00018346309661865234,8.637829,9,9000,802.9462,0.006527639,1000.0,0.056468256,-686.7925340951928,1,0.056468256,0.0
20.77438735961914,-0.00014793872833251953,8.619747,10,10000,802.2733,0.0061234753,1000.0,0.05380555,-682.2423904304412,1,0.05380555,0.0
22.81199598312378,-0.00010561943054199219,8.625778,11,11000,799.83295,0.0057463855,1000.0,0.054624975,-673.7671987315415,1,0.054624975,0.0
24.85037398338318,0.0002244114875793457,8.612168,12,12000,802.08136,0.0049803895,1000.0,0.053912427,-677.6479534194051,1,0.053912427,0.0
26.886704683303833,0.0002639293670654297,8.595881,13,13000,796.1091,0.006630039,1000.0,0.06376167,-679.9817559452923,1,0.06376167,0.0
29.09938621520996,-0.0005576610565185547,8.595049,15,15000,793.4428,0.005820797,1000.0,0.061098136,-685.4001051287498,2,0.061098136,0.0
31.13233518600464,-0.00031960010528564453,8.598026,16,16000,792.511,0.0068551507,1000.0,0.059250284,-682.0634823554756,1,0.059250284,0.0
33.154781341552734,-0.1066817045211792,8.619331,17,17000,776.9761,0.006927681,1000.0,0.070424214,-693.3226021173496,1,0.070424214,0.0
35.18482828140259,-8.249282836914062e-05,8.612657,18,18000,781.0869,0.005274293,1000.0,0.059081823,-694.6441175842187,1,0.059081823,0.0
37.207436084747314,-0.0031429529190063477,8.62458,19,19000,784.0004,0.0059748194,1000.0,0.06173354,-696.5115671383659,1,0.06173354,0.0
39.228883504867554,-0.00079345703125,8.621879,20,20000,780.8876,0.0064574876,1000.0,0.056290228,-703.9604193085249,1,0.056290228,0.0
41.24759221076965,-0.0030050277709960938,8.628674,21,21000,775.4894,0.007904714,1000.0,0.07056935,-702.9015670685651,1,0.07056935,0.0
43.26640272140503,-0.0008016824722290039,8.66162,22,22000,772.4599,0.0063558854,1000.0,0.0658738,-710.6110831820625,1,0.0658738,0.0
45.282591342926025,-0.00016546249389648438,8.656082,23,23000,774.51917,0.006361451,1000.0,0.06550222,-715.4779277901114,1,0.06550222,0.0
47.302311182022095,0.00014382600784301758,8.667046,24,24000,775.3532,0.005823431,1000.0,0.06087795,-715.8248476946059,1,0.06087795,0.0
49.324488162994385,0.00023812055587768555,8.649657,25,25000,775.9526,0.00512468,1000.0,0.062930584,-720.4076445205403,1,0.062930584,0.0
51.34568405151367,0.0002822279930114746,8.617511,26,26000,772.1462,0.006073615,1000.0,0.067982,-719.5411140763556,1,0.067982,0.0
53.36589193344116,0.0003145933151245117,8.604261,27,27000,770.0695,0.0060011283,1000.0,0.06821723,-718.7564119739495,1,0.06821723,0.0
55.420928955078125,0.001324474811553955,8.561904,28,28000,772.93536,0.0063446816,1000.0,0.070282534,-721.549558705845,1,0.070282534,0.0
57.431201696395874,-0.0067653656005859375,8.543331,30,30000,771.5838,0.00602787,1000.0,0.07613592,-723.3629055699789,2,0.07613592,0.0
59.41954064369202,-0.008739471435546875,8.519779,31,31000,768.19684,0.005981367,1000.0,0.069503024,-723.8677381868263,1,0.069503024,0.0
61.40886092185974,0.0003019571304321289,8.550402,32,32000,768.5663,0.0055725835,1000.0,0.064904325,-727.8999276689138,1,0.064904325,0.0
63.39851093292236,0.007250189781188965,8.546585,33,33000,769.3706,0.0067457063,1000.0,0.065997675,-730.8622090942802,1,0.065997675,0.0
65.38343667984009,0.002600729465484619,8.542058,34,34000,770.226,0.0061187022,1000.0,0.06674583,-732.9326610319995,1,0.06674583,0.0
67.36564111709595,0.010596990585327148,8.544991,35,35000,771.2881,0.005466951,1000.0,0.06987214,-734.5524695109109,1,0.06987214,0.0
69.345694065094,-0.009412646293640137,8.505193,36,36000,771.8309,0.0058763158,1000.0,0.070617735,-737.9162792535147,1,0.070617735,0.0
71.35616707801819,0.006954789161682129,8.549639,37,37000,770.2091,0.0060964003,1000.0,0.07137415,-743.4958383377619,1,0.07137415,0.0
73.31970882415771,0.604154497385025,8.546375,38,38000,766.4282,0.0057199025,1000.0,0.06855433,-736.4291042221946,1,0.06855433,0.0
75.31098914146423,0.010734200477600098,8.522774,39,39000,765.9061,0.0057417285,1000.0,0.06994468,-741.575656586464,1,0.06994468,0.0
77.29404640197754,0.04813426733016968,8.513872,40,40000,765.98816,0.0062108403,1000.0,0.07269478,-743.4305338752567,1,0.07269478,0.0
79.2656090259552,0.027824759483337402,8.514529,41,41000,765.7453,0.006191504,1000.0,0.07318648,-749.0016853320212,1,0.07318648,0.0
81.23901605606079,-0.05194389820098877,8.55286,42,42000,762.0751,0.0076399855,1000.0,0.07317501,-753.2119286517672,1,0.07317501,0.0
83.2152578830719,0.017765522003173828,8.554021,43,43000,755.0753,0.0064048665,1000.0,0.06847092,-756.5905937114892,1,0.06847092,0.0
85.18245315551758,0.016988515853881836,8.545045,44,44000,753.28253,0.0066695535,1000.0,0.06888166,-761.205666472468,1,0.06888166,0.0
87.15166163444519,0.007407486438751221,8.5430765,45,45000,751.0604,0.0068585584,1000.0,0.06796467,-767.5264256124865,1,0.06796467,0.0
89.12196445465088,-0.12202584743499756,8.514418,46,46000,744.1513,0.00800422,1000.0,0.08124993,-771.4736535914266,1,0.08124993,0.0
91.09666085243225,0.01215517520904541,8.526241,47,47000,739.9208,0.0056226803,1000.0,0.07301374,-776.8005894729067,1,0.07301374,0.0
93.06960964202881,-0.08031558990478516,8.522774,48,48000,732.9032,0.0072293016,1000.0,0.07049888,-777.6674687329192,1,0.07049888,0.0
95.0539619922638,0.018615365028381348,8.531681,49,49000,727.3242,0.006313824,1000.0,0.07301216,-778.4327872664845,1,0.07301216,0.0
97.03651189804077,0.013461589813232422,8.533748,50,50000,722.81464,0.007026271,1000.0,0.07322502,-783.1816800657803,1,0.07322502,0.0
99.01510953903198,0.031981050968170166,8.507432,51,51000,719.0169,0.0060773557,1000.0,0.078875385,-789.2533112099627,1,0.078875385,0.0
100.99382543563843,-0.0337376594543457,8.487359,52,52000,715.20154,0.0066647665,1000.0,0.069977656,-790.3437087699832,1,0.069977656,0.0
102.98828649520874,0.04039883613586426,8.502193,53,53000,714.2453,0.0062425896,1000.0,0.07751225,-793.5314276489846,1,0.07751225,0.0
104.98238229751587,0.038213908672332764,8.548894,54,54000,714.59534,0.006549079,1000.0,0.07171075,-794.2297910956678,1,0.07171075,0.0
106.97632575035095,0.0005385875701904297,8.537716,55,55000,711.7953,0.00619548,1000.0,0.068084255,-799.8478363542572,1,0.068084255,0.0
109.33252453804016,-0.0011125802993774414,8.535877,56,56000,706.1134,0.0064407918,1000.0,0.077728555,-804.5831983718997,1,0.077728555,0.0
111.80120348930359,0.03346562385559082,8.543633,57,57000,709.4287,0.007331543,1000.0,0.072739944,-803.6563741543109,1,0.072739944,0.0
