ev_tdlam_before,EpLenMean,TimeElapsed,surrgain,EpThisIter,optimgain,entloss,EpisodesSoFar,EpTrueRewMean,EpRewMean,meankl,entropy,TimestepsSoFar
0.2765396237373352,22.275,4.775449275970459,0.16195187,46,0.16195187,0.0,46,104.7654553829711,18.137064,0.0069978535,24.14362,1042
0.5770826637744904,21.975,8.775635242462158,0.20604256,46,0.20604256,0.0,92,104.0142100513186,17.029322,0.007083154,24.142883,2067
0.506612092256546,24.65,12.983583688735962,0.15711647,41,0.15711647,0.0,133,115.08053301051646,18.1187,0.006904281,24.141851,3071
0.6522491276264191,26.0,17.51237440109253,0.17210042,39,0.17210042,0.0,172,121.14088858121723,19.464106,0.0068095177,24.125242,4093
0.6764276623725891,29.3,22.16832709312439,0.16088781,34,0.16088781,0.0,206,137.5099213324243,21.04944,0.006944072,24.13747,5115
0.6591259837150574,31.3,27.19681692123413,0.15490572,33,0.15490572,0.0,239,145.28821259933028,21.623209,0.007309179,24.146912,6155
0.7125782072544098,35.45,32.17654204368591,0.16821097,28,0.16821097,0.0,267,165.28798866042607,24.501375,0.0073349057,24.16797,7190
0.673843502998352,37.2,37.15621876716614,0.1652733,26,0.1652733,0.0,293,173.84750246508844,25.215332,0.0069753034,24.139894,8195
0.722893238067627,40.95,41.88235521316528,0.17264515,25,0.17264515,0.0,318,190.32430198276504,27.835724,0.0076335827,24.159115,9233
0.718486875295639,39.625,46.97284960746765,0.17227241,26,0.17227241,0.0,344,186.39645151798862,27.856556,0.0077970065,24.143738,10267
0.7424313127994537,40.975,51.526362657547,0.16352713,24,0.16352713,0.0,368,192.36567424628058,29.159784,0.0077410853,24.119608,11284
0.7626338005065918,42.45,56.345879793167114,0.18642914,24,0.18642914,0.0,392,199.86785560008107,29.39349,0.0075210934,24.12624,12336
0.7097502648830414,46.15,61.20666980743408,0.18444088,22,0.18444088,0.0,414,217.87014443191805,31.835022,0.00830223,24.121403,13396
0.7196612656116486,51.2,65.88504385948181,0.19134128,19,0.19134128,0.0,433,242.1812787420301,35.64387,0.0077951755,24.092514,14469
0.8118865191936493,56.725,70.48845338821411,0.17710769,18,0.17710769,0.0,451,265.04773557818834,40.281464,0.008774242,24.092697,15529
0.7098718881607056,55.375,75.22258400917053,0.18297361,20,0.18297361,0.0,471,257.3979490788908,38.59828,0.008305768,24.076166,16569
0.7603512406349182,53.925,79.94263768196106,0.17269827,18,0.17269827,0.0,489,251.16419543519842,36.707405,0.00827463,24.057358,17591
0.7972300052642822,56.55,84.52592015266418,0.17895322,17,0.17895322,0.0,506,262.93045245279137,38.546497,0.008341147,24.04964,18593
0.8235140740871429,59.55,89.27720737457275,0.1730902,16,0.1730902,0.0,522,276.0431343055268,40.53589,0.008401675,24.027115,19566
0.8136114031076431,65.025,93.86844778060913,0.21445602,14,0.21445602,0.0,536,303.0572883773533,44.95318,0.008549025,24.050701,20556
0.7413501739501953,65.925,98.47191667556763,0.19007851,15,0.19007851,0.0,551,306.736219921322,44.723534,0.008765164,24.052063,21561
0.8346109390258789,67.425,103.19090604782104,0.20842922,15,0.20842922,0.0,566,316.1299876227357,45.318916,0.008728745,24.073551,22575
0.8572933822870255,66.775,108.14169383049011,0.19325978,15,0.19325978,0.0,581,314.82425210473673,44.36781,0.0090321,24.08307,23560
0.7779714167118073,69.425,112.75074982643127,0.23641899,13,0.23641899,0.0,594,323.20376983272405,45.26476,0.008711256,24.073004,24545
0.6962542831897736,72.725,117.7978823184967,0.23290873,14,0.23290873,0.0,608,341.5197782111396,46.891697,0.009574975,24.052004,25608
0.824473187327385,70.55,122.47363471984863,0.20047143,16,0.20047143,0.0,624,330.71445229254556,44.607635,0.009069826,24.049397,26652
0.8646029084920883,70.925,127.36697745323181,0.17858544,15,0.17858544,0.0,639,330.9985233265505,43.85149,0.008942284,24.034653,27719
0.8599236160516739,70.475,132.04923582077026,0.19488238,14,0.19488238,0.0,653,327.1828034672552,42.32514,0.008414695,24.053713,28751
