EpThisIter,TimeElapsed,TimestepsSoFar,EpisodesSoFar,EpTrueRewMean,ev_tdlam_before,entloss,surrgain,optimgain,EpRewMean,meankl,EpLenMean,entropy
15,18524.17805314064,806358,10211,337.7247790664498,0.10420292615890503,0.0,0.253409,0.253409,1.0535314,0.0059313793,69.575,23.83251
13,18546.847593069077,807315,10224,349.6694091165364,-0.05769979953765869,0.0,0.367702,0.367702,1.4512136,0.006401942,72.475,23.832396
13,18569.198223114014,808360,10237,353.8934518013683,0.20667940378189087,0.0,0.27856296,0.27856296,1.0972787,0.0060479892,73.925,23.832874
15,18591.910527944565,809329,10252,347.3543395964638,0.14817523956298828,0.0,0.18656623,0.18656623,0.9665744,0.0051699146,72.15,23.831905
14,18614.182020187378,810299,10266,332.6016344281651,0.026935815811157227,0.0,0.17596525,0.17596525,0.5337019,0.0064644585,70.25,23.83093
15,18636.77307701111,811326,10281,319.3190253122437,-0.002263784408569336,0.0,0.30305496,0.30305496,0.53562385,0.0059174313,67.6,23.830437
16,18659.052129983902,812380,10297,316.12720105239896,0.07200801372528076,0.0,0.36427075,0.36427075,0.8951349,0.0062215356,67.2,23.830086
14,18681.289848089218,813378,10311,324.88186378987,0.13561934232711792,0.0,0.16717646,0.16717646,0.8805477,0.005890677,69.25,23.830069
14,18703.84315109253,814397,10325,332.64654698677265,0.07516199350357056,0.0,0.232944,0.232944,1.207588,0.0061540687,71.125,23.83008
14,18726.300814151764,815502,10339,349.7811677503266,-0.13673245906829834,0.0,0.24743116,0.24743116,0.8453356,0.0064984867,75.675,23.828602
15,18749.16570019722,816511,10354,338.4114506197885,-0.16256511211395264,0.0,0.3018261,0.3018261,0.8192666,0.005841394,72.0,23.828114
12,18771.6835231781,817576,10366,358.8794693956029,0.33367061614990234,0.0,0.2003094,0.2003094,0.80961925,0.006341596,76.95,23.827108
13,18794.40821290016,818563,10379,366.14954512003635,-0.5609786510467529,0.0,0.17030913,0.17030913,0.80698854,0.005890442,76.525,23.826334
14,18832.29808998108,819536,10393,364.84736617499937,0.10295677185058594,0.0,0.1907377,0.1907377,0.74324477,0.0073585263,76.95,23.826048
15,18854.963351011276,820611,10408,349.79875522402153,-0.7088736295700073,0.0,0.19699258,0.19699258,0.591611,0.007165896,72.525,23.826786
14,18877.649117946625,821605,10422,339.15174392295313,0.1032833456993103,0.0,0.18266967,0.18266967,0.55285114,0.0054358826,71.125,23.826658
16,18900.020829200745,822660,10438,325.92712855722783,0.4254482388496399,0.0,0.19913672,0.19913672,0.78818256,0.0062526977,68.675,23.82604
14,18922.23013496399,823714,10452,335.0727307777734,-0.2516597509384155,0.0,0.22524449,0.22524449,0.83829033,0.0063875266,71.45,23.827145
15,18945.153578042984,824738,10467,325.4599553496603,0.13637053966522217,0.0,0.1965947,0.1965947,0.7257092,0.0061798976,69.025,23.82767
14,18967.352194070816,825801,10481,351.6974531533916,0.14597219228744507,0.0,0.2021834,0.2021834,0.65755045,0.0055199713,73.9,23.827507
14,18989.25436592102,826838,10495,338.3582499463995,-0.007399916648864746,0.0,0.22031549,0.22031549,0.63362026,0.0054573407,72.2,23.826815
14,19011.747687101364,827899,10509,349.2274974540572,-0.014623880386352539,0.0,0.22848952,0.22848952,0.72078514,0.006722005,75.625,23.827023
15,19034.026453971863,828896,10524,324.61967612329596,0.16955244541168213,0.0,0.18970174,0.18970174,0.65258485,0.006567415,70.525,23.826656
16,19056.226104021072,829947,10540,317.30631830750156,0.09298563003540039,0.0,0.2482499,0.2482499,0.72645074,0.0059741135,68.2,23.825233
10,19078.579103946686,830947,10550,347.90717579489694,-0.23331749439239502,0.0,0.31867814,0.31867814,0.80222225,0.005997833,74.225,23.825205
14,19101.268666028976,832031,10564,367.1577650244541,0.0786428451538086,0.0,0.28920412,0.28920412,0.95872146,0.005688398,78.375,23.824697
14,19123.743420124054,833033,10578,372.90547047715273,-0.3281337022781372,0.0,0.22582768,0.22582768,0.93866175,0.006173724,80.075,23.826498
13,19146.0186522007,834020,10591,343.3278325097185,0.14395636320114136,0.0,0.26038706,0.26038706,0.8876089,0.007030114,74.875,23.827648
15,19168.22679400444,835037,10606,333.8332727328537,-0.07069623470306396,0.0,0.2363781,0.2363781,0.7130722,0.007276962,72.575,23.828287
14,19190.519830942154,835992,10620,332.4802999048512,0.31955182552337646,0.0,0.2541264,0.2541264,0.63644636,0.005876353,71.1,23.828611
15,19212.859138011932,836979,10635,322.1987357152827,0.2792441248893738,0.0,0.2573828,0.2573828,0.7118211,0.00615317,68.225,23.829624
16,19235.16647386551,837948,10651,306.9310615953119,0.11754316091537476,0.0,0.22872329,0.22872329,0.8228884,0.0061479574,64.85,23.829092
13,19257.544525146484,838905,10664,309.59059758098834,-0.06251609325408936,0.0,0.16766006,0.16766006,0.836796,0.006569039,67.1,23.829548
16,19279.980952978134,839906,10680,297.86598513131565,0.17076557874679565,0.0,0.22253165,0.22253165,0.5903338,0.0075058956,64.45,23.830202
14,19302.191843032837,840912,10694,324.56139570448374,0.28420811891555786,0.0,0.27382165,0.27382165,0.73447406,0.005722237,69.225,23.83057
15,19324.502882003784,841970,10709,324.72785649340625,0.5324452221393585,0.0,0.23309688,0.23309688,0.86107624,0.0053929407,68.025,23.829721
14,19347.21228313446,842995,10723,345.8407187289704,0.15187692642211914,0.0,0.16767682,0.16767682,0.76809067,0.005812992,72.25,23.829113
15,19369.576889038086,844025,10738,341.635677252442,-0.3146796226501465,0.0,0.22841255,0.22841255,0.68446815,0.006296346,71.5,23.8309
15,19391.984856128693,845050,10753,337.79810551884384,0.1950332522392273,0.0,0.20559438,0.20559438,0.6057401,0.0055690594,70.85,23.830893
16,19414.64555001259,846013,10769,314.63678702699536,-0.7929607629776001,0.0,0.1904946,0.1904946,0.61011237,0.00591008,65.0,23.829721
14,19436.807844161987,847049,10783,327.80362784020537,-0.1391204595565796,0.0,0.29872686,0.29872686,0.6381739,0.0070632454,67.925,23.829466
13,19459.38893508911,848087,10796,337.2184064922252,0.07489538192749023,0.0,0.19992727,0.19992727,0.8111261,0.0047447,70.9,23.828947
15,19481.692820072174,849138,10811,345.24943199302686,0.16231399774551392,0.0,0.29809394,0.29809394,0.8898152,0.0061030947,73.2,23.829458
14,19504.168850183487,850171,10825,347.1954685369366,-0.39578819274902344,0.0,0.1746857,0.1746857,0.80980456,0.005474032,75.375,23.82897
16,19526.598129034042,851219,10841,328.8591537486178,-0.34574663639068604,0.0,0.18922731,0.18922731,0.49695033,0.006276367,70.325,23.827677
15,19549.224283218384,852288,10856,326.6141801407189,0.1794908046722412,0.0,0.220548,0.220548,0.4552993,0.0058551487,69.55,23.826212
16,19572.09707427025,853281,10872,308.5162761198869,-0.0308607816696167,0.0,0.30159846,0.30159846,0.5278454,0.0062908055,65.525,23.82776
16,19594.432279109955,854276,10888,287.77526658234444,0.14855605363845825,0.0,0.6962911,0.6962911,0.54573554,0.0073247505,61.675,23.827017
16,19616.767569065094,855270,10904,287.3339693913819,0.06340062618255615,0.0,0.29424506,0.29424506,0.7153982,0.006961873,61.825,23.825808
14,19639.003659963608,856201,10918,298.85532641404797,-0.29984283447265625,0.0,0.26362646,0.26362646,0.7585479,0.0071596596,64.175,23.825682
15,19661.01466703415,857200,10933,306.98870916435675,0.11219227313995361,0.0,0.21929544,0.21929544,0.7795725,0.0059426418,65.35,23.828115
15,19683.45152902603,858261,10948,316.27285092831073,-0.31504249572753906,0.0,0.1622893,0.1622893,0.73199564,0.005633226,67.475,23.828573
