EpLenMean,EpThisIter,ev_tdlam_before,EpTrueRewMean,TimestepsSoFar,meankl,surrgain,EpRewMean,EpisodesSoFar,TimeElapsed,entropy,optimgain,entloss
774.9,2,0.6146084070205688,2649.9031359343207,1004772,0.010892372,0.036317617,331.19418,1668,4877.831436157227,-0.02109155,0.036317617,-0.0
787.3,1,0.3927736282348633,2690.074121047677,1005772,0.011012891,0.039662562,334.9953,1669,4883.114803314209,-0.023137093,0.039662562,-0.0
793.05,1,0.3897654414176941,2706.9232920282775,1006772,0.010076363,0.04246421,337.22272,1670,4888.394389629364,-0.028548174,0.04246421,-0.0
805.625,1,0.4010566473007202,2749.439340899429,1007772,0.0102555975,0.051827565,342.34586,1671,4893.686170339584,-0.022458315,0.051827565,-0.0
767.7,2,0.8869758918881416,2613.640951627046,1008208,0.009882003,0.08209043,326.9865,1673,4898.9805228710175,-0.036216736,0.08209043,-0.0
762.15,2,0.6045099198818207,2595.903591932468,1009986,0.011374524,0.051671818,325.1974,1675,4904.270926237106,-0.036636777,0.051671818,-0.0
763.55,2,0.554238885641098,2600.880894756584,1011184,0.01074251,0.032978423,326.60187,1677,4909.549773931503,-0.039786816,0.032978423,-0.0
762.675,1,0.9461445175111294,2600.6960725803083,1012149,0.012427973,0.08566659,326.1572,1678,4914.830761909485,-0.040531207,0.08566659,-0.0
749.325,1,0.9299203678965569,2555.3163636576405,1012615,0.010703094,0.048572008,320.3915,1679,4920.13817024231,-0.043293044,0.048572008,-0.0
749.625,1,0.9655205346643925,2556.4281721008538,1013074,0.010259809,0.064927846,319.5991,1680,4925.421469449997,-0.04536776,0.064927846,-0.0
710.4,3,0.9539754055440426,2421.38342932339,1014505,0.010724803,0.06683597,305.20352,1683,4930.7182421684265,-0.04694955,0.06683597,-0.0
724.675,1,0.9472484737634659,2474.709352697053,1015456,0.010065584,0.08486341,311.39758,1684,4936.034978151321,-0.063596725,0.08486341,-0.0
745.0,1,0.12125641107559204,2544.8213926716567,1016456,0.011340232,0.047781568,320.03693,1685,4941.338073015213,-0.07597348,0.047781568,-0.0
754.5,2,0.9373878613114357,2575.2246898767785,1017537,0.01276479,0.058046892,324.1895,1687,4946.637822151184,-0.07228947,0.058046892,-0.0
732.625,2,0.9171045571565628,2503.136578876126,1018662,0.012352025,0.07593596,316.9229,1689,4951.931569337845,-0.07329461,0.07593596,-0.0
732.625,1,0.8729348331689835,2504.308622827438,1019662,0.010662973,0.048542637,316.49063,1690,4957.229340314865,-0.079612635,0.048542637,-0.0
702.0,3,0.9227726384997368,2394.8407873674137,1020812,0.010714089,0.060154032,303.43976,1693,4962.523695707321,-0.093034446,0.060154032,-0.0
658.45,3,0.9470203891396523,2244.8282522330774,1022070,0.009963171,0.05976662,287.73,1696,4967.815636396408,-0.09620669,0.05976662,-0.0
630.275,2,0.9472545497119427,2147.4226078940956,1022889,0.010810643,0.049201913,278.09244,1698,4973.115402698517,-0.11058428,0.049201913,-0.0
645.7,1,0.12447130680084229,2200.5746503138967,1023889,0.010774894,0.037206266,283.87958,1699,4978.399041891098,-0.110400885,0.037206266,-0.0
654.125,1,0.37499547004699707,2226.2675302008925,1024889,0.011486411,0.03784269,287.22418,1700,4983.750497817993,-0.10469339,0.03784269,-0.0
657.7,1,0.1773695945739746,2237.708464106803,1025889,0.010347085,0.035427287,289.1517,1701,4989.092612504959,-0.10126217,0.035427287,-0.0
681.15,1,0.39702558517456055,2320.3964857852425,1026889,0.0105974935,0.049946688,299.331,1702,4994.4041113853455,-0.099731445,0.049946688,-0.0
681.15,1,0.13559818267822266,2320.8581966493102,1027889,0.011774357,0.04710002,299.14487,1703,4999.702727794647,-0.09689138,0.04710002,-0.0
686.95,1,0.14968907833099365,2338.298464129589,1028889,0.011004198,0.036274076,300.53806,1704,5004.998435020447,-0.10496328,0.036274076,-0.0
686.95,1,0.24935990571975708,2337.5439421424608,1029889,0.010592697,0.040149484,300.0184,1705,5010.295809268951,-0.107769944,0.040149484,-0.0
665.65,2,0.89676932990551,2264.1577833594993,1030945,0.010370437,0.0539189,292.11612,1707,5015.584482908249,-0.10688303,0.0539189,-0.0
679.325,1,0.7847072929143906,2309.89830573825,1031945,0.01067909,0.03606721,296.80902,1708,5020.8843998909,-0.104913734,0.03606721,-0.0
677.95,1,0.9204408973455429,2310.6451178018187,1032890,0.010420572,0.06557589,297.00015,1709,5026.1865775585175,-0.10581684,0.06557589,-0.0
677.95,1,0.24678897857666016,2310.8782038101526,1033890,0.011206314,0.048699006,295.8315,1710,5031.494251251221,-0.11484153,0.048699006,-0.0
677.95,1,0.30911731719970703,2309.682032300775,1034890,0.010101842,0.036642786,295.78116,1711,5036.819684267044,-0.11041477,0.036642786,-0.0
696.775,1,0.34435373544692993,2373.449844981078,1035890,0.010623144,0.034497082,303.68604,1712,5042.130112171173,-0.11059373,0.034497082,-0.0
703.525,2,0.70161172747612,2396.717055668139,1037349,0.011845021,0.03330164,308.43634,1714,5047.440624475479,-0.10239985,0.03330164,-0.0
723.275,2,0.6387315988540649,2463.928164399914,1039115,0.010245033,0.038256966,316.40567,1716,5052.756634473801,-0.09759903,0.038256966,-0.0
723.275,1,0.16719573736190796,2464.738877373683,1040115,0.010254401,0.035414264,315.58856,1717,5058.075736522675,-0.111294724,0.035414264,-0.0
724.15,1,0.19672882556915283,2464.356065363575,1041115,0.011013514,0.044789165,314.558,1718,5063.384998321533,-0.10563443,0.044789165,-0.0
721.55,3,0.9221405535936356,2457.0698242782555,1042648,0.012395891,0.062203314,312.44904,1721,5068.700705766678,-0.11451504,0.062203314,-0.0
731.075,2,0.938291884958744,2491.0006580995855,1043748,0.010655707,0.051668063,316.32666,1723,5074.452729225159,-0.1263408,0.051668063,-0.0
