#{"t_start": 1521274012.5287397, "env_id": "Hopper-v2"}
r,l,t
9.459691,11,2.44516
17.772045,19,2.465406
28.355528,24,2.490607
8.306103,12,2.503285
9.842023,12,2.515936
17.190914,20,2.537441
10.86306,13,2.55126
6.7886,11,2.563076
20.12952,21,2.58548
4.428195,10,2.59634
15.481172,25,2.62309
4.686614,19,2.64358
16.082956,16,2.660829
6.78876,9,2.670343
11.932928,24,2.695965
100.323208,72,2.772659
39.589668,32,2.806746
6.865294,10,2.817453
19.718738,29,2.848818
18.260136,26,2.876808
7.942724,10,2.887458
10.119848,24,2.913155
18.485801,21,2.935526
12.948941,14,2.950387
7.840345,10,2.960992
57.057875,38,3.001476
13.829209,16,3.01856
16.170266,18,3.03793
8.426477,12,3.050536
181.974164,95,3.151248
6.297107,9,3.160871
46.538239,46,3.210241
38.660269,44,3.257355
17.618573,31,3.290531
7.07464,10,3.301139
5.549574,11,3.313038
13.188217,15,3.329018
13.105074,16,3.346072
7.43764,11,3.35781
7.58091,29,3.388767
9.341327,12,3.401488
20.121608,21,3.423908
22.051061,26,3.451856
64.743782,56,3.5123
12.215331,24,3.92136
25.03478,23,3.946208
15.156336,16,3.96332
5.750588,10,3.973759
48.961072,37,4.013195
12.418891,15,4.029206
14.304991,15,4.045212
34.77038,31,4.078616
24.476811,29,4.109749
7.875576,12,4.122454
18.689662,21,4.144942
22.236641,21,4.167413
32.613609,28,4.197374
8.541787,10,4.208008
11.607024,15,4.22407
12.48318,15,4.240054
8.593127,11,4.251653
9.676306,14,4.266634
14.277174,14,4.281548
7.113203,9,4.291193
8.240984,10,4.301769
11.798467,15,4.317783
9.605938,13,4.331809
9.105263,15,4.347697
9.402227,13,4.361718
7.615367,9,4.371367
40.628708,31,4.404477
7.20353,9,4.414161
6.545253,11,4.426052
10.975782,18,4.445203
47.832959,48,4.496521
9.96354,26,4.52442
8.078942,20,4.545807
5.485317,10,4.556572
9.63988,19,4.576879
66.152329,40,4.619392
25.667148,22,4.642577
32.111874,34,4.678966
13.992267,25,4.705437
11.1137,17,4.723548
9.839413,14,4.738366
80.787,54,4.795528
56.807599,38,4.835892
10.298589,13,4.849478
8.811608,11,4.861057
9.42106,23,4.885386
7.541042,9,4.895002
30.175609,50,4.947999
14.597685,20,4.969162
14.060872,18,4.988649
7.488519,17,5.151282
7.07974,9,5.160913
47.112516,35,5.198165
11.084853,20,5.219882
8.781546,13,5.233945
14.264364,37,5.274054
73.235728,65,5.34367
72.571199,69,5.417782
22.93743,29,5.448999
39.609661,29,5.479888
6.191492,9,5.489438
14.792042,23,5.514192
37.439621,49,5.567173
28.377317,25,5.593903
10.300147,26,5.621749
8.047387,16,5.638894
10.825158,21,5.661365
7.527117,10,5.672208
13.204434,16,5.689476
8.215877,10,5.70027
7.465008,10,5.710832
7.484034,14,5.72588
12.340047,15,5.741893
11.488027,16,5.759075
9.147318,14,5.77397
26.912575,33,5.809625
7.457746,20,5.831228
11.468878,20,5.852738
19.827513,24,5.878527
85.206976,82,5.966028
5.190069,11,5.977924
38.896375,39,6.020338
17.257507,20,6.04158
48.449182,49,6.094436
24.216126,35,6.132285
11.785879,19,6.1528
31.614102,24,6.178633
