EpisodesSoFar,EpThisIter,entloss,TimeElapsed,optimgain,EpLenMean,EpTrueRewMean,TimestepsSoFar,entropy,ev_tdlam_before,surrgain,meankl,EpRewMean
4226,1,-0.0,12685.525379896164,0.080836326,1000.0,-671.3826382528422,4226000,-1.1452879,0.019023478031158447,0.080836326,0.013822076,241.56747
4227,1,-0.0,12687.832184314728,0.08841477,1000.0,-638.2217819070561,4227000,-1.1363612,0.06106299161911011,0.08841477,0.014457943,246.622
4228,1,-0.0,12690.138041734695,0.05486889,1000.0,-631.074652144613,4228000,-1.1405351,-0.02836930751800537,0.05486889,0.0037718609,245.33821
4229,1,-0.0,12692.443785190582,0.11080253,1000.0,-628.7469537679196,4229000,-1.1382054,0.648735910654068,0.11080253,0.014134731,242.74043
4230,1,-0.0,12694.746752262115,0.09842944,1000.0,-627.2139774514515,4230000,-1.136454,0.3899348974227905,0.09842944,0.014909416,240.06416
4231,1,-0.0,12697.051316976547,0.08432294,1000.0,-607.9513012653495,4231000,-1.1500335,0.021408677101135254,0.08432294,0.013870716,240.04184
4232,1,-0.0,12699.347872257233,0.09709109,1000.0,-606.0822200137094,4232000,-1.1414171,-0.02828824520111084,0.09709109,0.013679359,237.02115
4233,1,-0.0,12701.658679485321,0.071774736,1000.0,-683.8806086175233,4233000,-1.140035,0.9541355334222317,0.071774736,0.0047411714,231.18062
4234,1,-0.0,12703.952721357346,0.08362529,1000.0,-685.9005813829164,4234000,-1.1412506,-0.0027513504028320312,0.08362529,0.013828983,229.95352
4235,1,-0.0,12706.26924085617,0.062322084,1000.0,-718.0612618946082,4235000,-1.1394506,0.8683574944734573,0.062322084,0.0038511073,227.06396
4236,1,-0.0,12708.560122728348,0.09242393,1000.0,-683.1050287824913,4236000,-1.1501988,-0.016361474990844727,0.09242393,0.013986474,228.74019
4237,1,-0.0,12710.865743637085,0.086968586,1000.0,-680.5269063635444,4237000,-1.1567074,0.15527307987213135,0.086968586,0.012909435,227.6147
4239,2,-0.0,12713.16221666336,0.08018264,1000.0,-675.8770171311146,4239000,-1.139726,0.012399792671203613,0.08018264,0.013094148,229.30354
4240,1,-0.0,12715.465634584427,0.086476155,1000.0,-662.705016503909,4240000,-1.1444143,-0.04580044746398926,0.086476155,0.013634952,231.04597
4241,1,-0.0,12717.77799487114,0.079727925,1000.0,-636.3443419809498,4241000,-1.1433427,-0.012758493423461914,0.079727925,0.014725901,232.7856
4242,1,-0.0,12720.0817425251,0.05883404,1000.0,-698.5436283547006,4242000,-1.134881,0.5938530266284943,0.05883404,0.0038264412,232.62051
4243,1,-0.0,12722.397912502289,0.079031825,1000.0,-675.1799395235028,4243000,-1.1279924,0.11294281482696533,0.079031825,0.014261087,232.88907
4244,1,-0.0,12724.704846858978,0.07648334,1000.0,-686.8714917845581,4244000,-1.1296676,0.7772898375988007,0.07648334,0.0041752476,233.64658
4245,1,-0.0,12727.008803606033,0.05947909,1000.0,-675.8770702951667,4245000,-1.1299231,0.546986311674118,0.05947909,0.0041663107,234.93994
4246,1,-0.0,12729.324173688889,0.1011479,1000.0,-672.9104262895992,4246000,-1.1227353,0.24486804008483887,0.1011479,0.013481704,233.61569
4247,1,-0.0,12731.644813537598,0.060002558,1000.0,-660.4080725430167,4247000,-1.1312102,0.4396899342536926,0.060002558,0.003976358,234.86113
4248,1,-0.0,12733.965525388718,0.06337909,1000.0,-719.0499667487038,4248000,-1.1262343,0.8512444347143173,0.06337909,0.0050878725,233.19922
4249,1,-0.0,12736.26923418045,0.087878376,1000.0,-724.9534218304128,4249000,-1.1237321,0.11792522668838501,0.087878376,0.014787709,232.35616
4250,1,-0.0,12738.593718767166,0.079788245,1000.0,-783.4682568347469,4250000,-1.1275649,0.4696294069290161,0.079788245,0.0039645704,229.4524
4251,1,-0.0,12740.903694868088,0.06184157,1000.0,-781.84297050431,4251000,-1.1318511,0.26773786544799805,0.06184157,0.004011921,229.02475
4252,1,-0.0,12743.210643291473,0.10537106,1000.0,-782.7523643447909,4252000,-1.127923,0.7631439566612244,0.10537106,0.014014499,227.6882
4254,2,-0.0,12745.512350559235,0.092698015,1000.0,-791.9990119284142,4254000,-1.1349336,0.19205760955810547,0.092698015,0.014292051,226.04073
4255,1,-0.0,12747.81089925766,0.08296192,1000.0,-793.4387995514438,4255000,-1.1335094,0.002421557903289795,0.08296192,0.01402469,226.64973
4256,1,-0.0,12750.122618436813,0.09037051,1000.0,-793.146574706433,4256000,-1.1252236,0.24922680854797363,0.09037051,0.013261747,227.23103
4257,1,-0.0,12752.428855419159,0.046559963,1000.0,-782.4139786961663,4257000,-1.1278021,0.06668204069137573,0.046559963,0.0037892282,227.99844
4258,1,-0.0,12754.737008094788,0.08938129,1000.0,-785.6877175710979,4258000,-1.1225336,0.184262216091156,0.08938129,0.014569538,229.67807
4259,1,-0.0,12757.044754505157,0.047765855,1000.0,-785.4251191051593,4259000,-1.1205359,0.013785481452941895,0.047765855,0.003929232,230.41025
4260,1,-0.0,12759.35977602005,0.052934222,1000.0,-853.367918128997,4260000,-1.1242743,0.966972853988409,0.052934222,0.0038097533,226.71826
4261,1,-0.0,12761.660064220428,0.052694663,1000.0,-868.1852733192412,4261000,-1.1214054,-0.0017129182815551758,0.052694663,0.004077199,225.99495
4262,1,-0.0,12763.959741830826,0.09112903,1000.0,-887.7560045617338,4262000,-1.1262041,-0.04793357849121094,0.09112903,0.004247032,229.52217
4263,1,-0.0,12766.263209342957,0.066644795,1000.0,-920.7001517911734,4263000,-1.1280758,0.8688253164291382,0.066644795,0.0038414984,229.04623
4264,1,-0.0,12768.558341741562,0.09091412,1000.0,-911.5908719584831,4264000,-1.1332029,0.10067850351333618,0.09091412,0.014120428,230.87065
4265,1,-0.0,12770.863766908646,0.071912274,1000.0,-927.5418967679568,4265000,-1.1339058,0.9173455685377121,0.071912274,0.0039753737,231.22958
4266,1,-0.0,12773.180666923523,0.058218658,1000.0,-980.7112928603696,4266000,-1.1352473,0.9199312627315521,0.058218658,0.0037554735,229.3184
4267,1,-0.0,12775.483000278473,0.079107955,1000.0,-997.8979894483837,4267000,-1.137588,0.8747011721134186,0.079107955,0.0039121774,228.87329
4268,1,-0.0,12777.77811384201,0.09394376,1000.0,-995.5448507289673,4268000,-1.1433501,0.06127113103866577,0.09394376,0.014650009,230.63472
4269,1,-0.0,12780.088571071625,0.072347306,1000.0,-1020.9016030616325,4269000,-1.1442171,0.9729104675352573,0.072347306,0.0047286223,230.29187
4270,1,-0.0,12782.387203454971,0.0960581,1000.0,-1015.8682322650081,4270000,-1.1392809,0.3332240581512451,0.0960581,0.01361404,230.84053
4271,1,-0.0,12784.69527554512,0.072329,1000.0,-1069.6658076318931,4271000,-1.1392534,0.9286210313439369,0.072329,0.005106814,227.88
4272,1,-0.0,12786.996674537659,0.088823624,1000.0,-1073.4609249896337,4272000,-1.1341182,0.09816455841064453,0.088823624,0.0138655715,228.22517
4273,1,-0.0,12789.314896821976,0.058955092,1000.0,-1017.8842496881567,4273000,-1.1277927,0.7793613374233246,0.058955092,0.004441806,230.66074
4274,1,-0.0,12791.632700920105,0.075330496,1000.0,-1048.4099492405649,4274000,-1.1282213,0.9599668197333813,0.075330496,0.0040952004,230.65332
4275,1,-0.0,12793.941660881042,0.06023161,1000.0,-1006.2916107450303,4275000,-1.134988,0.6109592318534851,0.06023161,0.003843133,233.03186
4276,1,-0.0,12796.254062891006,0.064583585,1000.0,-1008.8433142807984,4276000,-1.13916,0.24700361490249634,0.064583585,0.0039497237,233.01949
4277,1,-0.0,12798.55427122116,0.118992954,1000.0,-1036.922289919282,4277000,-1.1371359,0.9072622954845428,0.118992954,0.014496757,231.82553
4278,1,-0.0,12800.866075754166,0.06989539,1000.0,-1105.7194607635643,4278000,-1.1392044,0.9360454827547073,0.06989539,0.004470869,227.627
4279,1,-0.0,12803.17610001564,0.13265976,1000.0,-1173.37415545811,4279000,-1.1383361,0.9697688687592745,0.13265976,0.013514001,223.3824
4280,1,-0.0,12805.485909223557,0.050968938,1000.0,-1178.0132601801456,4280000,-1.1405855,0.12304079532623291,0.050968938,0.003974829,223.76118
4281,1,-0.0,12807.788472652435,0.062082306,1000.0,-1178.3440873152067,4281000,-1.1435857,0.9114178940653801,0.062082306,0.0048528947,226.12521
4282,1,-0.0,12810.091876983643,0.096341774,1000.0,-1120.8930168478796,4282000,-1.1473908,0.1171729564666748,0.096341774,0.014299972,227.3311
4283,1,-0.0,12812.395243883133,0.08187211,1000.0,-1121.155335100756,4283000,-1.146974,-0.013473868370056152,0.08187211,0.0140804015,227.35843
4284,1,-0.0,12814.693405628204,0.08727169,1000.0,-1107.8029723813795,4284000,-1.1370634,0.014933228492736816,0.08727169,0.014014479,228.57034
4285,1,-0.0,12816.993595123291,0.09538293,1000.0,-1110.9447973094636,4285000,-1.1488647,0.06045180559158325,0.09538293,0.014283969,229.82095
