EpRewMean,TimestepsSoFar,ev_tdlam_before,optimgain,EpTrueRewMean,meankl,entropy,EpThisIter,EpisodesSoFar,TimeElapsed,surrgain,EpLenMean,entloss
23.080399,2529000,0.02603888511657715,0.09449387,-5067.503826516449,0.0063543436,3.8272722,1,2529,8492.324668645859,0.09449387,1000.0,0.0
22.853409,2530000,0.2637757658958435,0.08431792,-5064.24098396984,0.005449348,3.8358228,1,2530,8495.843394756317,0.08431792,1000.0,0.0
22.916096,2531000,0.009364068508148193,0.07459652,-5057.730283259075,0.0059245424,3.844092,1,2531,8499.37835097313,0.07459652,1000.0,0.0
22.777132,2532000,0.014875531196594238,0.0719187,-5054.121703858994,0.004669778,3.8480246,1,2532,8502.939108610153,0.0719187,1000.0,0.0
22.707035,2533000,0.665982574224472,0.106381014,-5051.056988688866,0.0057846294,3.84598,1,2533,8506.479500055313,0.106381014,1000.0,0.0
23.023993,2534000,0.009281337261199951,0.06923001,-4911.216639231781,0.0045943563,3.8385866,1,2534,8510.02598285675,0.06923001,1000.0,0.0
23.033394,2535000,-0.004152774810791016,0.068231925,-4918.963287787131,0.004153844,3.8317811,1,2535,8513.572329044342,0.068231925,1000.0,0.0
22.642208,2536000,0.7533014714717865,0.08861777,-4903.475506999113,0.0060106413,3.8352294,1,2536,8517.09652042389,0.08861777,1000.0,0.0
22.422405,2537000,0.381378710269928,0.06434201,-4920.481497020476,0.004190773,3.8186336,1,2537,8520.646959543228,0.06434201,1000.0,0.0
22.9422,2538000,-0.3733867406845093,0.1255175,-4901.539926022989,0.0055711037,3.8219373,1,2538,8524.206675291061,0.1255175,1000.0,0.0
22.983356,2539000,-0.26086270809173584,0.086530365,-4886.519528796265,0.005631226,3.805322,1,2539,8527.744676113129,0.086530365,1000.0,0.0
23.055984,2540000,0.046341896057128906,0.09075241,-4867.0737815951625,0.0050021345,3.8230345,1,2540,8531.29736661911,0.09075241,1000.0,0.0
22.89285,2541000,-0.04777801036834717,0.097865686,-4872.051606204199,0.0056309067,3.8237019,1,2541,8534.82441997528,0.097865686,1000.0,0.0
22.894665,2542000,-0.03450000286102295,0.06315049,-4860.702493829622,0.0058883335,3.8138714,1,2542,8538.366384267807,0.06315049,1000.0,0.0
23.222347,2543000,-0.12447559833526611,0.068826616,-4866.47335325603,0.0047737295,3.8205488,1,2543,8541.90986275673,0.068826616,1000.0,0.0
23.064037,2544000,0.04764056205749512,0.10251559,-4870.994138265964,0.006170863,3.823488,1,2544,8545.467141866684,0.10251559,1000.0,0.0
23.464893,2545000,0.014000773429870605,0.09433165,-4841.365137606165,0.006268369,3.8385851,1,2545,8549.02326798439,0.09433165,1000.0,0.0
21.76979,2546000,-0.06431877613067627,0.07601036,-4861.861527450632,0.0054993285,3.8343503,1,2546,8552.572164058685,0.07601036,1000.0,0.0
21.627586,2547000,0.8106269836425781,0.12016815,-4876.152197182304,0.005538837,3.83512,1,2547,8556.126406431198,0.12016815,1000.0,0.0
21.57189,2548000,0.423913836479187,0.0793269,-4876.242450272552,0.004936386,3.8251653,1,2548,8559.66672706604,0.0793269,1000.0,0.0
