meankl,EpLenMean,optimgain,entropy,TimestepsSoFar,entloss,surrgain,EpRewMean,EpisodesSoFar,EpThisIter,ev_tdlam_before,TimeElapsed
0.007873823,1000.0,0.040464282,8.447906,1000,0.0,0.040464282,-705.3127455976276,1,1,-0.008409738540649414,1.6844708919525146
0.007772658,1000.0,0.044193953,8.413353,2000,0.0,0.044193953,-691.2055109724292,2,1,0.041004180908203125,2.8654799461364746
0.007613981,1000.0,0.042697012,8.368299,3000,0.0,0.042697012,-633.9046971630959,3,1,0.07926654815673828,4.243801832199097
0.007382011,1000.0,0.042826787,8.348137,4000,0.0,0.042826787,-639.7371703308895,4,1,0.14342987537384033,5.5337910652160645
0.00708753,1000.0,0.047292966,8.325839,5000,0.0,0.047292966,-600.8645091137068,5,1,0.016276121139526367,7.232529878616333
0.0068941596,1000.0,0.049696703,8.352023,6000,0.0,0.049696703,-615.2778827474805,6,1,0.008071184158325195,8.514561891555786
0.007646703,1000.0,0.048772234,8.316784,7000,0.0,0.048772234,-604.4623313050124,7,1,0.014677107334136963,9.904783964157104
0.006789258,1000.0,0.042952664,8.324709,8000,0.0,0.042952664,-607.6500808899327,8,1,0.002535521984100342,11.230571031570435
0.0073718494,1000.0,0.046504382,8.265137,9000,0.0,0.046504382,-600.4102990393957,9,1,0.003204166889190674,12.44049596786499
0.0063771885,1000.0,0.044705324,8.24378,10000,0.0,0.044705324,-589.1585215683766,10,1,0.005457282066345215,13.59806489944458
0.0070473826,1000.0,0.04780693,8.21884,11000,0.0,0.04780693,-589.5650600655911,11,1,0.008857548236846924,14.749501943588257
0.0065475507,1000.0,0.047097705,8.170529,12000,0.0,0.047097705,-594.1181813264343,12,1,0.006975114345550537,15.960757970809937
0.007151597,1000.0,0.047487512,8.148552,13000,0.0,0.047487512,-589.6173295361984,13,1,0.01962345838546753,17.278499841690063
0.007533779,1000.0,0.053808656,8.145884,14000,0.0,0.053808656,-592.666542473786,14,1,0.03450196981430054,18.673457860946655
0.0070782984,1000.0,0.05045941,8.086795,15000,0.0,0.05045941,-586.2993079650427,15,1,-0.002038240432739258,19.983717918395996
0.0070672897,1000.0,0.050432954,8.042627,16000,0.0,0.050432954,-585.7093202369649,16,1,-0.005672335624694824,21.271251916885376
0.007780588,1000.0,0.054630343,8.006959,17000,0.0,0.054630343,-581.4871326814805,17,1,0.002540290355682373,22.586808919906616
0.0068328697,1000.0,0.045830477,7.9599304,18000,0.0,0.045830477,-579.8216651025106,18,1,0.003907620906829834,23.815789699554443
0.0070773223,1000.0,0.047354527,7.9250493,19000,0.0,0.047354527,-574.9143750998737,19,1,0.016201376914978027,24.98475694656372
0.005835433,1000.0,0.0693512,7.9385,20000,0.0,0.0693512,-569.4155282987094,20,1,0.13096529245376587,26.122095823287964
0.006570304,1000.0,0.04882734,7.8984623,21000,0.0,0.04882734,-566.0999026717697,21,1,-0.11941802501678467,27.369518756866455
0.006648263,1000.0,0.058609493,7.895386,22000,0.0,0.058609493,-563.9680162461555,22,1,0.059856295585632324,28.583406925201416
0.0069213673,1000.0,0.06318118,7.912133,23000,0.0,0.06318118,-560.3324652173355,23,1,0.0800548791885376,29.74083375930786
0.006356828,1000.0,0.050987177,7.885988,24000,0.0,0.050987177,-556.8478507018309,24,1,0.03688150644302368,30.91687774658203
0.006195032,1000.0,0.05209656,7.8682556,25000,0.0,0.05209656,-552.5395910739703,25,1,0.011394500732421875,32.1566858291626
0.00632678,1000.0,0.056334198,7.8422775,26000,0.0,0.056334198,-552.1436035067862,26,1,0.15071028470993042,33.510764837265015
0.0061788997,1000.0,0.054917883,7.8277593,27000,0.0,0.054917883,-550.0846119642962,27,1,-0.011562347412109375,35.04484796524048
0.006557617,1000.0,0.06006847,7.8137517,28000,0.0,0.06006847,-549.3242518771339,28,1,-0.05755007266998291,36.58293890953064
0.0061842175,1000.0,0.05505328,7.806274,29000,0.0,0.05505328,-548.445669243719,29,1,0.00992971658706665,37.802708864212036
0.006678241,1000.0,0.06389458,7.789704,30000,0.0,0.06389458,-548.3874909909965,30,1,0.07624953985214233,39.042356967926025
0.0066034365,1000.0,0.06702822,7.7943096,31000,0.0,0.06702822,-545.34745949771,31,1,0.25267505645751953,40.399842739105225
0.0067932755,1000.0,0.06243146,7.7816415,32000,0.0,0.06243146,-544.0337171715382,32,1,0.400457501411438,41.84896278381348
0.0059516896,1000.0,0.057730228,7.7681904,33000,0.0,0.057730228,-541.6647696860181,33,1,-0.31334376335144043,43.167749881744385
0.006146403,1000.0,0.0560152,7.7375484,34000,0.0,0.0560152,-542.3583341965832,34,1,0.19669878482818604,44.38991069793701
0.0068015596,1000.0,0.06335631,7.7306876,35000,0.0,0.06335631,-541.0819386271718,35,1,0.13602453470230103,45.70591187477112
