ev_tdlam_before,entloss,entropy,optimgain,EpRewMean,TimeElapsed,EpisodesSoFar,meankl,EpThisIter,TimestepsSoFar,surrgain,EpLenMean
-0.042301297187805176,0.0,1.330999,0.02179353,-95.82221047519857,0.8148708343505859,1,0.009552199,1,999,0.02179353,999.0
-0.18411636352539062,0.0,1.2416124,0.023085553,-86.72518724537704,1.4616987705230713,2,0.009815386,1,1998,0.023085553,999.0
-0.10494875907897949,0.0,1.146364,0.015399903,-80.22301607571681,2.1019039154052734,3,0.010085228,1,2997,0.015399903,999.0
0.40466684103012085,0.0,1.0637207,0.022076776,-73.1827436771388,2.759058952331543,4,0.010105293,1,3996,0.022076776,999.0
0.0035303831100463867,0.0,1.0062102,0.0125843715,-68.39407384943256,3.415743112564087,5,0.00999605,1,4995,0.0125843715,999.0
0.44014889001846313,0.0,0.92213386,0.01858457,-63.98498747878066,4.072598934173584,6,0.009553431,1,5994,0.01858457,999.0
0.027962327003479004,0.0,0.90866077,0.013226297,-45.94732278010726,4.733841180801392,7,0.008574767,1,6899,0.013226297,985.5714285714286
-4.110672950744629,0.0,0.9152739,0.014375225,-44.80041691160693,5.396388292312622,8,0.0076903924,1,7898,0.014375225,987.25
0.08163726329803467,0.0,0.89537036,0.015660249,-21.047259079571027,6.048362493515015,10,0.0059657097,2,9179,0.015660249,917.9
0.129277765750885,0.0,0.89198315,0.012521971,-3.312499553754678,6.712998390197754,12,0.0073484625,2,9808,0.012521971,817.3333333333334
0.2071160078048706,0.0,0.89943486,0.016802708,14.209915400893646,7.360995054244995,15,0.005438511,3,10957,0.016802708,730.4666666666667
0.2533155679702759,0.0,0.88672686,0.009990737,29.559467824238794,8.016032695770264,19,0.0028691133,4,12144,0.009990737,639.1578947368421
0.325786292552948,0.0,0.87391716,0.009467088,39.70431327558761,8.682440996170044,23,0.006831791,4,13155,0.009467088,571.9565217391304
0.33009594678878784,0.0,0.9276104,0.016475175,46.81017140235909,9.329890012741089,27,0.007913416,4,14213,0.016475175,526.4074074074074
0.40569859743118286,0.0,0.9006521,0.0064792424,51.97310439750127,9.987682580947876,31,0.0069024134,4,15150,0.0064792424,488.7096774193548
0.47554802894592285,0.0,0.9587993,0.021891318,56.77370789813739,10.643484354019165,36,0.007989183,5,16347,0.021891318,454.0833333333333
0.5606829822063446,0.0,1.015604,0.010605598,59.645722844893086,11.293439388275146,40,0.0066764895,4,17390,0.010605598,434.75
0.5328563451766968,0.0,1.0474019,0.013057869,72.04781693560265,11.945836782455444,43,0.006561064,3,18115,0.013057869,377.95
0.6490140557289124,0.0,1.0170523,0.012066037,82.41664706264883,12.59846544265747,47,0.0055086315,4,19278,0.012066037,309.475
0.5747169554233551,0.0,1.0025926,0.009080808,85.64379793864772,13.254997491836548,50,0.006908212,3,20296,0.009080808,277.925
0.6940316259860992,0.0,1.007256,0.009252662,85.79599853425444,13.938750267028809,54,0.0049479688,4,21303,0.009252662,266.375
0.6224162578582764,0.0,0.98594713,0.018465044,85.50725707264868,14.598778247833252,58,0.008985069,4,22368,0.018465044,261.675
0.7069860696792603,0.0,0.95698744,0.014943256,85.0665449517218,15.252610683441162,63,0.009030249,5,23441,0.014943256,257.15
0.7035968899726868,0.0,0.9067519,0.008650152,84.7884644472646,15.908594846725464,68,0.008021333,5,24416,0.008650152,250.825
0.717156320810318,0.0,0.8819792,0.011210691,84.79853317482278,16.56336498260498,74,0.006015013,6,25530,0.011210691,242.8
0.7570101767778397,0.0,0.91957253,0.009373615,85.16183515446635,17.21454119682312,80,0.0069960994,6,26571,0.009373615,229.525
0.7606479823589325,0.0,0.8620911,0.016576,85.74239552479484,17.87347149848938,86,0.008245422,6,27610,0.016576,214.1
0.8189897537231445,0.0,0.88865644,0.012805043,86.52427445009292,18.526360034942627,91,0.008445114,5,28454,0.012805043,198.325
0.815699890255928,0.0,0.8609089,0.0107569415,86.44754422165968,19.18500852584839,97,0.009753823,6,29691,0.0107569415,191.4
0.7773306369781494,0.0,0.82081026,0.0170127,86.725835194643,19.842501163482666,102,0.006729775,5,30545,0.0170127,184.775
0.8240889608860016,0.0,0.81702656,0.00999411,87.03396172169757,20.50919008255005,108,0.0077553885,6,31682,0.00999411,181.65
0.8965888246893883,0.0,0.7988821,0.008573827,87.1757939952299,21.1693012714386,114,0.0054633273,6,32729,0.008573827,179.975
0.8904601633548737,0.0,0.7994901,0.019703249,87.09274411971396,21.831841468811035,119,0.00509216,5,33675,0.019703249,183.5
0.9285076260566711,0.0,0.80750227,0.016120143,87.55243532934288,22.493590354919434,126,0.007962266,7,34732,0.016120143,178.05
0.9147772192955017,0.0,0.8332365,0.01328844,87.70210478243098,23.15861415863037,132,0.0074731205,6,35731,0.01328844,175.325
0.9097991213202477,0.0,0.8128838,0.011198309,88.24804477693522,23.829001903533936,139,0.005416618,7,36794,0.011198309,169.875
0.9350199848413467,0.0,0.84897834,0.009300586,88.49881400430905,24.49191451072693,145,0.006431162,6,37793,0.009300586,166.55
0.944623202085495,0.0,0.78234094,0.0135624595,88.61706462948665,25.148093938827515,152,0.009529816,7,38896,0.0135624595,163.475
0.9522204138338566,0.0,0.8074036,0.013184269,88.58730498212103,25.807246685028076,158,0.00778716,6,39823,0.013184269,160.65
0.9512152336537838,0.0,0.8129707,0.026619485,88.66688591896029,26.457812786102295,165,0.0062541245,7,40838,0.026619485,156.325
0.8579165488481522,0.0,0.84901446,0.016601516,88.27717219086821,27.109779357910156,171,0.0073208236,6,41852,0.016601516,156.8
