entropy,meankl,surrgain,EpThisIter,EpLenMean,EpisodesSoFar,EpRewMean,TimeElapsed,entloss,optimgain,ev_tdlam_before,TimestepsSoFar,EpTrueRewMean
1.4461477,0.005367404,0.081246205,1,1000.0,3743,20.353735,12071.249402284622,0.0,0.081246205,0.8767969682812691,3743000,-6360.751235250975
1.4457554,0.005839484,0.07534327,1,1000.0,3744,20.298574,12073.64117360115,0.0,0.07534327,0.7922638654708862,3744000,-6386.630904105266
1.4466443,0.0041575204,0.068835825,1,1000.0,3745,20.15728,12076.029799699783,0.0,0.068835825,0.7179953753948212,3745000,-6401.124879833505
1.4482578,0.0065294364,0.07905206,1,1000.0,3746,20.041574,12078.423161745071,0.0,0.07905206,0.776662677526474,3746000,-6373.614655558936
1.449528,0.0077130706,0.1041189,1,1000.0,3747,19.868088,12080.823227405548,0.0,0.1041189,0.9433127269148827,3747000,-6356.391067410087
1.4507599,0.0110485945,0.6094861,1,1000.0,3748,19.797247,12083.24259018898,0.0,0.6094861,0.6886969208717346,3748000,-6348.9769422514855
1.4478456,0.007938283,0.10524032,1,1000.0,3749,19.919788,12085.650453567505,0.0,0.10524032,0.6226857006549835,3749000,-6339.12881322253
1.4458262,0.006165268,0.07689635,1,1000.0,3750,20.106691,12088.06957769394,0.0,0.07689635,0.8412545472383499,3750000,-6370.194559090314
1.4473621,0.0056530507,0.08339503,1,1000.0,3751,20.0555,12090.485272407532,0.0,0.08339503,0.24317747354507446,3751000,-6371.3805473080365
1.4429003,0.0059285667,0.095835015,1,1000.0,3752,20.046206,12092.884769439697,0.0,0.095835015,0.6583201587200165,3752000,-6366.028865333725
1.4469761,0.0076056924,0.11694266,1,1000.0,3753,19.95788,12095.290481090546,0.0,0.11694266,0.7939761132001877,3753000,-6371.038540863703
1.4462277,0.006044409,0.24451585,1,1000.0,3754,20.001564,12097.70781826973,0.0,0.24451585,0.763923168182373,3754000,-6389.5026610445575
1.4479815,0.0067839287,0.07371846,1,1000.0,3755,19.933466,12100.12286400795,0.0,0.07371846,0.08476167917251587,3755000,-6387.003300936785
1.446747,0.010783864,0.09119376,1,1000.0,3756,19.973171,12102.552151203156,0.0,0.09119376,0.31356918811798096,3756000,-6403.70501948038
1.4470531,0.0066871652,0.08514863,1,1000.0,3757,20.060057,12104.995781183243,0.0,0.08514863,0.8191333115100861,3757000,-6373.1326631562315
1.4449612,0.007807687,0.07659158,1,1000.0,3758,20.393047,12107.465259075165,0.0,0.07659158,0.2433353066444397,3758000,-6390.11023792257
1.4427186,0.009745333,0.09762295,1,1000.0,3759,20.769886,12109.940557479858,0.0,0.09762295,0.8348370045423508,3759000,-6422.091897931005
1.4483181,0.007542574,0.09861843,1,1000.0,3760,20.706373,12112.412330150604,0.0,0.09861843,0.9338551089167595,3760000,-6435.364766469405
1.4521537,0.008720555,0.08565962,1,1000.0,3761,20.470211,12114.86614394188,0.0,0.08565962,0.773840069770813,3761000,-6385.381711469565
1.4545554,0.009959815,0.12782311,1,1000.0,3762,20.35246,12117.331734895706,0.0,0.12782311,0.7408291399478912,3762000,-6376.245925467714
1.4538411,0.006246919,0.075456575,1,1000.0,3763,20.28149,12119.78105378151,0.0,0.075456575,0.9200019389390945,3763000,-6346.3656523052305
1.4558145,0.008049831,0.109141454,1,1000.0,3764,19.824657,12122.2262403965,0.0,0.109141454,0.4679657220840454,3764000,-6312.123993303473
1.4582876,0.005310617,0.073721826,1,1000.0,3765,19.61311,12124.665439844131,0.0,0.073721826,0.8156930804252625,3765000,-6286.828248811346
1.4556439,0.007806981,0.102970324,1,1000.0,3766,19.52365,12127.100120306015,0.0,0.102970324,0.8690839558839798,3766000,-6279.455429003071
1.4531096,0.006520832,0.10004249,1,1000.0,3767,19.533262,12129.510433197021,0.0,0.10004249,0.7863229066133499,3767000,-6278.528868561976
1.45107,0.007358412,0.090151876,1,1000.0,3768,19.440289,12131.91680765152,0.0,0.090151876,0.8291350603103638,3768000,-6251.13712131114
1.4508656,0.006240977,0.104925364,1,1000.0,3769,19.34078,12134.323670625687,0.0,0.104925364,0.7253824770450592,3769000,-6233.0246323295
1.4504992,0.007816979,0.1198663,1,1000.0,3770,19.375696,12136.723895788193,0.0,0.1198663,0.783411294221878,3770000,-6247.3670454439725
1.4504243,0.0058787446,0.070227966,1,1000.0,3771,19.339497,12139.134498357773,0.0,0.070227966,0.8487008959054947,3771000,-6240.57012805416
1.4487468,0.0056171753,0.08115353,1,1000.0,3772,19.168854,12141.5421936512,0.0,0.08115353,0.7291444838047028,3772000,-6204.704707145381
1.4492644,0.005178068,0.07583742,1,1000.0,3773,19.141209,12143.942427873611,0.0,0.07583742,0.18564802408218384,3773000,-6249.259826676409
1.4469186,0.006407538,0.07856595,1,1000.0,3774,19.173483,12146.353011846542,0.0,0.07856595,0.7493299543857574,3774000,-6244.423472276978
1.4465077,0.007496334,0.0855955,1,1000.0,3775,18.977697,12148.749822378159,0.0,0.0855955,0.8434409648180008,3775000,-6225.324796944297
1.444656,0.005233764,0.088417485,1,1000.0,3776,18.801113,12151.151517152786,0.0,0.088417485,0.3568422198295593,3776000,-6250.191164001832
1.4439893,0.0060564578,0.08485567,1,1000.0,3777,18.612072,12153.557475328445,0.0,0.08485567,0.6037107408046722,3777000,-6296.901661411267
1.4421068,0.0068605635,0.07247411,1,1000.0,3778,18.75069,12155.96291255951,0.0,0.07247411,0.7786217331886292,3778000,-6267.885139748842
