EpThisIter,meankl,EpisodesSoFar,TimeElapsed,ev_tdlam_before,EpTrueRewMean,EpRewMean,optimgain,TimestepsSoFar,surrgain,EpLenMean,entloss,entropy
1,0.0043782266,3630,11880.383610486984,0.01948237419128418,-1885.761686640119,36.057495,0.06380206,3630000,0.06380206,1000.0,0.0,2.3843052
1,0.004146679,3631,11882.776340961456,0.1243850588798523,-1880.9272846290537,36.35108,0.06593439,3631000,0.06593439,1000.0,0.0,2.3815925
1,0.004087545,3632,11885.166509628296,0.039425671100616455,-1890.2728672183189,36.342583,0.067533575,3632000,0.067533575,1000.0,0.0,2.382159
1,0.004801848,3633,11887.556594848633,0.01553434133529663,-1881.6030152891913,36.362774,0.0731885,3633000,0.0731885,1000.0,0.0,2.3836548
1,0.00409647,3634,11889.950126886368,0.057996928691864014,-1873.2518657253909,36.498875,0.058746215,3634000,0.058746215,1000.0,0.0,2.383136
1,0.004595612,3635,11892.342222452164,0.4360197186470032,-1860.2200236979406,36.816734,0.082704484,3635000,0.082704484,1000.0,0.0,2.3863342
1,0.004795392,3636,11894.736685991287,0.15463215112686157,-1849.8113328465283,36.706146,0.07266985,3636000,0.07266985,1000.0,0.0,2.3826873
1,0.005427085,3637,11897.132665395737,0.07424056529998779,-1810.3650341477169,37.042206,0.07531845,3637000,0.07531845,1000.0,0.0,2.3890502
1,0.0048182714,3638,11899.522752523422,0.04071009159088135,-1804.1152606227527,37.25933,0.069073856,3638000,0.069073856,1000.0,0.0,2.393157
1,0.0046604755,3639,11901.944211006165,0.8559538275003433,-1853.6117557546968,36.82966,0.09232667,3639000,0.09232667,1000.0,0.0,2.3968098
1,0.0042622276,3640,11904.318225383759,0.04999595880508423,-1794.9208658851283,37.077488,0.080836274,3640000,0.080836274,1000.0,0.0,2.4014485
1,0.01470561,3641,11906.696243524551,0.05695509910583496,-1745.7298829024337,37.51896,0.16111824,3641000,0.16111824,1000.0,0.0,2.4041755
1,0.00476443,3642,11909.090873718262,0.0455968976020813,-1741.5906351322974,37.459156,0.07060573,3642000,0.07060573,1000.0,0.0,2.3939915
1,0.00489824,3643,11911.47822546959,-0.018335461616516113,-1734.7082853243933,37.516838,0.078249745,3643000,0.078249745,1000.0,0.0,2.389096
