meankl,surrgain,EpisodesSoFar,EpTrueRewMean,entloss,entropy,ev_tdlam_before,optimgain,EpThisIter,EpLenMean,EpRewMean,TimeElapsed,TimestepsSoFar
0.009810433,0.07571454,539,287.0316062502462,0.0,3.974153,0.6161321401596069,0.07571454,6,146.65,15.050967,1306.9782164096832,240681
0.009748599,0.07829174,546,290.6946630112212,0.0,3.9688492,0.7276563942432404,0.07829174,7,147.6,14.639972,1312.393631696701,241722
0.010118595,0.08694948,553,293.4684861538743,0.0,4.027014,0.7675504237413406,0.08694948,7,148.675,14.409785,1317.8030123710632,242878
0.009717938,0.077950224,559,297.56551007272765,0.0,4.0461664,0.8488853573799133,0.077950224,6,149.775,14.047437,1323.2259876728058,243778
0.010986105,0.07936847,565,308.98287010160766,0.0,3.996857,0.718840628862381,0.07936847,6,152.075,14.782262,1328.650032043457,244695
0.010726057,0.0802035,573,312.8416898946744,0.0,4.058906,0.8215443938970566,0.0802035,8,150.325,14.592834,1334.062830209732,245780
0.009454757,0.08552528,580,313.2405940053729,0.0,4.0754323,0.8428525328636169,0.08552528,7,149.525,13.918358,1339.486557483673,246804
0.009392675,0.08093713,587,318.1434109988039,0.0,4.0829473,0.8924810439348221,0.08093713,7,149.825,13.8116665,1344.8956484794617,247872
0.009688004,0.0668107,594,321.19185541162324,0.0,4.05921,0.7967814654111862,0.0668107,7,148.6,13.753082,1350.298333644867,248963
0.0103730075,0.07416058,600,321.0895274426483,0.0,4.0378714,0.6642722487449646,0.07416058,6,148.925,13.441,1355.694738149643,249872
0.01038253,0.077951595,606,317.31136459990483,0.0,4.0275884,0.7247147560119629,0.077951595,6,147.875,12.473134,1361.1001830101013,250790
0.009606642,0.06630653,613,322.36392349649077,0.0,3.9945693,0.713127613067627,0.06630653,7,150.025,12.360468,1366.4990916252136,251781
0.010512676,0.08022092,620,322.36582538808943,0.0,3.9787369,0.710098922252655,0.08022092,7,149.525,11.990508,1371.9096913337708,252785
0.009704696,0.07731161,627,312.7928734714122,0.0,3.96353,0.7314147055149078,0.07731161,7,145.75,11.106415,1377.3273479938507,253702
0.010510697,0.08757498,634,308.95526258854477,0.0,3.9775624,0.4553910493850708,0.08757498,7,142.7,10.453711,1382.7389512062073,254671
0.009846345,0.07281661,641,309.4004895756649,0.0,3.9967418,0.7990769892930984,0.07281661,7,142.75,9.9976635,1388.138751745224,255724
0.009645979,0.07443164,648,306.6617626944555,0.0,3.945099,0.670318067073822,0.07443164,7,140.9,9.721489,1393.548683643341,256735
0.010053568,0.072851405,655,312.66289583917836,0.0,3.933679,0.8089390248060226,0.072851405,7,142.775,10.003256,1398.9547917842865,257783
0.009910836,0.08615955,662,314.18356143990326,0.0,3.919075,0.5601753890514374,0.08615955,7,142.825,9.843058,1404.35426902771,258771
0.010361748,0.06321489,670,319.0605074419177,0.0,3.871733,0.6959429681301117,0.06321489,8,143.75,10.249092,1409.7677340507507,259832
0.00966315,0.06997764,678,314.0604002465375,0.0,3.8752198,0.6141210496425629,0.06997764,8,139.9,10.061261,1415.1953094005585,260863
0.010128131,0.0791768,685,313.4149774008696,0.0,3.9208698,0.6966069638729095,0.0791768,7,139.25,9.7303505,1420.604854106903,261883
0.009974454,0.08729367,692,313.714301121017,0.0,3.953621,0.7905459403991699,0.08729367,7,137.675,9.766461,1426.016242980957,262854
0.0098561635,0.07573876,699,311.41510724878856,0.0,3.9497356,0.7560319900512695,0.07573876,7,136.25,9.742037,1431.426569223404,263821
0.009278401,0.07859401,706,315.37933547712737,0.0,3.9621906,0.7010979652404785,0.07859401,7,138.175,9.914774,1436.8386416435242,264865
0.011091623,0.07164733,713,323.21316617422326,0.0,3.9286134,0.7957615554332733,0.07164733,7,141.9,9.714143,1442.2440311908722,265918
0.010713472,0.07759687,720,330.8616570641793,0.0,3.9165974,0.8313917219638824,0.07759687,7,145.125,9.592792,1447.6444563865662,266958
0.011229545,0.07392129,728,326.1515055415016,0.0,3.9000611,0.6433368623256683,0.07392129,8,142.475,10.0846615,1453.0678794384003,267982
0.009255488,0.06122492,735,328.8110227200833,0.0,3.8965535,0.8372732251882553,0.06122492,7,143.85,9.647484,1458.4768788814545,269017
0.009801248,0.0787546,742,327.8615011220877,0.0,3.887148,0.6630618274211884,0.0787546,7,142.475,9.398761,1463.9208099842072,269986
0.009979145,0.07621276,748,330.6982204984475,0.0,3.9252622,0.810017853975296,0.07621276,6,144.025,9.704761,1469.3327882289886,270917
0.009893777,0.1009851,754,338.04924545425376,0.0,3.918068,0.4832332730293274,0.1009851,6,145.725,10.215482,1474.7388200759888,271895
0.009351223,0.07139274,761,340.1188213359195,0.0,3.8913593,0.6804371774196625,0.07139274,7,145.225,10.140196,1480.1489601135254,272911
0.010076605,0.0897353,768,344.70499858118546,0.0,3.8701246,0.5602792501449585,0.0897353,7,147.2,10.467005,1485.567363023758,273870
0.009623674,0.060552318,775,343.6929052068175,0.0,3.8632138,0.6144288778305054,0.060552318,7,146.775,10.33252,1490.9752578735352,274888
0.010305168,0.07057261,781,368.8959904885649,0.0,3.8462598,0.8451436012983322,0.07057261,6,152.875,11.195356,1496.3825073242188,275948
0.008639446,0.15594618,787,373.37159054671827,0.0,3.8779583,0.7432319223880768,0.15594618,6,153.85,11.064455,1501.7964828014374,276916
0.009374608,0.07483295,793,376.7928360443565,0.0,3.8614576,0.6758637726306915,0.07483295,6,154.95,10.888895,1507.2080795764923,277952
0.00985021,0.07519042,799,385.90940976717036,0.0,3.8349302,0.8434207886457443,0.07519042,6,157.4,11.276115,1512.6185495853424,278921
0.009956835,0.08045698,806,396.61650299731036,0.0,3.7913144,0.8202157616615295,0.08045698,7,160.6,11.2192335,1518.0409388542175,280007
0.010219688,0.060514424,812,407.3944318373199,0.0,3.7718182,0.753046303987503,0.060514424,6,162.925,11.053828,1523.452850818634,281006
0.009881396,0.085258305,818,396.87298351771074,0.0,3.7465801,0.7214019596576691,0.085258305,6,161.85,10.488433,1528.877994298935,281921
0.010692589,0.07890691,825,398.79936023166505,0.0,3.7095952,0.8470367938280106,0.07890691,7,162.675,10.050207,1534.282773733139,283097
0.009810688,0.0669686,831,399.93466794699515,0.0,3.7043395,0.8173245489597321,0.0669686,6,161.575,9.713507,1539.6780469417572,284072
0.009613422,0.06712157,837,407.0184873451149,0.0,3.7168596,0.7778638303279877,0.06712157,6,164.425,9.810738,1545.0855722427368,285137
0.010416797,0.08026373,843,417.3626721762515,0.0,3.7675495,0.9007254466414452,0.08026373,6,167.85,9.647382,1550.4862127304077,286234
0.00919314,0.0741763,848,428.3180237734197,0.0,3.7766728,0.678939551115036,0.0741763,5,170.9,9.324518,1555.8836600780487,287162
0.009929551,0.06968522,854,431.24733539249837,0.0,3.7800295,0.8707222938537598,0.06968522,6,172.575,9.65299,1561.2823326587677,288189
0.010243416,0.06536178,860,439.0330661443343,0.0,3.7268612,0.8556273877620697,0.06536178,6,173.725,9.555123,1566.682642698288,289210
0.010798583,0.07494607,868,429.80273753918453,0.0,3.7191167,0.7983344495296478,0.07494607,8,171.825,9.089631,1572.0833554267883,290376
0.009941282,0.07937532,874,433.5892280824863,0.0,3.712767,0.8666020929813385,0.07937532,6,173.475,8.766091,1577.4906413555145,291492
0.009688003,0.08373425,881,420.41711750565827,0.0,3.7369466,0.802030473947525,0.08373425,7,169.675,8.096634,1582.902292251587,292635
0.010563714,0.077186525,886,425.71395140684325,0.0,3.7166445,0.8518102169036865,0.077186525,5,171.075,8.039929,1588.3037478923798,293632
0.011428701,0.09887649,891,433.6612599944694,0.0,3.7278445,0.903309091925621,0.09887649,5,172.9,7.9019966,1593.714732170105,294607
0.009836184,0.071639106,897,437.42330110446056,0.0,3.6830382,0.8124069422483444,0.071639106,6,175.275,7.7282004,1599.1146590709686,295730
0.010726421,0.06683335,902,445.3139588415235,0.0,3.631356,0.8835315555334091,0.06683335,5,177.575,7.6619215,1604.529462337494,296616
0.010030706,0.08025404,907,474.43004575540897,0.0,3.6201699,0.9137233793735504,0.08025404,5,186.05,8.125061,1609.9218208789825,297670
0.009948218,0.07549237,913,460.465249794472,0.0,3.6124332,0.8923460617661476,0.07549237,6,181.975,7.728527,1615.4058125019073,298643
0.0104371775,0.07043604,918,471.6472043858788,0.0,3.552155,0.874187171459198,0.07043604,5,186.025,7.906363,1620.8136310577393,299667
0.010191353,0.0773045,923,478.2578206335229,0.0,3.5315328,0.8979131653904915,0.0773045,5,189.2,8.043015,1626.224332332611,300594
0.010259573,0.074316844,928,473.0504857584271,0.0,3.5729454,0.8757806718349457,0.074316844,5,189.4,7.7339187,1631.64098072052,301626
0.010127667,0.07583744,933,487.5568888125241,0.0,3.602822,0.8866156935691833,0.07583744,5,193.575,8.147634,1637.0546174049377,302665
0.011321788,0.06661637,938,481.9561358279485,0.0,3.6316507,0.7978047728538513,0.06661637,5,191.8,7.879289,1642.4671235084534,303602
0.010364559,0.081147276,945,463.2921989415096,0.0,3.5962443,0.8650603741407394,0.081147276,7,186.9,7.4169006,1648.2541782855988,304711
0.0100731,0.070423305,949,469.50109858940596,0.0,3.6012876,0.8910844027996063,0.070423305,4,189.875,7.5179367,1653.6512849330902,305631
0.010467699,0.07017173,953,499.62841750546005,0.0,3.611519,0.8962051719427109,0.07017173,4,197.525,7.8155837,1659.0359795093536,306544
0.011133514,0.06670021,959,482.95720890485654,0.0,3.6115644,0.8483198583126068,0.06670021,6,192.45,7.2214193,1664.4217853546143,307590
0.012464796,0.0816233,964,499.27221237014544,0.0,3.6182234,0.8154410570859909,0.0816233,5,196.6,7.22722,1669.8093745708466,308673
0.014909088,0.067121364,970,495.776313770844,0.0,3.583306,0.8512270152568817,0.067121364,6,193.975,7.1398215,1675.2015895843506,309728
0.010659732,0.081973046,975,482.5557084830445,0.0,3.5650637,0.810864582657814,0.081973046,5,189.7,6.601462,1680.599638223648,310648
0.009664458,0.0714436,980,500.28622573227597,0.0,3.5381181,0.865081399679184,0.0714436,5,194.075,6.759799,1685.983099937439,311661
0.010090712,0.07885237,985,516.1956781080119,0.0,3.5498722,0.7989930659532547,0.07885237,5,197.9,6.823195,1691.3724076747894,312627
0.009875804,0.079103574,990,506.1354992943622,0.0,3.5854208,0.8625314980745316,0.079103574,5,194.475,6.5606413,1696.761714220047,313626
0.011181883,0.077267885,995,506.89205635079713,0.0,3.6099484,0.8691264390945435,0.077267885,5,195.6,6.5754776,1702.1475191116333,314694
0.010403018,0.08169085,1000,506.44343636686096,0.0,3.5842283,0.9054340794682503,0.08169085,5,194.725,6.5099235,1707.5396735668182,315634
0.009922035,0.07232086,1005,513.2931086710208,0.0,3.5741951,0.9070501774549484,0.07232086,5,196.35,6.6209154,1712.9329364299774,316653
0.010543243,0.06998755,1011,503.29510193840133,0.0,3.5750186,0.8824147656559944,0.06998755,6,194.4,6.3085356,1718.3296349048615,317724
