EpLenMean,EpRewMean,TimestepsSoFar,EpisodesSoFar,EpThisIter,meankl,EpTrueRewMean,ev_tdlam_before,TimeElapsed,optimgain,surrgain,entropy,entloss
876.225,530.8281,818128,1325,1,0.013195722,3099.0932272598525,-0.0037037134170532227,2889.7968895435333,0.040216118,0.040216118,1.0972989,0.0
879.625,532.7855,818785,1326,1,0.013347036,3113.486137778001,0.975535660982132,2894.9132993221283,0.047862675,0.047862675,1.0709769,0.0
869.625,524.2722,820385,1328,2,0.010119088,3079.7995386746093,0.8363043665885925,2900.0272624492645,0.04826426,0.04826426,1.0849135,0.0
869.625,523.64355,821385,1329,1,0.010285793,3079.9059484844306,0.08604311943054199,2905.1402451992035,0.035920147,0.035920147,1.0630031,0.0
869.625,523.55133,822385,1330,1,0.010322038,3079.788638499126,0.12318646907806396,2910.241542339325,0.028643351,0.028643351,1.0701087,0.0
860.625,518.4827,823025,1331,1,0.011849254,3051.453398717596,0.9843865456059575,2915.351508140564,0.06766295,0.06766295,1.0853524,0.0
860.625,518.56055,824025,1332,1,0.011032289,3050.8978457475264,0.024881958961486816,2920.4594864845276,0.04080646,0.04080646,1.1092988,0.0
860.625,519.24005,825025,1333,1,0.010403539,3051.250066843186,0.04087585210800171,2925.5756454467773,0.04097706,0.04097706,1.1159655,0.0
860.625,519.6776,826025,1334,1,0.010256833,3052.853267221879,0.15205734968185425,2930.686893939972,0.03675503,0.03675503,1.0767604,0.0
860.625,519.0436,827025,1335,1,0.0097342,3052.5455313951306,-0.015891432762145996,2935.794520139694,0.035111267,0.035111267,1.0591193,0.0
860.625,517.88983,828025,1336,1,0.011109561,3051.379886791345,0.08224654197692871,2940.9050936698914,0.03289466,0.03289466,1.0744724,0.0
860.625,517.02704,829025,1337,1,0.011721574,3051.975553994769,0.042001187801361084,2946.4396317005157,0.032646883,0.032646883,1.1074275,0.0
860.625,515.6494,830025,1338,1,0.011019366,3052.1829160454217,0.031067609786987305,2951.54692530632,0.036900233,0.036900233,1.1151679,0.0
860.625,514.8729,831025,1339,1,0.010365631,3051.9491141021986,0.05750536918640137,2956.6610238552094,0.030109826,0.030109826,1.0960389,0.0
860.625,514.6714,832025,1340,1,0.011187828,3051.339937459401,0.7714578360319138,2961.773066520691,0.044479158,0.044479158,1.1170892,0.0
866.4,518.5322,833025,1341,1,0.010965961,3067.7937084085906,0.044307053089141846,2966.8825023174286,0.04204882,0.04204882,1.1179353,0.0
866.4,519.08875,834025,1342,1,0.01170223,3067.931468267696,0.03305691480636597,2971.9982006549835,0.040851805,0.040851805,1.1164708,0.0
866.4,519.26,835025,1343,1,0.01061135,3066.85772544451,0.0689592957496643,2977.1194915771484,0.039351594,0.039351594,1.0960406,0.0
882.85,529.34247,836025,1344,1,0.010923175,3123.872040095186,-0.00678861141204834,2982.2649400234222,0.034207903,0.034207903,1.0923545,0.0
893.175,535.60333,837025,1345,1,0.010422113,3158.18848794035,0.05013418197631836,2987.409099817276,0.033563323,0.033563323,1.1025714,0.0
882.6,528.2567,837602,1346,1,0.013906399,3122.802482577942,0.9662028439342976,2992.5458760261536,0.058840685,0.058840685,1.0999159,0.0
882.6,527.7429,838602,1347,1,0.009909472,3122.6905958863977,0.10351604223251343,2997.6780314445496,0.03858675,0.03858675,1.1034459,0.0
882.6,526.7975,839602,1348,1,0.0120930765,3122.170455476847,0.06877344846725464,3002.8195328712463,0.036701776,0.036701776,1.0838567,0.0
882.6,526.10565,840602,1349,1,0.011089618,3122.837253936351,-0.08768618106842041,3007.950765132904,0.030891933,0.030891933,1.0897881,0.0
