#{"t_start": 1521279226.9544253, "env_id": "Hopper-v2"}
r,l,t
9.459691,11,4.095676
17.772045,19,4.125044
28.355528,24,4.161235
8.306103,12,4.179381
9.842023,12,4.197299
17.190914,20,4.227752
10.86306,13,4.247488
6.7886,11,4.264531
20.12952,21,4.296531
4.428195,10,4.311964
15.481172,25,4.350457
4.686614,19,4.379709
16.082956,16,4.404348
6.78876,9,4.417829
11.932928,24,4.454556
100.323208,72,4.565107
39.589668,32,4.61441
6.865294,10,4.629535
19.718738,29,4.674657
18.260136,26,4.715278
7.942724,10,4.730472
10.119848,24,4.766963
18.485801,21,4.798993
12.948941,14,4.819952
7.840345,10,4.834993
57.057875,38,4.892738
13.829209,16,4.917116
16.170266,18,4.944769
8.426477,12,4.962628
181.974164,95,5.105973
6.297107,9,5.119515
46.538239,46,5.189042
38.660269,44,5.2568
17.618573,31,5.304633
7.07464,10,5.319501
5.549574,11,5.336471
13.188217,15,5.359315
13.105074,16,5.383873
7.43764,11,5.400586
7.58091,29,5.444636
9.341327,12,5.462746
20.121608,21,5.494928
22.051061,26,5.535314
64.743782,56,5.622901
12.274972,24,6.291241
25.297598,23,6.326875
15.197471,16,6.3517
5.78459,10,6.366505
49.256388,37,6.423763
12.535895,15,6.44672
14.3899,15,6.469701
35.112629,31,6.51837
24.915529,29,6.563875
7.878384,12,6.582034
19.035398,21,6.614771
22.334495,21,6.647197
32.617034,28,6.690536
8.522426,10,6.705974
11.648087,15,6.729115
12.554073,15,6.752139
8.619739,11,6.768846
9.711068,14,6.790546
14.327087,14,6.812046
7.108913,9,6.8259
8.249627,10,6.840961
11.899063,15,6.863832
9.630952,13,6.883753
9.287198,15,6.905792
9.293772,13,6.925524
7.609709,9,6.939092
41.034559,31,6.986031
7.223607,9,6.999955
6.578295,11,7.017007
10.989846,19,7.046481
31.443854,33,7.097411
13.360906,16,7.122132
17.901204,31,7.170872
9.464342,16,7.195282
7.611555,11,7.211753
8.941679,16,7.236917
70.510332,43,7.303783
17.878329,17,7.330232
23.665177,33,7.382304
5.975999,10,7.398298
14.627822,17,7.424199
11.139618,17,7.450757
10.206435,14,7.472638
75.326527,52,7.5524
55.852089,39,7.613283
11.440652,14,7.634656
8.600636,11,7.651042
9.805673,23,7.686205
8.217062,10,7.701893
45.298976,56,7.788389
2.917078,20,7.819649
14.455549,19,7.849466
8.663226,14,8.091298
59.344861,42,8.155978
10.99697,18,8.183979
7.780273,11,8.200903
15.421445,38,8.26015
43.785179,45,8.329391
12.945376,24,8.366122
21.341718,33,8.417811
14.199157,18,8.445544
14.093199,19,8.474874
17.462277,24,8.5117
39.537598,29,8.55598
6.191406,9,8.569545
11.540763,17,8.59587
48.567264,55,8.681204
27.939627,25,8.71959
9.718846,25,8.757909
7.973931,15,8.780669
5.484622,13,8.800305
6.729199,14,8.822798
12.524936,22,8.856511
8.091737,10,8.871582
7.703057,10,8.886753
7.176642,13,8.906773
12.127783,15,8.92896
13.869288,17,8.9548
9.120781,14,8.976079
27.289962,34,9.02887
6.182918,18,9.057085
12.889681,20,9.088555
14.105329,23,9.124137
11.286286,20,9.154765
90.488167,56,9.239836
8.428979,19,9.269198
38.211684,39,9.330325
17.309249,20,9.360817
46.197747,49,9.436088
22.00661,34,9.488813
14.584122,19,9.518617
24.368942,21,9.550931
8.706928,14,9.572349
9.579557,12,9.590454
62.541818,59,10.019624
18.719102,48,10.094344
171.86298,100,10.248441
47.456116,37,10.30486
96.647918,75,10.41829
82.322267,75,10.532647
9.34284,27,10.573562
65.090198,60,10.666673
16.897531,35,10.7206
15.463106,20,10.751514
45.353896,36,10.806935
15.269891,26,10.847052
13.068649,22,10.881047
7.674986,20,10.912049
14.064217,26,10.952163
18.22812,30,10.998832
7.397342,9,11.012665
13.571358,18,11.040065
20.278097,40,11.10144
18.446055,25,11.140174
32.3287,31,11.187453
58.828459,51,11.265298
26.08501,27,11.30705
83.784734,49,11.381656
14.422351,24,11.418962
40.968069,43,11.484887
24.311281,33,11.536768
121.471324,85,11.88551
15.368182,31,11.933968
125.811571,93,12.076138
9.804675,17,12.102408
76.900343,61,12.193798
8.318893,10,12.208872
55.28867,42,12.272798
98.399879,63,12.368459
37.127075,41,12.432371
45.545733,45,12.501666
61.87942,42,12.564742
111.990819,79,12.683414
52.936348,37,12.739979
69.966452,43,12.806352
149.61652,106,12.966986
9.731551,27,13.008967
92.667177,78,13.128463
32.821104,59,13.219448
11.047863,19,13.248603
58.12034,41,13.310879
86.744597,65,13.629955
92.594906,53,13.711964
26.158666,35,13.766911
119.378169,69,13.8719
127.346324,95,14.01803
36.955549,62,14.114165
237.647613,126,14.308697
104.525879,107,14.47351
95.375003,67,14.577617
102.906332,72,14.687852
135.994357,77,14.805094
347.425599,224,15.387501
45.410839,73,15.499962
82.825888,94,15.644174
152.204148,116,15.823755
