optimgain,ev_tdlam_before,EpThisIter,EpisodesSoFar,TimeElapsed,entloss,EpLenMean,EpRewMean,meankl,surrgain,entropy,TimestepsSoFar
0.0066467286,0.004342496395111084,1,1,0.8629424571990967,0.0,999.0,-90.55829039700396,0.008609399,0.0066467286,1.4189401,999
0.01410208,-0.13887906074523926,1,2,1.5413963794708252,0.0,999.0,-95.88697420882154,0.0088064065,0.01410208,1.4189401,1998
0.0071946895,0.22171556949615479,1,3,2.222139596939087,0.0,999.0,-99.79828640551483,0.010506692,0.0071946895,1.4189401,2997
0.011914053,0.27990102767944336,1,4,2.8927881717681885,0.0,999.0,-101.42731885792439,0.007844958,0.011914053,1.4189401,3996
0.010127065,0.09317374229431152,1,5,3.564002752304077,0.0,999.0,-102.05177921762402,0.0076910327,0.010127065,1.4189401,4995
0.0060908813,-0.05319023132324219,1,6,4.320177316665649,0.0,999.0,-101.6256105842523,0.00880876,0.0060908813,1.4189401,5994
0.0031626,0.07491558790206909,1,7,5.000884294509888,0.0,999.0,-100.32819957710285,0.0039003845,0.0031626,1.4189401,6993
0.0039907154,-0.00683438777923584,1,8,5.652826547622681,0.0,999.0,-100.29980699385037,0.0061674193,0.0039907154,1.4189401,7992
0.008468727,0.036396920680999756,1,9,6.304055452346802,0.0,999.0,-99.81334067927203,0.00704999,0.008468727,1.4189401,8991
0.008254236,0.24681562185287476,1,10,7.000818729400635,0.0,999.0,-100.50572451989571,0.008816895,0.008254236,1.4189401,9990
0.0049112877,0.06444281339645386,2,12,7.677999973297119,0.0,922.8333333333334,-77.66621879577008,0.0072115604,0.0049112877,1.4189401,11074
0.015359379,-0.020002365112304688,1,13,8.343186140060425,0.0,902.6153846153846,-69.73363575238078,0.009523936,0.015359379,1.4189401,11734
0.006437725,0.31922686100006104,3,16,9.044131517410278,0.0,821.0625,-47.539771058768864,0.008189917,0.006437725,1.4189401,13137
0.010356842,0.22138148546218872,2,18,9.721431970596313,0.0,772.9444444444445,-35.67536120675334,0.009307541,0.010356842,1.4189401,13913
0.012349633,0.46595191955566406,4,22,10.397645473480225,0.0,691.3636363636364,-17.889358864742174,0.0072125765,0.012349633,1.4189401,15210
0.012108855,0.7097328007221222,5,27,11.09839916229248,0.0,600.5185185185185,-1.2880672124097325,0.0061732004,0.012108855,1.4189401,16214
0.013365634,0.7799397855997086,5,32,11.786238670349121,0.0,541.875,9.898547997895575,0.009125536,0.013365634,1.4189401,17340
0.017362822,0.8453155010938644,4,36,12.478259801864624,0.0,507.94444444444446,15.944487342850428,0.008850232,0.017362822,1.4189401,18286
0.007409637,0.913382887840271,6,42,13.146463394165039,0.0,434.6,29.76070260251571,0.0062672715,0.007409637,1.4189401,19382
0.0089758225,0.858683630824089,6,48,13.847509145736694,0.0,310.775,55.269138545083386,0.006453336,0.0089758225,1.4189401,20423
0.009458379,0.9539361409842968,6,54,14.543914318084717,0.0,226.325,67.54740952558105,0.005630699,0.009458379,1.4189401,21415
0.0087137595,0.9137489274144173,6,60,15.23374056816101,0.0,191.2,70.1604334157906,0.0064717894,0.0087137595,1.4189401,22383
0.0076393974,0.9688537027686834,7,67,15.929235458374023,0.0,182.35,70.27419750706581,0.006364898,0.0076393974,1.4189401,23508
0.011826738,0.8157117366790771,6,73,16.614516973495483,0.0,170.1,70.31162440274515,0.008182993,0.011826738,1.4189401,24442
0.010023198,0.9715026635676622,6,79,17.292008638381958,0.0,166.525,69.9344160142394,0.0066481493,0.010023198,1.4189401,25516
0.009684695,0.9664656892418861,7,86,17.974982023239136,0.0,164.0,70.52180448811217,0.0035631065,0.009684695,1.4189401,26624
0.0073507554,0.9543750062584877,6,92,18.671802043914795,0.0,162.325,70.9324934765358,0.0061508436,0.0073507554,1.4189401,27583
0.01405322,0.974922563880682,6,98,19.34850764274597,0.0,164.875,70.30269073802222,0.007506895,0.01405322,1.4189401,28618
0.0101856645,0.9728443082422018,6,104,20.027101278305054,0.0,165.675,70.58926977833931,0.008682966,0.0101856645,1.4189401,29629
0.006687599,0.9786672480404377,6,110,20.714144945144653,0.0,164.45,70.77728355040708,0.006920201,0.006687599,1.4189401,30600
0.010798605,0.9809107445180416,7,117,21.41763949394226,0.0,162.5,71.16086451968441,0.007937087,0.010798605,1.4189401,31709
0.0111920275,0.9704233035445213,6,123,22.10140609741211,0.0,159.9,71.33852131562193,0.0055068145,0.0111920275,1.4189401,32616
0.0086843595,0.9795534759759903,9,132,22.777681589126587,0.0,153.75,71.77369395592218,0.0061761583,0.0086843595,1.4189401,33733
0.017473647,0.9006490483880043,8,140,23.467259645462036,0.0,145.35,72.22085702099596,0.008321775,0.017473647,1.4189401,34784
0.012172047,0.9428642578423023,8,148,24.16237235069275,0.0,137.375,72.96019473580165,0.0069422857,0.012172047,1.4189401,35790
0.010994699,0.9743348136544228,8,156,24.867356777191162,0.0,132.275,73.19073030348288,0.0055375276,0.010994699,1.4189401,36836
0.01824807,0.9581420198082924,9,165,25.53187847137451,0.0,121.725,74.395219409977,0.008902548,0.01824807,1.4189401,37805
0.008180621,0.9448898509144783,8,173,26.23688244819641,0.0,123.35,73.4927639638326,0.00822623,0.008180621,1.4189401,38832
0.01291152,0.9458755142986774,9,182,26.9159197807312,0.0,121.35,72.97740119034037,0.006863459,0.01291152,1.4189401,39876
0.018007558,0.9422107636928558,10,192,27.612046480178833,0.0,115.5,73.3356884714108,0.008003972,0.018007558,1.4189401,40893
0.01141911,0.983003256842494,12,204,28.30888295173645,0.0,107.4,73.63658735280072,0.007893303,0.01141911,1.4189401,41984
0.015182615,0.9811662938445807,11,215,28.994616985321045,0.0,95.325,75.02674001421266,0.0071363132,0.015182615,1.4189401,42940
0.01244534,0.9045522287487984,10,225,29.650951147079468,0.0,93.725,74.70876999645813,0.0066070473,0.01244534,1.4189401,43965
0.018574584,0.991422257386148,11,236,30.34030771255493,0.0,94.725,74.46879903744647,0.008278168,0.018574584,1.4189401,45044
0.01999316,0.9625174291431904,11,247,31.04920721054077,0.0,94.875,74.78210941284459,0.0077760876,0.01999316,1.4189401,46052
0.011976217,0.9324248135089874,8,255,31.741543769836426,0.0,103.25,73.42207546968906,0.0072892345,0.011976217,1.4189401,47070
0.0188173,0.9835100546479225,11,266,32.45287203788757,0.0,101.75,73.91855468794748,0.007910609,0.0188173,1.4189401,48112
0.012376888,0.9591350965201855,11,277,33.166115283966064,0.0,100.15,73.86846597325365,0.008363054,0.012376888,1.4189401,49125
0.010634359,0.9682336300611496,11,288,33.88572382926941,0.0,99.475,73.92988650905416,0.009539737,0.010634359,1.4189401,50135
0.017423451,0.9599751196801662,11,299,34.600691080093384,0.0,93.075,74.49906701932859,0.010251704,0.017423451,1.4189401,51133
0.025491487,0.9518727101385593,11,310,35.30984807014465,0.0,94.725,74.0826792309964,0.0058726603,0.025491487,1.4189401,52205
0.011502699,0.9712003078311682,10,320,36.02756118774414,0.0,94.15,73.9888213081208,0.0073251743,0.011502699,1.4189401,53127
0.0058200005,0.919049009680748,10,330,36.75554966926575,0.0,95.125,73.6263390644573,0.005802091,0.0058200005,1.4189401,54163
