entloss,optimgain,EpRewMean,meankl,TimeElapsed,entropy,EpisodesSoFar,TimestepsSoFar,EpLenMean,ev_tdlam_before,surrgain,EpThisIter
0.0,0.07599804,102.05719566786306,0.0068934853,3.5952048301696777,24.0962,48,1022,21.625,0.0005977749824523926,0.07599804,48
0.0,0.08534076,105.33242093784811,0.0069635822,6.594695806503296,24.119019,93,2034,22.3,0.221343994140625,0.08534076,45
0.0,0.07956286,113.7434408694559,0.0063769193,9.664580821990967,24.079428,135,3058,23.9,0.1329450011253357,0.07956286,42
0.0,0.07930414,100.13750758434439,0.0063778367,12.659339904785156,24.083824,183,4093,21.375,0.15265464782714844,0.07930414,48
0.0,0.08102013,103.92440643778426,0.006216239,15.650138854980469,24.085121,228,5077,21.85,0.06421184539794922,0.08102013,45
0.0,0.08845729,118.32469104356406,0.006147231,18.700066804885864,24.095373,269,6141,25.35,0.09940320253372192,0.08845729,41
0.0,0.09242356,115.26194362343173,0.005983012,21.796533823013306,24.101559,310,7154,24.7,0.10511481761932373,0.09242356,41
0.0,0.09032934,115.56403818692925,0.0059766546,24.857117891311646,24.087433,352,8185,24.575,0.19661295413970947,0.09032934,42
0.0,0.088131994,102.34844990754482,0.0058915764,27.841739892959595,24.126625,397,9192,21.6,0.1916080117225647,0.088131994,45
0.0,0.09616874,127.84273438073528,0.0058044903,31.030784845352173,24.116695,435,10233,27.125,0.1874372363090515,0.09616874,38
0.0,0.09283653,117.21268746432229,0.006428747,34.04755473136902,24.10596,476,11248,24.9,0.2706902027130127,0.09283653,41
0.0,0.09877154,124.4298479935444,0.0058941953,37.14052891731262,24.097658,515,12282,26.4,0.2098606824874878,0.09877154,39
0.0,0.0966395,122.47209553816245,0.0056521883,41.613853931427,24.09078,554,13295,25.8,0.2689967155456543,0.0966395,39
0.0,0.105735764,134.78390071190248,0.0059123132,45.6646728515625,24.06495,590,14328,28.475,0.26732146739959717,0.105735764,36
0.0,0.10286483,134.61180874440606,0.006200709,49.55581784248352,24.059538,626,15360,28.725,0.31771600246429443,0.10286483,36
0.0,0.10531908,147.61135137606405,0.005777523,53.01763296127319,24.066929,657,16364,31.25,0.261726975440979,0.10531908,31
0.0,0.11141023,149.92599896512897,0.0063706003,56.802501916885376,24.059694,689,17354,31.45,0.3109234571456909,0.11141023,32
0.0,0.099980116,149.06851355227369,0.005930109,59.92703580856323,24.041832,722,18405,31.225,0.3150791525840759,0.099980116,33
0.0,0.11575362,146.78723942128644,0.0062930766,62.828204870224,24.050325,755,19448,31.0,0.3833268880844116,0.11575362,33
0.0,0.102644295,161.36645977583913,0.0058453265,66.85344886779785,24.043785,784,20475,34.65,0.39511239528656006,0.102644295,29
0.0,0.11344574,183.33446472956552,0.0061378125,70.74541282653809,24.055187,811,21498,38.45,0.367623507976532,0.11344574,27
0.0,0.10830281,162.98394836206612,0.0061704507,73.97562289237976,24.04606,840,22512,34.725,0.3851475119590759,0.10830281,29
0.0,0.121165976,162.50143404110491,0.005900734,77.30486488342285,24.022585,870,23541,34.725,0.4084007143974304,0.121165976,30
0.0,0.13534354,177.08450812641658,0.0059202146,80.59628176689148,24.023796,896,24566,37.975,0.3411256670951843,0.13534354,26
0.0,0.11997296,193.2743391855689,0.0058451043,83.99584102630615,24.02893,920,25578,40.975,0.37076616287231445,0.11997296,24
0.0,0.1130642,196.24717007670006,0.005861923,87.22902989387512,24.039032,946,26622,41.325,0.3914841413497925,0.1130642,26
0.0,0.1271232,188.00658250533814,0.00591188,91.13261699676514,24.057655,972,27626,39.675,0.4541744589805603,0.1271232,26
0.0,0.11602381,211.47163741239282,0.0059059695,95.69562697410583,24.073088,994,28640,43.625,0.4834011197090149,0.11602381,22
0.0,0.11164192,207.96830857518438,0.006011904,98.89104104042053,24.043335,1020,29692,43.325,0.4774323105812073,0.11164192,26
0.0,0.12638324,199.9153715919237,0.0058663636,102.38997292518616,24.020958,1041,30674,42.15,0.4535631537437439,0.12638324,21
0.0,0.12445697,216.04119417793885,0.0060380343,105.8583779335022,24.026215,1065,31729,44.625,0.419705867767334,0.12445697,24
0.0,0.11759533,229.90004172250852,0.006130151,109.11649990081787,24.033659,1084,32725,47.975,0.44765937328338623,0.11759533,19
0.0,0.1268497,243.05522797764237,0.0066345325,112.28576898574829,24.04117,1104,33765,51.35,0.5495315790176392,0.1268497,20
0.0,0.13553557,234.10558972265267,0.005733991,115.47175192832947,24.062046,1126,34787,48.95,0.5084987282752991,0.13553557,22
0.0,0.14832616,230.00104189182383,0.005731089,118.78712797164917,24.036095,1147,35793,48.025,0.49884170293807983,0.14832616,21
0.0,0.121719025,241.692626464053,0.0062833554,122.45990872383118,24.020844,1167,36860,50.55,0.5238275527954102,0.121719025,20
0.0,0.11457142,259.46294381427396,0.006001827,127.00229096412659,24.026363,1185,37869,53.725,0.49174320697784424,0.11457142,18
0.0,0.114441976,263.56507081901583,0.0061330935,130.8171148300171,24.00817,1204,38855,55.075,0.4628242254257202,0.114441976,19
0.0,0.12306215,263.98560345193346,0.0059207613,134.97422575950623,24.002932,1222,39916,55.525,0.5413109064102173,0.12306215,18
0.0,0.11815475,257.9884346060808,0.005757017,139.0699977874756,23.99117,1243,40937,53.35,0.5314593613147736,0.11815475,21
0.0,0.122873604,250.10499662129692,0.0063261567,142.77899885177612,23.987314,1262,41962,51.15,0.5606304407119751,0.122873604,19
0.0,0.11764671,247.33833589022288,0.006446663,147.17453384399414,23.98336,1282,42967,51.2,0.6198671162128448,0.11764671,20
0.0,0.11687809,239.79428399562735,0.0061456496,150.422709941864,23.9751,1302,43985,50.575,0.6242881417274475,0.11687809,20
0.0,0.11989751,253.6772197814975,0.006409692,153.70122289657593,23.985718,1321,45043,53.175,0.5255774259567261,0.11989751,19
0.0,0.12006245,280.8838810653349,0.006369658,157.07145380973816,23.957388,1336,46003,58.15,0.5700743496417999,0.12006245,15
0.0,0.11664458,292.82461083860346,0.0062596053,160.24919080734253,23.963999,1355,47074,60.175,0.6481562256813049,0.11664458,19
0.0,0.12001486,269.3354345171491,0.0059643984,163.3289659023285,23.952303,1373,48097,56.4,0.678544282913208,0.12001486,18
0.0,0.12443301,266.8399705351401,0.0065934286,166.50265979766846,23.947264,1391,49101,56.425,0.6332606673240662,0.12443301,18
0.0,0.11990949,251.07737294462112,0.007019245,169.65303492546082,23.92224,1411,50139,52.7,0.6266253292560577,0.11990949,20
0.0,0.12602672,255.01353236937885,0.0071894266,172.90137481689453,23.905766,1429,51131,53.075,0.6791506707668304,0.12602672,18
0.0,0.15216967,274.4908445115605,0.0061144372,176.01921772956848,23.901701,1447,52183,57.375,0.6707508265972137,0.15216967,18
0.0,0.123480394,291.9988413788018,0.006519108,179.03464770317078,23.903769,1462,53199,60.675,0.6632420718669891,0.123480394,15
0.0,0.12313496,302.1681335486431,0.006671392,182.05393981933594,23.92838,1479,54253,63.55,0.6996937096118927,0.12313496,17
0.0,0.13366282,296.67721434947487,0.00647992,185.03254985809326,23.920567,1496,55280,62.45,0.6193720698356628,0.13366282,17
0.0,0.1251148,290.6065972253974,0.00636931,188.0219578742981,23.913578,1513,56295,60.5,0.6680938303470612,0.1251148,17
0.0,0.12300595,291.95738796368835,0.0068028485,191.11092495918274,23.906376,1530,57327,61.025,0.735031932592392,0.12300595,17
0.0,0.12821999,293.69028972443516,0.0063916957,194.16510486602783,23.898306,1545,58288,61.475,0.6841293275356293,0.12821999,15
0.0,0.13466193,300.255721189415,0.0064092763,197.29288601875305,23.883759,1562,59376,62.25,0.6540545225143433,0.13466193,17
0.0,0.122764096,312.3285699268352,0.0065988074,201.781023979187,23.88366,1579,60403,63.925,0.6916123628616333,0.122764096,17
0.0,0.14133918,310.03023536802147,0.0064988853,205.18142104148865,23.876427,1594,61418,63.575,0.7200952172279358,0.14133918,15
0.0,0.1356962,302.39403128165816,0.006279855,208.453382730484,23.879398,1611,62451,62.7,0.724407434463501,0.1356962,17
0.0,0.12742373,300.4949817245395,0.0063704224,211.59516382217407,23.886393,1627,63472,62.3,0.6866098046302795,0.12742373,16
0.0,0.13042554,325.17179795399187,0.007072224,215.35126280784607,23.874638,1641,64458,66.925,0.6956832110881805,0.13042554,14
0.0,0.12859288,329.9346222933558,0.0069968263,218.577054977417,23.856415,1657,65522,68.35,0.7812183946371078,0.12859288,16
0.0,0.13449226,318.59616419502976,0.006729471,221.85267090797424,23.863283,1673,66548,66.225,0.7317044734954834,0.13449226,16
0.0,0.12235586,315.2674731345361,0.006572617,225.06481671333313,23.850618,1688,67526,65.725,0.7618673294782639,0.12235586,15
0.0,0.12324196,325.2426439017544,0.0066854404,228.41175603866577,23.830204,1704,68558,66.925,0.7399570643901825,0.12324196,16
0.0,0.12827572,314.2490517923386,0.006971374,231.704571723938,23.837038,1721,69610,64.35,0.6421859860420227,0.12827572,17
0.0,0.12089118,313.3213053752421,0.006297755,234.90565395355225,23.83655,1737,70636,63.75,0.7678090333938599,0.12089118,16
0.0,0.13453418,308.5614505854645,0.0064943535,238.1529998779297,23.838991,1752,71618,62.7,0.8097235262393951,0.13453418,15
0.0,0.1326364,322.98628430441414,0.0069138194,241.50025296211243,23.848766,1767,72676,65.975,0.7580491006374359,0.1326364,15
0.0,0.12553644,329.02360869311497,0.006654036,244.9023449420929,23.842735,1782,73680,67.35,0.7668661624193192,0.12553644,15
0.0,0.1321716,323.98194106805056,0.0070889294,248.1378788948059,23.836945,1798,74750,66.8,0.792371854186058,0.1321716,16
0.0,0.12102273,313.4803889605758,0.0068048155,251.3555998802185,23.82076,1813,75721,65.2,0.8121819347143173,0.12102273,15
0.0,0.12358316,319.73433938092114,0.0064193364,254.55729579925537,23.804684,1828,76737,65.975,0.7747063934803009,0.12358316,15
0.0,0.1280409,330.84950411271956,0.006884865,257.84446692466736,23.795774,1843,77819,68.475,0.7981346994638443,0.1280409,15
0.0,0.13054627,332.2302718538937,0.0062678023,261.0563907623291,23.777334,1858,78838,68.55,0.7619517892599106,0.13054627,15
0.0,0.13980651,338.27954799696477,0.007201495,264.2786817550659,23.81168,1872,79822,69.55,0.8224711269140244,0.13980651,14
0.0,0.12154566,311.09642557072624,0.0065630064,267.61504197120667,23.810871,1890,80879,63.6,0.8205841332674026,0.12154566,18
0.0,0.12193448,291.51066502249813,0.0065036276,270.8000268936157,23.792448,1907,81845,59.725,0.8617730438709259,0.12193448,17
0.0,0.13288172,289.82072270066124,0.006853817,274.06653690338135,23.786777,1925,82942,59.25,0.8113539516925812,0.13288172,18
0.0,0.15265945,323.1442889622157,0.006495474,277.34930896759033,23.801603,1937,83902,66.175,0.6268979907035828,0.15265945,12
0.0,0.1391761,330.34138305110037,0.0070389314,281.30601978302,23.803263,1953,84966,68.0,0.8398877382278442,0.1391761,16
0.0,0.18263833,347.06098512472755,0.007109172,284.5590739250183,23.80469,1968,85973,71.175,0.7559370249509811,0.18263833,15
0.0,0.13865763,321.0612956008201,0.006780881,287.7939987182617,23.812664,1983,86968,65.775,0.7299841940402985,0.13865763,15
0.0,0.13558805,330.8421631985781,0.0073981625,291.0640058517456,23.797842,1998,88007,67.325,0.8302324265241623,0.13558805,15
0.0,0.13503593,334.3466506960789,0.0069212364,294.31435680389404,23.79769,2014,89078,67.55,0.8562264442443848,0.13503593,16
0.0,0.13937601,322.58880809500204,0.006870931,297.55780386924744,23.811039,2030,90057,65.75,0.8389027863740921,0.13937601,16
0.0,0.1360797,312.36247790816134,0.007053064,300.87531065940857,23.80367,2045,91086,64.075,0.8089112639427185,0.1360797,15
0.0,0.15266022,335.6019140305747,0.0067900904,304.3932158946991,23.792025,2058,92102,68.75,0.6814064383506775,0.15266022,13
0.0,0.15445417,355.51807150929824,0.0073417816,307.60535287857056,23.787596,2072,93121,73.15,0.7808725982904434,0.15445417,14
0.0,0.13857754,350.5670058496533,0.007234254,311.98793482780457,23.78076,2088,94202,71.575,0.8840279281139374,0.13857754,16
0.0,0.14116636,330.6573222286812,0.0072195176,317.38380885124207,23.768398,2103,95159,67.6,0.7857045829296112,0.14116636,15
0.0,0.13834655,336.9949563711458,0.0074609257,321.6883556842804,23.763706,2116,96174,68.975,0.8122976571321487,0.13834655,13
0.0,0.14878823,345.9494250923931,0.007412132,325.3527648448944,23.746126,2132,97277,70.6,0.8157254010438919,0.14878823,16
0.0,0.13249588,339.4286794011964,0.00678636,328.94375705718994,23.722294,2146,98178,68.35,0.8079342097043991,0.13249588,14
0.0,0.13793927,333.4198553544023,0.0074083284,332.2971408367157,23.717152,2161,99306,68.175,0.8474992662668228,0.13793927,15
0.0,0.13729784,344.705652609404,0.007343808,335.83733773231506,23.724447,2176,100351,70.95,0.7654746472835541,0.13729784,15
0.0,0.13893846,343.7656640152785,0.0073258225,340.07786798477173,23.743654,2190,101374,71.2,0.7861922383308411,0.13893846,14
0.0,0.12930754,345.62053697280805,0.0072212648,344.5062940120697,23.720379,2204,102377,71.3,0.8479417562484741,0.12930754,14
0.0,0.14344978,347.5298629462375,0.0068938164,348.48607897758484,23.744762,2218,103370,71.625,0.8409510105848312,0.14344978,14
0.0,0.13687241,336.88821084465053,0.0075537125,352.4631359577179,23.725712,2234,104430,69.475,0.8373119533061981,0.13687241,16
0.0,0.1450502,337.63250006441024,0.007464435,356.3987147808075,23.726032,2248,105429,69.575,0.8390278965234756,0.1450502,14
0.0,0.12961937,345.1735332651268,0.0068115927,359.7462058067322,23.737957,2262,106461,70.7,0.7965358644723892,0.12961937,14
0.0,0.135862,346.81898555925005,0.007234134,362.98754382133484,23.724478,2277,107514,71.6,0.8728055357933044,0.135862,15
0.0,0.14004634,333.0092952365202,0.007605113,366.4344708919525,23.729979,2293,108510,67.625,0.8864941671490669,0.14004634,16
0.0,0.13100842,312.9560586669927,0.007407218,369.84567975997925,23.726084,2309,109528,63.7,0.8591573685407639,0.13100842,16
0.0,0.14670455,319.82571982394575,0.008035496,373.1621539592743,23.727901,2324,110561,65.525,0.8885295391082764,0.14670455,15
0.0,0.1602461,341.5697055597235,0.0073964577,376.4854006767273,23.739706,2337,111541,70.75,0.8295480161905289,0.1602461,13
0.0,0.14015953,344.3103249584001,0.007015295,380.0327169895172,23.718596,2353,112639,70.225,0.8288176208734512,0.14015953,16
0.0,0.13242221,323.25067541985015,0.0074572093,383.99195170402527,23.688997,2370,113629,66.175,0.8783938437700272,0.13242221,17
0.0,0.15127373,315.68708427463696,0.0070932955,388.7203938961029,23.695639,2384,114620,64.525,0.8699444234371185,0.15127373,14
0.0,0.13319916,313.12152935678614,0.0077383136,392.05007886886597,23.671389,2401,115690,64.2,0.8355696201324463,0.13319916,17
0.0,0.15004663,324.5243834606429,0.0071843057,395.37604570388794,23.662441,2416,116716,66.275,0.8880274668335915,0.15004663,15
0.0,0.1442698,336.6324063347218,0.0074415063,398.9202768802643,23.662243,2430,117759,68.8,0.8313040137290955,0.1442698,14
0.0,0.14239427,347.7927062079756,0.0076272422,402.3080487251282,23.661776,2444,118699,70.925,0.8175444304943085,0.14239427,14
0.0,0.13283452,348.71059232403576,0.0071680285,405.7390148639679,23.668425,2460,119797,70.65,0.9190396443009377,0.13283452,16
0.0,0.14662725,354.4902901620139,0.006833506,409.196977853775,23.660685,2473,120785,71.6,0.8446556031703949,0.14662725,13
0.0,0.1479032,343.5203632902918,0.0069295014,412.4523117542267,23.66402,2489,121827,69.4,0.8570250570774078,0.1479032,16
0.0,0.13522862,330.4999912219856,0.007589494,415.8229250907898,23.665852,2506,122861,66.85,0.8290416300296783,0.13522862,17
0.0,0.13854124,322.84420458395573,0.007312435,419.17148780822754,23.647005,2520,123889,65.525,0.8759762197732925,0.13854124,14
0.0,0.16081755,336.32832420130774,0.0070493994,422.4193968772888,23.633465,2534,124845,67.425,0.8847081065177917,0.16081755,14
0.0,0.11594891,356.87188312328806,0.0069118366,425.66917610168457,23.62875,2548,125902,71.675,0.7959572225809097,0.11594891,14
0.0,0.14555787,366.47226407310546,0.007961057,428.8081409931183,23.623404,2562,126954,73.675,0.8245368748903275,0.14555787,14
0.0,0.14138174,357.5630412006082,0.008287344,431.34564685821533,23.591831,2577,127958,73.25,0.8254546225070953,0.14138174,15
0.0,0.15530369,340.876478219251,0.0076043494,434.01920890808105,23.592276,2592,129015,69.175,0.8364015519618988,0.15530369,15
0.0,0.15617925,364.3560962193061,0.0076233856,436.57306599617004,23.592253,2604,130031,73.65,0.8644494861364365,0.15617925,12
0.0,0.13950498,369.05665487930526,0.00758766,439.1011838912964,23.59505,2619,131045,74.0,0.892927274107933,0.13950498,15
0.0,0.14606823,379.7070586422503,0.0077910204,441.70823979377747,23.592741,2632,132077,76.55,0.8755287751555443,0.14606823,13
0.0,0.14936902,348.1504384480339,0.008666193,444.4098138809204,23.599087,2648,133115,70.125,0.8532485961914062,0.14936902,16
0.0,0.1489966,350.9976838722003,0.0075052176,447.0375497341156,23.602665,2662,134099,70.8,0.9014237523078918,0.1489966,14
0.0,0.13403839,336.10778445223735,0.008130746,449.5524787902832,23.602873,2677,135119,67.9,0.858113169670105,0.13403839,15
0.0,0.14198886,339.3427908979276,0.0077944333,452.15998578071594,23.606974,2692,136185,69.675,0.91670011729002,0.14198886,15
0.0,0.15238643,337.6050635762889,0.00765079,454.6333258152008,23.612637,2706,137172,68.825,0.8640857934951782,0.15238643,14
0.0,0.14822859,340.1035534953153,0.0079605095,457.1812047958374,23.610483,2721,138171,69.05,0.8713522851467133,0.14822859,15
0.0,0.14850108,356.3684434119072,0.0073378775,459.6612820625305,23.591806,2735,139253,71.825,0.8808844089508057,0.14850108,14
0.0,0.1704455,366.3249280790802,0.00854999,462.206818819046,23.590982,2747,140229,74.95,0.847751796245575,0.1704455,12
0.0,0.14881687,364.3736242580945,0.008509747,464.7442789077759,23.612825,2763,141301,74.2,0.8883606791496277,0.14881687,16
0.0,0.14931096,347.3036086219371,0.008162145,467.34503078460693,23.618977,2777,142276,71.125,0.8844921290874481,0.14931096,14
0.0,0.15268227,352.13681111314384,0.007740588,469.8306267261505,23.620441,2790,143353,71.35,0.8407672345638275,0.15268227,13
0.0,0.14698052,369.55559761628575,0.0074927676,472.2979598045349,23.607096,2804,144351,74.15,0.8753351420164108,0.14698052,14
0.0,0.15128317,361.12574486285223,0.007882159,474.85057306289673,23.604036,2819,145381,72.925,0.8983030915260315,0.15128317,15
0.0,0.16999689,342.43944991096134,0.008306025,477.3669078350067,23.598675,2834,146413,69.375,0.8304762095212936,0.16999689,15
0.0,0.15304488,347.06871617393193,0.0081055295,479.86316895484924,23.62451,2848,147436,70.075,0.8863081261515617,0.15304488,14
0.0,0.13949431,363.399175622444,0.007759017,482.3521909713745,23.633755,2862,148475,72.725,0.8829500675201416,0.13949431,14
0.0,0.17711732,371.8866955612431,0.0076734596,484.9326069355011,23.62984,2875,149460,74.5,0.749891608953476,0.17711732,13
0.0,0.18541297,371.35726439460916,0.007941628,487.48657488822937,23.642048,2889,150485,73.525,0.8685404509305954,0.18541297,14
0.0,0.13906246,367.2092799953137,0.0076315044,490.03249883651733,23.663128,2904,151526,73.275,0.9007250666618347,0.13906246,15
0.0,0.1491983,367.82110287127307,0.008191377,492.5916049480438,23.66357,2917,152533,73.15,0.8667481988668442,0.1491983,13
0.0,0.16405031,360.4427454108587,0.008940508,495.0508198738098,23.67444,2931,153494,72.15,0.8863507583737373,0.16405031,14
0.0,0.14841977,364.4784105513064,0.008551867,497.6765387058258,23.673672,2946,154615,73.925,0.8466387540102005,0.14841977,15
0.0,0.13881537,367.52628360823957,0.0077631054,500.59104681015015,23.673208,2959,155629,74.375,0.8578289896249771,0.13881537,13
0.0,0.15966621,374.5986913458522,0.008405138,503.44395995140076,23.66566,2972,156632,75.55,0.8686096370220184,0.15966621,13
0.0,0.15620816,394.2574583957216,0.00827278,506.6196069717407,23.658535,2984,157640,79.125,0.8748933225870132,0.15620816,12
0.0,0.15302375,387.59142230200706,0.008187983,509.5617940425873,23.650026,2998,158659,77.85,0.8969384133815765,0.15302375,14
0.0,0.14376435,380.54527240360056,0.008255904,512.4841318130493,23.64017,3012,159689,76.425,0.9189101755619049,0.14376435,14
0.0,0.1466058,357.4668975369401,0.008916359,515.8523807525635,23.612429,3026,160695,71.425,0.8983945474028587,0.1466058,14
0.0,0.16203107,358.8459857377473,0.008725053,519.142003774643,23.62122,3041,161790,72.6,0.8958131298422813,0.16203107,15
0.0,0.14140105,363.0947612979511,0.007864799,521.8579318523407,23.611319,3055,162808,73.6,0.9041216894984245,0.14140105,14
0.0,0.16436908,370.17676250288247,0.008348543,524.7927188873291,23.619007,3067,163814,75.575,0.867545485496521,0.16436908,12
0.0,0.17593975,389.1546260669849,0.008599635,527.391597032547,23.60433,3080,164863,79.075,0.8546819984912872,0.17593975,13
0.0,0.1711652,388.20324630958794,0.008575081,530.006402015686,23.604525,3093,165832,78.925,0.9091004654765129,0.1711652,13
0.0,0.15646628,396.7703126250019,0.0090557095,532.5317687988281,23.603067,3106,166874,79.3,0.8760074228048325,0.15646628,13
0.0,0.14789596,375.5256485933363,0.008634776,535.2626669406891,23.586926,3120,167850,74.675,0.8693010658025742,0.14789596,14
0.0,0.15692651,366.49505556629583,0.008515108,537.9091849327087,23.587246,3135,168946,73.5,0.8570269048213959,0.15692651,15
0.0,0.16754168,338.1210983215227,0.008717969,540.4826560020447,23.599154,3150,169962,69.35,0.8896932303905487,0.16754168,15
0.0,0.15193617,340.6171693745797,0.007955886,543.0708537101746,23.588053,3163,170938,70.05,0.8461765795946121,0.15193617,13
0.0,0.16809246,352.7967932809977,0.009305115,545.6816928386688,23.589022,3177,172006,72.975,0.8475545793771744,0.16809246,14
0.0,0.1638312,364.59642015261625,0.007936256,548.5367150306702,23.586468,3191,173000,74.4,0.8923557549715042,0.1638312,14
0.0,0.1558933,376.4323974183758,0.008093976,551.1941969394684,23.581379,3203,174013,76.875,0.9000791385769844,0.1558933,12
0.0,0.1545253,382.49979923195184,0.008286206,553.7985129356384,23.58102,3216,175066,77.725,0.840655043721199,0.1545253,13
0.0,0.15257938,372.67009344204,0.008559601,556.2923378944397,23.590687,3231,176047,76.175,0.8922197073698044,0.15257938,15
0.0,0.14784351,355.1245530594672,0.007709141,558.7967548370361,23.575228,3245,177112,73.05,0.8571688383817673,0.14784351,14
0.0,0.16490987,365.61227797710796,0.0089075,561.2919008731842,23.56068,3258,178148,74.5,0.8833813443779945,0.16490987,13
0.0,0.18003376,375.8521808391629,0.008367285,564.0353698730469,23.559574,3271,179152,77.625,0.8306470513343811,0.18003376,13
0.0,0.16134237,374.36363469787966,0.0082148,566.777783870697,23.562366,3285,180168,76.4,0.862619549036026,0.16134237,14
