surrgain,EpThisIter,TimeElapsed,entropy,entloss,TimestepsSoFar,EpisodesSoFar,EpLenMean,meankl,optimgain,EpTrueRewMean,ev_tdlam_before,EpRewMean
0.41058803,11,2009.2808487415314,23.508625,0.0,438563,5769,89.7,0.006422338,0.41058803,432.48316995412705,0.1821034550666809,1.8695071
0.16212156,11,2014.076583623886,23.506598,0.0,439607,5780,94.05,0.0045032185,0.16212156,451.57170374828013,0.5907943546772003,1.9779885
0.19779715,12,2018.7204294204712,23.506853,0.0,440639,5792,92.075,0.005267908,0.19779715,448.3469240241408,0.47883129119873047,2.0681796
0.17379469,12,2023.3538093566895,23.504068,0.0,441718,5804,89.875,0.005079056,0.17379469,435.8716598476452,0.4868789315223694,1.9715109
0.14401922,13,2027.985864162445,23.50472,0.0,442817,5817,86.675,0.004499479,0.14401922,420.5094556945567,0.4392661452293396,1.6641273
0.15827881,10,2032.617974281311,23.505777,0.0,443794,5827,89.8,0.0046543446,0.15827881,431.79241486869404,0.5881282091140747,1.756081
0.23232457,12,2037.222285747528,23.505293,0.0,444813,5839,88.55,0.0046639573,0.23232457,418.8201094525133,0.07207369804382324,1.8107468
0.1919944,12,2041.8463261127472,23.505857,0.0,445878,5851,89.275,0.0055077462,0.1919944,421.24486568880576,0.30414462089538574,1.934227
0.14402106,13,2046.477877855301,23.507002,0.0,446929,5864,85.4,0.004540639,0.14402106,404.9025086730988,0.5666996836662292,1.7840593
0.15169722,11,2051.1161382198334,23.506268,0.0,447940,5875,88.575,0.004299867,0.15169722,427.10509504054124,0.6693452894687653,1.6688541
0.19001527,14,2055.7530591487885,23.506346,0.0,449060,5889,85.25,0.0043896264,0.19001527,413.2330068759193,0.6254622936248779,1.3772373
0.20062959,11,2060.3925671577454,23.50617,0.0,450090,5900,86.35,0.0044055674,0.20062959,420.617206478144,0.40524744987487793,1.5560741
0.1556313,12,2065.0123703479767,23.507101,0.0,451129,5912,87.45,0.0049046213,0.1556313,425.9919129738875,0.5911603569984436,1.6782048
0.20054933,12,2070.121362924576,23.505388,0.0,452092,5924,85.75,0.0046992702,0.20054933,419.55796649470824,0.5370546281337738,1.7206659
0.24456964,12,2074.806386947632,23.506353,0.0,453115,5936,84.475,0.005332274,0.24456964,406.3550658086242,0.5997065007686615,1.645397
0.16471386,13,2079.4915702342987,23.503923,0.0,454151,5949,82.05,0.004667402,0.16471386,391.4673725963703,0.42093944549560547,1.5339122
