entropy,meankl,EpThisIter,optimgain,EpRewMean,EpisodesSoFar,TimestepsSoFar,entloss,ev_tdlam_before,TimeElapsed,EpLenMean,surrgain
3.0077314,0.012074266,1,0.072827876,3172.04520237959,3485,840806,0.0,0.9369080439209938,1314.496101140976,728.225,0.072827876
2.9536293,0.010853572,2,0.07851212,3206.188718959771,3487,842351,0.0,0.9806478526443243,1316.1605832576752,733.4,0.07851212
2.9429488,0.012889953,3,0.0836516,3092.1257852510253,3490,843718,0.0,0.9398255534470081,1317.5971081256866,709.425,0.0836516
2.9443555,0.014156731,1,0.090043366,3046.375739441424,3491,844312,0.0,0.969964487478137,1319.082129240036,699.275,0.090043366
2.9437268,0.011996125,1,0.07318497,3111.675670180158,3492,845312,0.0,0.33646565675735474,1320.8848230838776,713.05,0.07318497
2.952272,0.0037720432,1,0.03745461,3186.5487557982465,3493,846312,0.0,0.12593871355056763,1323.6023931503296,728.525,0.03745461
2.9473064,0.012828394,1,0.1280069,3255.0929008877188,3494,847262,0.0,0.9592065401375294,1325.554796218872,742.15,0.1280069
2.9354846,0.012793138,1,0.08343366,3317.9289785046726,3495,848062,0.0,0.9480738788843155,1327.2458481788635,755.2,0.08343366
2.92043,0.012571723,2,0.08134337,3317.980708051996,3497,849497,0.0,0.6646406650543213,1328.826200246811,755.75,0.08134337
2.9435842,0.011465672,2,0.09454797,3328.6137673723906,3499,850697,0.0,0.8901312500238419,1331.3839333057404,757.2,0.09454797
2.9426892,0.012326581,1,0.09065573,3307.9527092492076,3500,851528,0.0,0.9485376663506031,1333.0493891239166,752.975,0.09065573
2.9565873,0.011926429,1,0.07815256,3338.627802031536,3501,852528,0.0,0.24419105052947998,1334.5886709690094,759.925,0.07815256
2.9663737,0.011493495,1,0.059588347,3343.684278031302,3502,853528,0.0,0.11346811056137085,1336.3042690753937,760.8,0.059588347
2.929215,0.011417677,1,0.089237794,3357.1243577719624,3503,854303,0.0,0.916242815554142,1338.2512221336365,763.425,0.089237794
2.9703326,0.012042593,2,0.06302789,3318.7738444622655,3505,855886,0.0,0.6334827840328217,1340.5217921733856,755.8,0.06302789
2.9482217,0.012069114,2,0.08625005,3256.608194987002,3507,857055,0.0,0.9211099594831467,1342.5571882724762,743.15,0.08625005
2.9759066,0.012315374,2,0.077663675,3193.860126432631,3509,857932,0.0,0.9545905664563179,1344.8646903038025,729.975,0.077663675
2.963119,0.013432229,2,0.09128007,3210.1906538718235,3511,858973,0.0,0.8792228102684021,1346.8472530841827,733.65,0.09128007
3.0122023,0.011852985,1,0.063431606,3209.7772761014917,3512,859973,0.0,0.21075546741485596,1348.469279050827,733.65,0.063431606
2.9855754,0.014130887,1,0.1012398,3196.610694535969,3513,860811,0.0,0.8925474062561989,1350.4268653392792,729.6,0.1012398
2.9644358,0.011143832,1,0.067623064,3228.7863724825647,3514,861811,0.0,0.7412704229354858,1351.9202871322632,735.85,0.067623064
2.9264967,0.012776788,1,0.08416043,3177.301929368062,3515,862353,0.0,0.9828440360724926,1353.4027352333069,724.4,0.08416043
2.9724162,0.011839274,1,0.050159246,3223.543293073496,3516,863353,0.0,0.20909100770950317,1354.8489162921906,734.15,0.050159246
2.967667,0.014248079,2,0.071798965,3190.54374839016,3518,864744,0.0,0.5767559707164764,1356.5200519561768,727.925,0.071798965
3.004033,0.012730565,1,0.11595465,3146.9822558165333,3519,865349,0.0,0.9518463462591171,1358.0155382156372,718.05,0.11595465
2.9733872,0.011133641,2,0.06689972,3100.8814203851753,3521,866843,0.0,0.6284011900424957,1359.7612972259521,707.9,0.06689972
2.9670413,0.011906562,1,0.06375159,3195.944411778174,3522,867843,0.0,0.43949955701828003,1361.3248813152313,727.75,0.06375159
2.9414623,0.0135460235,1,0.061439767,3232.0237979752355,3523,868843,0.0,-0.10952186584472656,1362.718632221222,736.125,0.061439767
2.9278567,0.013038437,1,0.34813237,3236.5574462157088,3524,869687,0.0,0.8818583115935326,1364.148941040039,737.175,0.34813237
2.915117,0.011835672,1,0.060522456,3284.2657483534394,3525,870687,0.0,0.184279203414917,1365.548585176468,747.025,0.060522456
2.9224858,0.011419164,1,0.06988357,3285.6792041516223,3526,871687,0.0,0.14419007301330566,1366.9925980567932,747.7,0.06988357
2.922913,0.013383088,1,0.060011674,3335.2695875248864,3527,872687,0.0,0.15394139289855957,1368.3626952171326,758.4,0.060011674
2.9018385,0.011930628,2,0.09631243,3405.4166724978522,3529,874285,0.0,0.9420592114329338,1369.7943382263184,772.775,0.09631243
2.8954911,0.011775386,1,0.08450255,3429.028591192481,3530,874818,0.0,0.8713759034872055,1371.250206232071,777.5,0.08450255
2.8755293,0.011918051,2,0.058505364,3407.609369040843,3532,876268,0.0,0.6185592114925385,1372.7946512699127,773.9,0.058505364
2.8520906,0.010576206,2,0.08771575,3251.719433267507,3534,876957,0.0,0.9318396225571632,1374.1496403217316,742.375,0.08771575
2.8430338,0.013653677,1,0.09731881,3238.42608260533,3535,877651,0.0,0.9502840042114258,1375.5996131896973,739.725,0.09731881
2.8385174,0.013734726,1,0.056669198,3238.9020699252333,3536,878651,0.0,0.2250407338142395,1377.2745192050934,739.725,0.056669198
2.8436942,0.013971195,1,0.066942416,3307.2367959134544,3537,879651,0.0,0.30497074127197266,1378.72540807724,753.85,0.066942416
2.8198295,0.0113078505,2,0.06085809,3401.799043123362,3539,881651,0.0,0.19013440608978271,1380.239176273346,773.85,0.06085809
2.8068035,0.012630198,1,0.06866945,3417.844312441464,3540,882651,0.0,0.4383004903793335,1381.740653038025,778.075,0.06866945
2.8318439,0.011602326,2,0.11577352,3252.769563710591,3542,883259,0.0,0.8808245584368706,1383.3369362354279,743.275,0.11577352
2.8327422,0.0106894,1,0.068489194,3276.131612883055,3543,884259,0.0,0.09819340705871582,1384.7607412338257,748.9,0.068489194
2.8175092,0.0127465855,1,0.07101199,3277.3999191185358,3544,885259,0.0,0.22093701362609863,1386.3278892040253,748.9,0.07101199
2.796387,0.011909025,1,0.057961687,3324.923951652521,3545,886259,0.0,0.17874133586883545,1387.7823731899261,759.325,0.057961687
2.8057864,0.011797503,1,0.06237542,3402.1842434914106,3546,887259,0.0,0.3268809914588928,1389.4705872535706,775.65,0.06237542
2.8156781,0.011431075,1,0.092639655,3395.8150940198584,3547,888037,0.0,0.904556505382061,1390.962042093277,774.55,0.092639655
