entropy,TimeElapsed,optimgain,EpTrueRewMean,EpThisIter,EpisodesSoFar,TimestepsSoFar,meankl,surrgain,ev_tdlam_before,EpLenMean,EpRewMean,entloss
8.127376,661.4776647090912,0.08040802,842.3343037633437,1,389,173089,0.008446183,0.08040802,0.12124580144882202,775.175,323.39117,0.0
8.119311,665.4957220554352,0.10185112,844.5625674058674,2,391,174158,0.00893902,0.10185112,0.9397736378014088,769.0,320.60205,0.0
8.1206045,669.5101299285889,0.08943328,862.8877722714813,1,392,175158,0.008635951,0.08943328,0.1303747296333313,787.0,325.96802,0.0
8.126408,673.5263986587524,0.11361606,854.3475392197195,2,394,175758,0.008774634,0.11361606,0.9242856800556183,772.675,321.3387,0.0
8.12294,677.5501079559326,0.08447967,852.3617183123179,2,396,177179,0.008673136,0.08447967,0.37028831243515015,758.2,315.20255,0.0
8.119521,681.5660269260406,0.10535765,850.4027769815797,3,399,178627,0.008629873,0.10535765,0.8795590996742249,744.675,308.91388,0.0
8.11687,685.5813603401184,0.07788748,850.4475977129157,3,402,180248,0.008184416,0.07788748,0.437900185585022,726.275,302.2033,0.0
8.139156,689.5939366817474,0.10157707,848.6331508934775,2,404,181259,0.008539241,0.10157707,0.8780529201030731,712.95,297.28528,0.0
8.130982,693.6089563369751,0.13516058,824.685786505129,4,408,182383,0.008950807,0.13516058,0.923364669084549,665.575,281.8898,0.0
8.127072,697.6293821334839,0.12291668,812.3861750351706,2,410,183252,0.008048915,0.12291668,0.8726725429296494,650.075,276.1552,0.0
8.118726,701.6431257724762,0.08937411,807.2904601215371,3,413,184494,0.00762688,0.08937411,0.9195056930184364,634.225,270.17285,0.0
8.1189,705.6742577552795,0.123814434,802.2383537421156,2,415,185495,0.008102819,0.123814434,0.8847359791398048,609.25,263.60577,0.0
8.110974,709.6901955604553,0.099158496,788.8903827713528,2,417,186467,0.008342859,0.099158496,0.9320407062768936,588.775,256.65424,0.0
8.107606,713.7027475833893,0.08140418,799.3312146410434,1,418,187467,0.009223586,0.08140418,0.5418583154678345,593.725,257.27203,0.0
8.105395,717.7165811061859,0.102749586,798.4547366116759,2,420,188713,0.008532487,0.102749586,0.9571497738361359,574.875,252.32442,0.0
8.114822,721.7340219020844,0.08498944,813.636295078977,2,422,190522,0.009310389,0.08498944,0.546567976474762,589.85,253.08096,0.0
8.121509,725.7519326210022,0.07653298,828.4042962833119,2,424,192156,0.008696659,0.07653298,0.4793905019760132,600.55,255.25618,0.0
8.121151,729.7676479816437,0.07274494,829.3375248859586,1,425,193156,0.008995689,0.07274494,-0.06669771671295166,601.575,253.858,0.0
8.098156,733.7726736068726,0.10974832,795.8369715991942,3,428,194269,0.009185085,0.10974832,0.9761585164815187,554.5,238.32646,0.0
8.109319,737.7889757156372,0.08536578,797.6782941353856,2,430,196046,0.008881678,0.08536578,0.5313590168952942,553.8,235.47002,0.0
8.108703,741.802353143692,0.09588146,773.2421392514191,3,433,197136,0.008470383,0.09588146,0.893499568104744,540.95,227.9478,0.0
8.109668,745.8131971359253,0.091553584,760.9970499287579,2,435,197726,0.008118516,0.091553584,0.8881663307547569,524.2,222.22495,0.0
8.099109,749.8263695240021,0.09175085,736.4882725972841,3,438,198543,0.007828571,0.09175085,0.6443337202072144,504.45,213.38272,0.0
8.102673,753.8354151248932,0.09651025,750.9000190526751,3,441,200252,0.008665032,0.09651025,0.9472146220505238,509.05,215.91983,0.0
8.116287,757.8561432361603,0.110884756,753.7051751416354,1,442,200669,0.0089277215,0.110884756,0.9323345124721527,510.525,216.19771,0.0
8.096132,761.8706951141357,0.106419645,758.277702887857,2,444,201631,0.0091993585,0.106419645,0.930593378841877,509.3,215.49443,0.0
