TimeElapsed,entropy,EpTrueRewMean,ev_tdlam_before,surrgain,EpThisIter,TimestepsSoFar,entloss,meankl,EpisodesSoFar,EpLenMean,EpRewMean,optimgain
5.609113931655884,24.14484,109.94105514424987,0.5815555453300476,0.13815665,43,1009,0.0,0.0072452305,43,23.425,18.47173,0.13815665
10.15840196609497,24.150555,111.70456903743948,0.5700061023235321,0.30267763,43,2026,0.0,0.0070126196,86,23.525,18.461475,0.30267763
14.630515813827515,24.153824,123.68462962425436,0.5826077461242676,0.24988404,39,3051,0.0,0.0066610845,125,26.225,19.926815,0.24988404
19.079946994781494,24.11116,132.56618306116602,0.49907273054122925,0.1517446,37,4100,0.0,0.0069111255,162,28.4,21.68166,0.1517446
23.54373550415039,24.108215,142.25198694911631,0.6013163030147552,0.15421863,33,5110,0.0,0.007397068,195,30.15,22.078007,0.15421863
28.033494234085083,24.060226,157.38476033304215,0.6560172140598297,0.14475437,32,6143,0.0,0.0073313667,227,32.825,23.700035,0.14475437
32.53882813453674,24.023987,168.5178134421542,0.647541880607605,0.15124083,27,7170,0.0,0.007245246,254,35.725,25.305197,0.15124083
37.26965880393982,24.018576,192.26895830489778,0.7065281271934509,0.19910133,25,8193,0.0,0.007260152,279,40.575,28.353455,0.19910133
41.94022822380066,23.979816,207.77544797284108,0.7027840316295624,0.15309638,24,9271,0.0,0.0078048613,303,43.325,30.640259,0.15309638
46.33189821243286,23.958963,228.31735929509517,0.7091349065303802,0.17152736,20,10311,0.0,0.0074924463,323,47.925,34.01533,0.17152736
50.751606464385986,23.93254,246.48109327831384,0.8328827768564224,0.19710934,20,11359,0.0,0.007549174,343,52.2,36.674335,0.19710934
55.269513845443726,23.925787,243.28753752571123,0.7514367550611496,0.17272463,21,12419,0.0,0.0077380687,364,51.025,35.69803,0.17272463
59.93428874015808,23.940187,230.5034054802837,0.7677454650402069,0.1986426,21,13394,0.0,0.008002162,385,48.65,32.453285,0.1986426
64.36214470863342,23.926006,230.33640333274244,0.7981077581644058,0.17129996,19,14384,0.0,0.008240081,404,49.125,31.002605,0.17129996
68.8614981174469,23.916763,251.15683923573806,0.8260001391172409,0.17879257,17,15348,0.0,0.008236929,421,53.4,32.534027,0.17879257
73.3707664012909,23.8847,283.6356478034577,0.7263274192810059,0.17940143,16,16361,0.0,0.007562275,437,59.375,35.955353,0.17940143
77.87575054168701,23.857195,295.16491886768745,0.7804262787103653,0.20397258,15,17409,0.0,0.008310067,452,63.425,39.73633,0.20397258
82.41465187072754,23.847576,309.4590373982722,0.7502772063016891,0.19153255,16,18469,0.0,0.008079113,468,66.4,40.89233,0.19153255
86.87052321434021,23.834793,309.5148607469406,0.8022536933422089,0.19013616,16,19491,0.0,0.008201573,484,66.675,40.59325,0.19013616
91.35414814949036,23.825848,300.1516470113053,0.7989464998245239,0.19328353,16,20529,0.0,0.008331186,500,64.4,37.50074,0.19328353
95.84475517272949,23.824286,307.92756822872894,0.8394689559936523,0.18772228,16,21556,0.0,0.008824106,516,64.625,37.31663,0.18772228
100.33829236030579,23.787844,303.87791170189035,0.8461321294307709,0.17219862,16,22537,0.0,0.008271068,532,63.575,36.082905,0.17219862
104.84507584571838,23.752748,304.7278617163464,0.853155180811882,0.19727807,16,23593,0.0,0.008598574,548,63.725,36.496178,0.19727807
109.35190463066101,23.762617,309.417545342586,0.8938676863908768,0.18763217,15,24590,0.0,0.008745973,563,64.6,36.21482,0.18763217
113.8450219631195,23.752863,311.2886254580867,0.8172789961099625,0.19640726,16,25607,0.0,0.008328132,579,64.2,35.404438,0.19640726
118.36231279373169,23.752264,320.10855571270656,0.7682996392250061,0.22083735,15,26629,0.0,0.008867947,594,66.575,35.567238,0.22083735
122.86906361579895,23.751974,324.3453897144749,0.8352629393339157,0.21434397,14,27624,0.0,0.008760467,608,68.15,35.93337,0.21434397
127.37300395965576,23.737566,341.15826953995264,0.8460464924573898,0.22597636,13,28646,0.0,0.009117073,621,72.325,37.92454,0.22597636
131.9255712032318,23.755533,341.8099905564028,0.8599415272474289,0.20451684,16,29707,0.0,0.0085967,637,71.325,36.44242,0.20451684
136.93652033805847,23.747087,343.3666314671305,0.8929973915219307,0.18053454,14,30678,0.0,0.009396971,651,71.675,36.243916,0.18053454
141.4398844242096,23.751398,335.95895883005426,0.7906952053308487,0.24228951,13,31653,0.0,0.009558812,664,70.4,34.24527,0.24228951
145.97139263153076,23.747965,332.29215115594405,0.8408248275518417,0.18262237,15,32716,0.0,0.0082897525,679,70.75,33.606987,0.18262237
150.5463833808899,23.731691,328.898400439387,0.8194255232810974,0.20120189,15,33771,0.0,0.008948494,694,70.5,33.308624,0.20120189
155.0955982208252,23.724607,332.59020325288213,0.8349626064300537,0.20333135,14,34801,0.0,0.009211451,708,71.8,33.92251,0.20333135
159.6370940208435,23.731752,344.5632820025638,0.8874984830617905,0.24323681,13,35825,0.0,0.0090763755,721,72.75,34.50843,0.24323681
164.50730323791504,23.726072,345.41016559978834,0.8367542922496796,0.22760123,15,36890,0.0,0.009906672,736,73.025,33.199303,0.22760123
169.1019549369812,23.73194,339.40626491311707,0.8770675584673882,0.19102204,15,37933,0.0,0.009301679,751,71.625,31.965267,0.19102204
173.7540307044983,23.730291,333.09429057954276,0.8670472651720047,0.19215879,15,38965,0.0,0.0090926085,766,70.375,31.416187,0.19215879
178.41025733947754,23.748796,348.8247556399202,0.8966226205229759,0.22256055,12,39954,0.0,0.00932695,778,73.525,32.91384,0.22256055
183.05674624443054,23.734198,359.0508338649687,0.8247838616371155,0.201109,13,40956,0.0,0.009028662,791,75.575,33.339233,0.201109
187.70411157608032,23.731264,371.3733220761034,0.8284737169742584,0.21234164,13,41934,0.0,0.010034584,804,78.425,33.69364,0.21234164
192.35675573349,23.717264,352.00023921267876,0.8890793398022652,0.19958052,15,42974,0.0,0.009679211,819,73.85,31.078192,0.19958052
197.10852551460266,23.726564,343.78640307606213,0.8199008405208588,0.26170766,14,44021,0.0,0.009839337,833,72.175,30.75092,0.26170766
201.89489245414734,23.689371,351.99774043635955,0.8173002004623413,0.24412218,13,45034,0.0,0.010219328,846,74.0,30.993795,0.24412218
206.5566210746765,23.685368,364.33105506017137,0.85975082218647,0.18727225,14,46104,0.0,0.008945569,860,76.65,31.518915,0.18727225
211.35047483444214,23.675127,365.4612811773528,0.8700744211673737,0.20325315,14,47153,0.0,0.009683,874,75.55,30.66132,0.20325315
215.92147707939148,23.651201,381.173134493235,0.8835132271051407,0.21300936,13,48271,0.0,0.009711559,887,79.0,31.923178,0.21300936
220.48318886756897,23.642805,384.3849777341982,0.8353436440229416,0.20155375,12,49218,0.0,0.009935359,899,80.0,32.53547,0.20155375
225.0762984752655,23.643084,390.82508684215776,0.869688093662262,0.2980457,12,50246,0.0,0.009514082,911,82.875,32.817772,0.2980457
231.06306886672974,23.62018,374.7778820847405,0.8573678731918335,0.22284974,13,51231,0.0,0.010065611,924,79.725,31.569874,0.22284974
235.9752552509308,23.624922,372.64974784777667,0.8626349568367004,0.23001981,14,52285,0.0,0.010603364,938,78.675,30.662176,0.23001981
240.55624794960022,23.585958,373.15179190002834,0.9041177779436111,0.20858511,13,53366,0.0,0.010497034,951,78.0,30.512043,0.20858511
245.14804697036743,23.566156,378.9182230311306,0.8222428262233734,0.20859964,13,54391,0.0,0.0102745555,964,79.0,30.543451,0.20859964
249.73701190948486,23.52807,375.8167602227574,0.8749249875545502,0.22237183,13,55365,0.0,0.011425253,977,78.25,30.285486,0.22237183
254.32556819915771,23.529375,369.67384946202753,0.8694188743829727,0.21215463,13,56419,0.0,0.010279694,990,78.35,28.586926,0.21215463
259.0058157444,23.517073,363.92958332887616,0.8707453459501266,0.2197606,13,57427,0.0,0.011120979,1003,77.325,27.450506,0.2197606
264.5616590976715,23.523027,372.96549728534774,0.8254428952932358,0.24389938,13,58434,0.0,0.011000668,1016,78.9,27.961365,0.24389938
269.1263597011566,23.515541,378.52213026535253,0.8575717806816101,0.20659322,12,59445,0.0,0.010502612,1028,79.9,28.829315,0.20659322
273.7188398838043,23.50651,375.56582417130966,0.8968854397535324,0.2096157,13,60465,0.0,0.011083594,1041,79.2,28.419994,0.2096157
278.3159911632538,23.512714,375.71532030216497,0.8841692730784416,0.2246188,14,61560,0.0,0.01073195,1055,80.05,28.031052,0.2246188
282.9142761230469,23.521969,389.1888019098075,0.8441163450479507,0.23324919,12,62639,0.0,0.010401461,1067,81.825,28.634668,0.23324919
287.4970028400421,23.514154,384.88609702032966,0.849895566701889,0.21902975,14,63677,0.0,0.011143324,1081,80.3,27.823511,0.21902975
292.0858516693115,23.516623,381.5209184924804,0.9091899320483208,0.34505832,14,64733,0.0,0.011998239,1095,79.325,27.113293,0.34505832
296.74077677726746,23.496077,375.27086056137307,0.8506794720888138,0.23270233,12,65764,0.0,0.011846538,1107,78.125,26.207739,0.23270233
301.36194348335266,23.487791,380.4986263126058,0.894076757133007,0.2035576,13,66771,0.0,0.010604224,1120,79.125,26.333546,0.2035576
306.0868020057678,23.486147,382.9558933448035,0.8199360221624374,0.25855237,14,67857,0.0,0.0112348795,1134,80.125,26.715857,0.25855237
310.7172372341156,23.470152,361.65322047656554,0.854167565703392,0.22315247,13,68827,0.0,0.011229892,1147,76.575,24.997734,0.22315247
315.3594048023224,23.454098,345.7177446419628,0.846560999751091,0.22398108,15,69841,0.0,0.010726916,1162,73.45,24.002972,0.22398108
319.9926702976227,23.456625,348.20429644484375,0.8433854877948761,0.23963732,13,70893,0.0,0.0111977635,1175,74.125,23.248285,0.23963732
324.7549500465393,23.449442,353.7249987844224,0.8726284205913544,0.24076037,13,71896,0.0,0.011379296,1188,75.1,23.448685,0.24076037
329.45992159843445,23.435772,379.7033155798601,0.8865716755390167,0.23115963,12,72922,0.0,0.011381274,1200,80.55,24.248287,0.23115963
334.1517777442932,23.432781,368.291802076552,0.8345756530761719,0.23488998,14,73910,0.0,0.011874327,1214,77.5,23.204062,0.23488998
338.98600721359253,23.403973,357.50661304994685,0.8398765325546265,0.22212511,14,74902,0.0,0.010924148,1228,75.15,22.710524,0.22212511
343.9605481624603,23.398176,345.35516124919934,0.857015460729599,0.24934879,13,75882,0.0,0.011048643,1241,71.7,22.090479,0.24934879
