#{"t_start": 1521274450.8155878, "env_id": "Hopper-v2"}
r,l,t
9.459691,11,3.912381
17.772045,19,3.942492
28.355528,24,3.979878
8.306103,12,3.998525
9.842023,12,4.017261
17.190914,20,4.049117
10.86306,13,4.069223
6.7886,11,4.0842
20.12952,21,4.117099
4.428195,10,4.133166
15.481172,25,4.172992
4.686614,19,4.203439
16.082956,16,4.228756
6.78876,9,4.241402
11.932928,24,4.280579
100.323208,72,4.402895
39.589668,32,4.45358
6.865294,10,4.46931
19.718738,29,4.515855
18.260136,26,4.557904
7.942724,10,4.573332
10.119848,24,4.610794
18.485801,21,4.643981
12.948941,14,4.665819
7.840345,10,4.681324
57.057875,38,4.740062
13.829209,16,4.766575
16.170266,18,4.790152
8.426477,12,4.805574
181.974164,95,4.927204
6.297107,9,4.937989
46.538239,46,5.000737
38.660269,44,5.070527
17.618573,31,5.123064
7.07464,10,5.138629
5.549574,11,5.156275
13.188217,15,5.179943
13.105074,16,5.205238
7.43764,11,5.222284
7.58091,29,5.268229
9.341327,12,5.286889
20.121608,21,5.320421
22.051061,26,5.362004
64.743782,56,5.454107
12.215331,24,6.080124
25.03478,23,6.116931
15.156336,16,6.142563
5.750588,10,6.158217
48.961072,37,6.21793
12.418891,15,6.239908
14.304991,15,6.263906
34.77038,31,6.31431
24.476811,29,6.36214
7.875576,12,6.381561
18.689662,21,6.415671
22.236641,21,6.449645
32.613609,28,6.494908
8.541787,10,6.510792
11.607024,15,6.535012
12.48318,15,6.559239
8.593127,11,6.573514
9.676306,14,6.596071
14.277174,14,6.618478
7.113203,9,6.632888
8.240984,10,6.648731
11.798467,15,6.67244
9.605938,13,6.693643
9.105263,15,6.717665
9.402227,13,6.738892
7.615367,9,6.751843
40.628708,31,6.785139
7.20353,9,6.794827
6.545253,11,6.807641
10.975782,18,6.827709
47.832959,48,6.896743
9.96354,26,6.93836
8.078942,20,6.9704
5.485317,10,6.986571
9.63988,19,7.017361
66.152329,40,7.081816
25.667148,22,7.116687
32.111874,34,7.170807
13.992267,25,7.197428
11.1137,17,7.215564
9.839413,14,7.230344
80.787,54,7.287595
56.807599,38,7.335388
10.298589,13,7.355477
8.811608,11,7.372303
9.42106,23,7.40638
7.541042,9,7.41857
30.175609,50,7.483145
14.597685,20,7.508656
14.060872,18,7.529945
7.488519,17,7.716644
7.07974,9,7.727849
47.112516,35,7.770402
11.084853,20,7.795656
8.781546,13,7.810617
14.264364,37,7.851427
73.235728,65,7.921787
72.571199,69,8.030734
