optimgain,meankl,EpLenMean,EpTrueRewMean,EpThisIter,EpRewMean,entloss,EpisodesSoFar,surrgain,TimestepsSoFar,TimeElapsed,entropy,ev_tdlam_before
0.04926099,0.00791179,25.94871794871795,21.86020142325217,39,18.221817,0.0,39,0.04926099,1012,6.155134916305542,4.2452016,0.2907909154891968
0.043579023,0.0073884362,42.075,46.46221664040616,13,31.5943,0.0,52,0.043579023,2038,11.002972841262817,4.1988254,0.49328815937042236
0.04308928,0.006943932,62.2,83.90565842056905,10,47.4526,0.0,62,0.04308928,3040,15.87118673324585,4.182212,0.534721165895462
0.041501652,0.0071218912,81.3,107.02035520999152,9,61.538166,0.0,71,0.041501652,4039,20.411800861358643,4.1765413,0.6071756780147552
0.04293685,0.0065811584,96.525,132.9865260075209,4,74.123436,0.0,75,0.04293685,4791,25.16252374649048,4.1638503,0.7367960214614868
0.044945594,0.006365709,116.8,163.87290383929485,4,89.81824,0.0,79,0.044945594,5684,30.669090509414673,4.152107,0.8368460983037949
0.0504125,0.0071545932,137.65,190.85298297841095,2,105.79338,0.0,81,0.0504125,6576,36.73672437667847,4.0829244,0.9271064475178719
0.04198191,0.006212915,159.875,214.41917151949218,1,122.92346,0.0,82,0.04198191,7566,42.349761962890625,4.0616517,0.8499510139226913
0.050754853,0.0055677462,173.375,230.02478781552264,1,133.6278,0.0,83,0.050754853,8199,47.982826232910156,4.0316715,0.9407325498759747
0.017920246,0.006532196,196.7,253.23690480886813,1,151.1486,0.0,84,0.017920246,9199,53.61628341674805,4.0777903,-0.03808152675628662
0.025362533,0.0056030536,220.375,278.29608521454077,1,168.79459,0.0,85,0.025362533,10199,59.255690574645996,4.0673823,0.04513639211654663
0.02489,0.0063801184,242.45,299.5167485016831,1,184.86948,0.0,86,0.02489,11199,64.89740991592407,4.0346437,0.003105640411376953
0.02713605,0.006296902,264.475,322.79014014325287,1,200.90262,0.0,87,0.02713605,12199,70.53648734092712,4.008337,0.004391491413116455
0.032606557,0.0064420328,285.9,344.44100843921194,1,215.70126,0.0,88,0.032606557,13199,76.18502187728882,3.9524155,-0.008750557899475098
0.026928984,0.006324792,308.475,366.7932208251519,1,231.29243,0.0,89,0.026928984,14199,81.8240156173706,3.9951475,-0.009698152542114258
0.034376048,0.006389895,324.9,384.2163271844222,1,242.55087,0.0,90,0.034376048,14895,87.47322034835815,3.9946303,0.2919650077819824
0.029150072,0.006642254,348.35,408.643232052406,1,258.39984,0.0,91,0.029150072,15895,93.13002181053162,3.9843369,-0.0047571659088134766
0.025515784,0.006418994,371.425,432.10433817994937,1,273.71643,0.0,92,0.025515784,16895,98.78917407989502,3.9702437,-0.07424533367156982
0.026547398,0.0059611453,392.525,452.0661453286633,1,287.21744,0.0,93,0.026547398,17895,104.44891476631165,3.9487548,-0.004868984222412109
0.039211646,0.007098398,415.875,475.26920353107414,1,302.29785,0.0,94,0.039211646,18895,110.12286329269409,3.979096,0.004725754261016846
0.047075443,0.006214495,437.625,497.5418694375081,1,316.26196,0.0,95,0.047075443,19790,115.77395725250244,4.030707,0.7264899015426636
0.027085919,0.0069836536,461.375,521.5403058855575,1,331.00253,0.0,96,0.027085919,20790,121.43760395050049,4.1021805,0.007556498050689697
0.033653647,0.00666175,482.7,541.2330272890846,1,343.98633,0.0,97,0.033653647,21790,127.08592057228088,4.1298833,0.0037553906440734863
0.049988456,0.0068627885,505.35,563.3361473316015,1,357.60916,0.0,98,0.049988456,22790,132.7459397315979,4.095087,-0.33475005626678467
0.024220739,0.008567836,529.675,588.9604504994406,1,372.15103,0.0,99,0.024220739,23790,138.44125890731812,3.9933772,-0.01434636116027832
0.030534832,0.0070339255,549.9,607.2813174075324,1,383.073,0.0,100,0.030534832,24790,144.1374659538269,3.9696121,0.006713747978210449
0.038704537,0.0062228707,571.625,629.7484905676122,1,395.08408,0.0,101,0.038704537,25790,149.8068244457245,3.9133666,0.012652456760406494
0.067211024,0.0069537004,593.425,649.7662571431936,1,406.837,0.0,102,0.067211024,26777,155.44901823997498,3.9084797,0.5057850778102875
0.03525667,0.005858844,615.4,672.5469501480229,1,418.69247,0.0,103,0.03525667,27777,161.07981371879578,3.8890305,-0.2831176519393921
0.04517116,0.006324212,630.925,686.6537336936466,1,426.4355,0.0,104,0.04517116,28552,166.70313334465027,3.871153,0.31717854738235474
0.036616206,0.006459142,652.25,709.7903988426938,1,437.5446,0.0,105,0.036616206,29552,172.3724992275238,3.877592,0.021298646926879883
