optimgain,EpisodesSoFar,ev_tdlam_before,EpRewMean,meankl,TimestepsSoFar,EpLenMean,entropy,TimeElapsed,entloss,EpThisIter,surrgain
0.005696133,1,0.01687335968017578,-105.70285099278077,0.008457022,999,999.0,1.4189401,0.8461480140686035,0.0,1,0.005696133
0.0039293575,2,-0.07922995090484619,-100.97434352677496,0.0074327607,1998,999.0,1.4189401,1.495797872543335,0.0,1,0.0039293575
0.00516334,3,0.020003676414489746,-51.34918766049763,0.0070003867,2533,844.3333333333334,1.4189401,2.1513671875,0.0,1,0.00516334
0.011634482,7,0.09026753902435303,11.421686597103271,0.0081672035,3974,567.7142857142857,1.4189401,2.804847240447998,0.0,4,0.011634482
0.008687375,11,0.14780867099761963,32.984994227992864,0.008818887,4904,445.8181818181818,1.4189401,3.449453592300415,0.0,4,0.008687375
0.0076931473,15,0.20750969648361206,42.22102312493497,0.0049532643,6010,400.6666666666667,1.4189401,4.172293186187744,0.0,4,0.0076931473
0.015566461,18,0.14200234413146973,45.40971755782027,0.008275507,6959,386.6111111111111,1.4189401,4.830898761749268,0.0,3,0.015566461
0.011284048,22,0.27033454179763794,48.64208921983099,0.0063317735,8060,366.3636363636364,1.4189401,5.498063802719116,0.0,4,0.011284048
0.01432506,26,0.24450218677520752,50.94511219037482,0.0076512815,9170,352.6923076923077,1.4189401,6.144052982330322,0.0,4,0.01432506
0.00677523,30,0.33248722553253174,53.94709744442017,0.0074102893,10009,333.6333333333333,1.4189401,6.796978950500488,0.0,4,0.00677523
0.0075815525,36,0.46531087160110474,57.30400309055468,0.0068597067,11118,308.8333333333333,1.4189401,7.440473794937134,0.0,6,0.0075815525
0.009322843,42,0.46315598487854004,67.64920627707383,0.0077546453,12253,256.375,1.4189401,8.091988325119019,0.0,6,0.009322843
0.00738167,46,0.585867315530777,69.11911370645716,0.0067375125,13189,239.225,1.4189401,8.743790864944458,0.0,4,0.00738167
0.020915745,51,0.5437116622924805,69.55049768616962,0.0068896427,14207,232.575,1.4189401,9.401665210723877,0.0,5,0.020915745
0.005852975,57,0.6651563346385956,71.04399255747887,0.006830937,15212,214.725,1.4189401,10.049285173416138,0.0,6,0.005852975
0.00625448,62,0.6582032740116119,72.43075102048586,0.0055954074,16211,203.775,1.4189401,10.699862718582153,0.0,5,0.00625448
0.008201237,66,0.6414307951927185,72.37431595130379,0.0031936704,17233,201.575,1.4189401,11.35128903388977,0.0,4,0.008201237
0.006181992,71,0.6718429923057556,72.19424981672346,0.0064945496,18320,201.375,1.4189401,12.009323835372925,0.0,5,0.006181992
0.009902516,75,0.7039814889431,71.11178087931499,0.0058240546,19344,209.7,1.4189401,12.669609785079956,0.0,4,0.009902516
0.008015618,81,0.6991575062274933,71.15924597471903,0.004671783,20397,208.325,1.4189401,13.327763080596924,0.0,6,0.008015618
0.007654398,86,0.7375257909297943,70.88786529915744,0.0071707848,21445,206.4,1.4189401,13.983405828475952,0.0,5,0.007654398
0.018548729,91,0.742078959941864,70.97883854426831,0.009225222,22414,205.175,1.4189401,14.645808458328247,0.0,5,0.018548729
0.0058000917,97,0.7875172942876816,70.474397608101,0.007188052,23401,204.725,1.4189401,15.309820175170898,0.0,6,0.0058000917
0.009295458,103,0.7927180081605911,70.89849936732915,0.0052680117,24504,198.25,1.4189401,15.975970029830933,0.0,6,0.009295458
0.008831093,108,0.8033285439014435,71.89153857900408,0.0027662301,25400,191.7,1.4189401,16.645831823349,0.0,5,0.008831093
0.012194734,114,0.7851213663816452,72.34393313745834,0.006240802,26539,185.15,1.4189401,17.302876949310303,0.0,6,0.012194734
0.01004127,120,0.8114040493965149,72.23929213443657,0.0068093045,27609,184.25,1.4189401,17.952685594558716,0.0,6,0.01004127
0.015981607,126,0.8422328978776932,72.51594667185367,0.006879756,28578,178.325,1.4189401,18.613286018371582,0.0,6,0.015981607
0.011044314,131,0.8364694565534592,72.16179151139724,0.008654369,29518,177.6,1.4189401,19.283013820648193,0.0,5,0.011044314
0.008859021,137,0.8249300569295883,71.47907019514254,0.00486386,30674,181.825,1.4189401,19.942374229431152,0.0,6,0.008859021
0.009648109,142,0.8878574520349503,70.83109190137255,0.0068323854,31687,183.7,1.4189401,20.594520807266235,0.0,5,0.009648109
0.008486314,148,0.8886824771761894,70.83021710994969,0.006123677,32718,182.95,1.4189401,21.25813102722168,0.0,6,0.008486314
