entropy,EpThisIter,EpisodesSoFar,TimeElapsed,EpRewMean,meankl,surrgain,entloss,EpLenMean,ev_tdlam_before,optimgain,TimestepsSoFar
1.9736401,1,2229,673.8043930530548,2563.0191839363006,0.009857104,0.04774523,0.0,707.4,0.2067139744758606,0.04774523,744351
1.92675,1,2230,675.3247849941254,2563.3823192285768,0.011123035,0.042280667,0.0,707.4,0.17546802759170532,0.042280667,745351
1.9287492,2,2232,676.6659820079803,2558.702174336557,0.010880234,0.06478437,0.0,706.125,0.8982904478907585,0.06478437,746414
1.9385666,1,2233,678.0042750835419,2608.416076760585,0.010117814,0.05632468,0.0,718.3,0.9584096632897854,0.05632468,747101
1.95932,1,2234,679.2962350845337,2608.557362562248,0.011005944,0.03727971,0.0,718.3,0.05650585889816284,0.03727971,748101
1.9587785,1,2235,681.0260548591614,2652.9415281500123,0.009629805,0.038612615,0.0,731.775,0.04912835359573364,0.038612615,749101
1.9303219,1,2236,682.6421618461609,2735.786953566959,0.009180745,0.040795162,0.0,754.425,0.054836928844451904,0.040795162,750101
1.928552,2,2238,684.3656179904938,2728.5313627072996,0.01095651,0.060677007,0.0,751.725,0.9278391301631927,0.060677007,751488
1.9604249,2,2240,686.1717808246613,2650.5720927150637,0.010382768,0.0552717,0.0,730.375,0.9828000199049711,0.0552717,752360
1.9414692,1,2241,687.9303607940674,2637.6969501461003,0.010404941,0.05450325,0.0,727.15,0.9885519566014409,0.05450325,752796
1.9269472,1,2242,689.5892927646637,2634.5367113962866,0.012553219,0.067366034,0.0,725.05,0.9932722179219127,0.067366034,753712
1.9125136,3,2245,691.1552929878235,2612.358831385045,0.011209352,0.05371586,0.0,718.1,0.7611860930919647,0.05371586,755706
1.9509599,1,2246,692.7535989284515,2665.1888656260007,0.00909329,0.03511651,0.0,733.05,0.07441085577011108,0.03511651,756706
1.9398134,1,2247,694.4093539714813,2680.475586820527,0.009844957,0.05796128,0.0,737.0,0.9701282232999802,0.05796128,757334
1.9249512,2,2249,695.9828288555145,2706.0449806021875,0.010603919,0.043245725,0.0,745.45,0.6094984412193298,0.043245725,758693
1.907198,1,2250,697.5829179286957,2664.9505230143245,0.010109035,0.05361541,0.0,733.675,0.9573802128434181,0.05361541,759222
1.926329,1,2251,699.2284691333771,2695.21201558034,0.010397719,0.046109363,0.0,742.225,0.3805200457572937,0.046109363,760222
1.9083022,2,2253,700.9296541213989,2629.128934224193,0.011550559,0.06126802,0.0,724.575,0.5706124603748322,0.06126802,761516
1.9258654,1,2254,702.6229529380798,2631.5711812751742,0.009395545,0.038090058,0.0,724.575,0.10233545303344727,0.038090058,762516
1.9159851,2,2256,704.289244890213,2570.1564065512175,0.009651261,0.06911336,0.0,706.55,0.939653791487217,0.06911336,763546
1.9378376,1,2257,706.0507109165192,2535.9457404672976,0.009859446,0.056766123,0.0,696.225,0.9639488197863102,0.056766123,764133
1.9600908,2,2259,707.6910600662231,2551.5240370736797,0.00943986,0.042131502,0.0,700.7,0.5718043744564056,0.042131502,765543
1.9543476,1,2260,709.3573489189148,2582.4238850179872,0.009408047,0.03810302,0.0,709.4,0.05004650354385376,0.03810302,766543
1.9484007,3,2263,711.0125079154968,2583.2098298190017,0.008726423,0.052947186,0.0,697.95,0.7531635761260986,0.052947186,767962
1.9495299,3,2266,712.744943857193,2540.7522368604314,0.0105479155,0.053703103,0.0,686.9,0.7463855147361755,0.053703103,769019
1.9092166,1,2267,714.4149069786072,2537.104249617,0.00990319,0.056691926,0.0,684.8,0.9130580127239227,0.056691926,769935
1.9260544,1,2268,716.1450328826904,2553.7917234679926,0.01025259,0.07342442,0.0,689.575,0.9845461286604404,0.07342442,770934
1.8989558,2,2270,717.8734958171844,2470.974821603663,0.0101983985,0.058919184,0.0,665.875,0.8472278863191605,0.058919184,771986
1.8815064,3,2273,719.5302519798279,2404.027632532262,0.009856648,0.0600329,0.0,650.025,0.9405977465212345,0.0600329,773102
1.8501909,2,2275,721.2493159770966,2316.757918915661,0.010191695,0.05456678,0.0,625.75,0.5651170611381531,0.05456678,774131
1.8587935,1,2276,722.8184390068054,2266.3003512502096,0.0101181045,0.06429747,0.0,610.7,0.942070409655571,0.06429747,774529
1.8424616,3,2279,724.4926159381866,2261.763778367587,0.0124704,0.05885416,0.0,610.05,0.7379988431930542,0.05885416,776159
1.8375266,1,2280,726.2224099636078,2268.910188813289,0.0107779885,0.060772598,0.0,611.6,0.96444171667099,0.060772598,776824
1.8345052,2,2282,728.0171639919281,2239.7202646675532,0.011742179,0.065446675,0.0,604.175,0.980276906862855,0.065446675,777879
1.8536683,1,2283,729.6560609340668,2222.3357074947003,0.00988404,0.06986602,0.0,598.45,0.9757917355746031,0.06986602,778650
1.8635234,2,2285,731.3517639636993,2246.23252537759,0.009324849,0.06952223,0.0,604.725,0.9308928102254868,0.06952223,779895
1.8779217,2,2287,733.0202660560608,2222.482769477667,0.009867452,0.06784992,0.0,597.375,0.9822953753173351,0.06784992,781229
1.8772582,2,2289,735.2391839027405,2171.355228610718,0.009320691,0.05403594,0.0,583.3,0.9229851067066193,0.05403594,782025
1.8833617,1,2290,738.0894179344177,2197.6785836701297,0.010120298,0.06346652,0.0,590.275,0.9827179443091154,0.06346652,782833
1.8826214,2,2292,740.5069568157196,2108.780145191799,0.01002658,0.05728168,0.0,565.125,0.9826213754713535,0.05728168,783827
1.8887639,2,2294,742.2651379108429,2130.5078961041286,0.00991089,0.0623994,0.0,569.575,0.9849931756034493,0.0623994,785299
1.8592814,1,2295,744.4797749519348,2147.6310977016465,0.012776971,0.06911293,0.0,574.4,0.9936662181280553,0.06911293,786165
1.8354574,1,2296,746.5648200511932,2186.058353505336,0.012907999,0.06713476,0.0,584.225,0.9879119638353586,0.06713476,786915
1.8315798,2,2298,748.5204329490662,2149.4877755906637,0.010546917,0.08141627,0.0,574.75,0.9863099120557308,0.08141627,788123
1.8192377,1,2299,750.8624589443207,2201.821227455714,0.0097785825,0.051253013,0.0,589.5,0.5977350473403931,0.051253013,789123
1.821137,1,2300,752.7489197254181,2199.6754173456475,0.009865987,0.046822313,0.0,589.5,0.04816228151321411,0.046822313,790123
1.7944963,1,2301,754.3144080638885,2202.1324064575033,0.0110922605,0.06478797,0.0,590.2,0.8942232057452202,0.06478797,791077
