#{"t_start": 1521290782.205772, "env_id": "Walker2d-v2"}
r,l,t
0.71125,12,4.529678
-4.58919,8,4.537137
-4.290806,18,4.55241
0.12476,10,4.561258
-1.008083,11,4.570867
-2.232449,11,4.580268
-0.718121,15,4.593202
-8.4022,18,4.608772
-1.210146,23,4.628467
-1.152193,16,4.642377
0.092299,23,4.662077
-3.759807,13,4.673348
4.573191,26,4.695365
-3.145868,11,4.70488
-2.032243,21,4.72268
0.853129,12,4.73431
-2.694713,19,4.756689
-0.601043,13,4.771814
7.794679,17,4.786843
-9.323277,14,4.798439
2.807278,13,4.809242
5.187575,18,4.82435
-3.625383,18,4.839204
5.128177,27,4.861504
2.678023,19,4.877293
-1.784353,10,4.885908
3.171705,17,4.900254
-10.299247,20,4.916744
-2.668099,13,4.927626
0.515997,11,4.936793
9.432757,28,4.965146
1.247036,23,4.992747
0.263365,26,5.024533
2.213,15,5.042165
9.456694,28,5.076578
-0.524124,16,5.090721
1.318353,13,5.101533
1.861241,12,5.111479
-0.98123,16,5.124921
0.460064,19,5.140524
-5.835585,10,5.148997
-1.315658,10,5.157157
-4.472528,15,5.169531
-3.96216,16,5.184245
4.45388,18,5.198992
-4.669873,10,5.207582
-8.194377,11,5.216693
-1.649737,18,5.231793
1.421584,15,5.244309
-9.278603,20,5.260892
-2.543139,9,5.268584
-1.709893,25,5.294152
-1.159074,12,5.308811
-0.283664,13,5.324306
-0.753109,17,5.344489
-0.983887,9,5.355307
-6.493801,27,5.387611
-3.001217,28,5.417729
3.013566,18,5.436876
-6.198524,9,5.446578
3.062079,23,5.473693
-5.12193,8,5.484074
-8.754174,16,5.879675
17.80892,31,5.91508
1.105794,49,5.972947
6.317355,30,6.008842
5.539053,31,6.046503
-0.932079,13,6.062486
-7.015079,25,6.092832
-2.058865,14,6.109409
-9.580037,23,6.136098
-5.86743,21,6.158835
2.807506,30,6.194051
-7.368844,14,6.211047
-7.163903,17,6.231132
1.40687,13,6.246803
1.870213,12,6.262172
-7.109359,17,6.282624
4.686942,34,6.316285
-2.697538,38,6.34719
7.349995,23,6.366113
-1.511931,12,6.376075
-6.841267,17,6.389919
21.426674,46,6.426873
1.358135,21,6.444091
-6.26437,20,6.460425
0.039281,11,6.469357
-5.185768,18,6.487243
5.515845,19,6.504588
-10.283654,22,6.522619
-0.947673,34,6.550122
-2.482859,17,6.564109
-0.273893,16,6.577526
0.946033,33,6.604514
-0.089627,12,6.614534
-6.57869,11,6.623655
1.136114,16,6.63685
-3.598127,20,6.653894
-8.830525,17,6.668001
12.853679,43,6.702857
-4.210947,10,6.711097
1.702819,23,6.73004
6.15211,16,6.743252
12.897042,31,6.768366
-3.9533,18,6.783311
5.818843,19,6.799048
-3.464674,18,6.814085
-11.065384,26,6.835446
5.460547,31,6.988814
0.251687,20,7.005576
2.052875,18,7.020446
-6.444147,17,7.034322
-2.885394,18,7.049019
-1.726328,11,7.058465
0.205754,21,7.07579
1.440484,15,7.088422
-3.303583,9,7.09626
-5.493725,14,7.107904
7.247859,30,7.143317
3.228521,29,7.178301
-1.544337,29,7.212421
-4.696248,10,7.223184
-5.733588,24,7.242925
4.761644,30,7.267524
14.256,33,7.294691
-1.05587,14,7.306397
3.847416,16,7.31961
0.187808,18,7.334631
-0.204188,23,7.353511
-3.925262,15,7.365862
-3.054291,19,7.381462
-6.241384,22,7.399448
-5.076238,14,7.411043
1.502282,20,7.427485
-8.958791,19,7.443197
-2.183122,18,7.457953
2.904447,15,7.47033
-4.156957,21,7.49417
0.138311,25,7.524057
1.61893,11,7.537359
-1.982983,9,7.548562
-0.201792,10,7.560757
8.705662,26,7.591395
-5.914296,25,7.621119
-5.537707,40,7.658385
4.534567,26,7.679892
4.630906,18,7.694574
6.923723,17,7.708687
-8.389155,11,7.717783
1.788259,15,7.730232
-3.43098,20,7.746614
2.224793,33,7.77325
14.427775,44,7.808779
-0.648149,18,7.82347
-8.754561,12,7.833483
-3.773584,23,7.852194
4.458325,16,7.865201
-4.964224,18,7.879775
-1.980895,11,7.888963
-1.351521,29,8.14852
8.039761,22,8.166946
-9.243967,24,8.18663
1.752843,16,8.199761
-9.852232,21,8.21679
-4.581704,21,8.233906
-11.691409,29,8.257647
4.564989,22,8.275512
0.005478,20,8.291711
14.639696,51,8.333193
0.928192,28,8.356299
-2.656238,14,8.368194
7.437897,23,8.387479
-6.693143,15,8.399719
-6.767745,27,8.422126
-1.004558,27,8.444257
4.732941,17,8.458589
-1.287411,20,8.475476
18.516801,40,8.50803
-7.123515,33,8.550124
-0.650529,45,8.58918
-6.922693,18,8.612682
8.437627,57,8.679042
-5.775108,30,8.714744
