EpLenMean,entloss,EpRewMean,EpTrueRewMean,EpThisIter,TimeElapsed,surrgain,optimgain,meankl,entropy,ev_tdlam_before,TimestepsSoFar,EpisodesSoFar
20.425,0.0,18.803127,-0.306730837220552,51,3.8925676345825195,0.056561362,0.056561362,0.0070152786,8.475651,0.3219391107559204,1021,51
25.85,0.0,18.541168,-0.23544565842960533,39,7.199275493621826,0.058602784,0.058602784,0.0074638044,8.425948,0.6139786243438721,2044,90
35.6,0.0,24.877594,3.4628949429313125,24,10.435214757919312,0.06597775,0.06597775,0.0078437235,8.373916,0.6797634959220886,3078,114
52.125,0.0,36.04127,9.44192985855076,14,13.774019241333008,0.07286792,0.07286792,0.00670813,8.351731,0.7018797695636749,4099,128
66.075,0.0,45.064262,17.207985440304785,12,17.064106464385986,0.06693334,0.06693334,0.006335092,8.350907,0.6780731678009033,5118,140
79.1,0.0,53.9904,21.688448913933296,11,20.5531485080719,0.06700981,0.06700981,0.007004127,8.289137,0.8324108719825745,6105,151
93.225,0.0,64.973915,31.878379696576427,8,24.092746257781982,0.060057655,0.060057655,0.0066896644,8.229615,0.8537814915180206,7140,159
106.4,0.0,76.04265,44.1726170482416,7,27.889549255371094,0.062383514,0.062383514,0.0071461354,8.206601,0.8276218175888062,8174,166
122.35,0.0,89.97035,53.41006215268146,5,31.517149448394775,0.053201817,0.053201817,0.006124482,8.210679,0.9236345365643501,9224,171
140.575,0.0,106.1354,71.81913072655682,7,35.16332292556763,0.07246025,0.07246025,0.006187067,8.253004,0.7979616075754166,10407,178
150.875,0.0,116.99837,77.21236043636142,7,38.6731231212616,0.06433119,0.06433119,0.0058524157,8.236954,0.9238439947366714,11563,185
160.825,0.0,126.597374,90.83792553486046,6,42.417940616607666,0.07011333,0.07011333,0.0068731494,8.232611,0.8914664313197136,12538,191
168.525,0.0,134.50143,110.32131186597687,6,46.053632974624634,0.06496009,0.06496009,0.0059297145,8.216187,0.9412941373884678,13655,197
172.25,0.0,138.91025,122.44902634111175,6,49.99464392662048,0.06760697,0.06760697,0.007430454,8.279486,0.8513991832733154,14537,203
168.6,0.0,137.35367,136.44800120947258,6,54.120930194854736,0.06279835,0.06279835,0.0063990853,8.280288,0.8894058465957642,15637,209
171.175,0.0,139.28893,145.86936188585094,5,57.84864926338196,0.07545853,0.07545853,0.0062371036,8.251453,0.8809750899672508,16738,214
174.375,0.0,141.30295,173.12408381338793,6,61.76597499847412,0.061401032,0.061401032,0.0063687307,8.280828,0.9637035727500916,17749,220
182.825,0.0,146.3215,185.18202935884807,5,66.0885283946991,0.059876524,0.059876524,0.0068122866,8.286318,0.9390354380011559,18876,225
188.875,0.0,149.67007,201.97452638859414,5,70.40045213699341,0.06295032,0.06295032,0.005644547,8.233898,0.9091817885637283,19960,230
196.025,0.0,153.94958,219.76988622582138,4,74.70841598510742,0.0664815,0.0664815,0.0059797657,8.197009,0.9244670569896698,20979,234
204.55,0.0,158.67209,229.70241095240308,2,78.33439993858337,0.06428586,0.06428586,0.006634116,8.154712,0.8707357496023178,21659,236
212.625,0.0,162.05737,243.7381205377871,4,82.61007833480835,0.065848075,0.065848075,0.0056543946,8.128541,0.8266147971153259,22609,240
220.275,0.0,163.97249,251.3040550009273,4,86.87436747550964,0.07597664,0.07597664,0.0059434175,8.109085,0.9255645573139191,23680,244
240.25,0.0,174.4441,255.86442812923207,2,91.14897727966309,0.06711613,0.06711613,0.0065120696,8.067797,0.9264423921704292,24756,246
261.55,0.0,184.2717,265.71851675310234,3,95.42170238494873,0.07172235,0.07172235,0.0055688526,8.079342,0.9331442043185234,26099,249
261.225,0.0,178.8155,265.2493885252264,4,99.70576238632202,0.07226646,0.07226646,0.0057868687,8.076309,0.9327471554279327,27007,253
278.4,0.0,186.28206,271.1647717730559,3,103.97715449333191,0.06645371,0.06645371,0.0061100544,8.059696,0.916216678917408,28148,256
281.925,0.0,185.34906,273.4960175971738,3,108.24914240837097,0.08370792,0.08370792,0.006488096,8.038517,0.8844436407089233,28867,259
289.55,0.0,185.47551,262.50249300333763,4,112.53322148323059,0.06911107,0.06911107,0.0066743703,8.036922,0.9095959290862083,29890,263
296.725,0.0,185.23453,263.2841334164059,3,116.81645226478577,0.08083796,0.08083796,0.006687435,8.059812,0.572242021560669,30907,266
300.6,0.0,183.48917,263.8468116642376,3,121.09144139289856,0.07924577,0.07924577,0.005870427,8.070298,0.9442389197647572,31844,269
303.5,0.0,182.9738,265.5573023048638,2,125.37499237060547,0.07645455,0.07645455,0.006152385,8.022823,0.8661620914936066,32482,271
318.675,0.0,189.61714,276.66678566045346,2,129.65638494491577,0.0689425,0.0689425,0.0063280794,7.9880524,0.9184885919094086,33576,273
325.825,0.0,190.6843,283.50722125386176,3,133.9331443309784,0.075128004,0.075128004,0.005952759,7.9935336,0.9284595176577568,34692,276
341.875,0.0,198.86942,291.9236593277481,1,138.21373915672302,0.068963885,0.068963885,0.006189673,8.002549,0.9206094518303871,35512,277
340.725,0.0,196.50839,284.88981976907803,2,142.50727009773254,0.08243632,0.08243632,0.0061706323,7.92987,0.8803925961256027,36053,279
