EpLenMean,meankl,TimeElapsed,EpisodesSoFar,entloss,optimgain,ev_tdlam_before,TimestepsSoFar,EpTrueRewMean,entropy,EpThisIter,surrgain,EpRewMean
1000.0,0.005679108,4105.413126468658,1246,0.0,0.06088563,0.5760160982608795,1246000,-3148.4058547838595,6.4971933,1,0.06088563,109.91609
1000.0,0.004099254,4109.004683732986,1247,0.0,0.083245195,0.7134319543838501,1247000,-3170.3363842210974,6.50616,1,0.083245195,108.975975
1000.0,0.00452571,4112.610657691956,1248,0.0,0.10716562,0.5220597982406616,1248000,-3213.4378420930507,6.5320287,1,0.10716562,107.06455
1000.0,0.0040137507,4116.200476408005,1249,0.0,0.077596545,0.7630398869514465,1249000,-3231.9696926391744,6.5587206,1,0.077596545,106.5092
1000.0,0.0041488875,4119.779705286026,1250,0.0,0.079810575,0.3526078462600708,1250000,-3253.0873298037136,6.541073,1,0.079810575,105.548546
1000.0,0.014277222,4123.360405921936,1251,0.0,0.13988094,0.5989992320537567,1251000,-3300.3745001577263,6.5364814,1,0.13988094,103.28902
1000.0,0.0038439978,4126.946017742157,1252,0.0,0.06919019,0.15977013111114502,1252000,-3317.042115878561,6.560978,1,0.06919019,101.62714
1000.0,0.0041498626,4130.534686326981,1253,0.0,0.07073171,0.3153963088989258,1253000,-3320.4238902200573,6.569459,1,0.07073171,102.542435
1000.0,0.0050803167,4134.125815868378,1254,0.0,0.09425509,0.7951545566320419,1254000,-3343.461780684514,6.5836134,1,0.09425509,102.02241
1000.0,0.0039606467,4137.700800180435,1255,0.0,0.070528574,0.2753639817237854,1255000,-3352.613412966935,6.588303,1,0.070528574,102.29738
1000.0,0.0056179045,4141.27698802948,1256,0.0,0.09327609,0.9160325825214386,1256000,-3382.5680012604143,6.5875096,1,0.09327609,101.769226
1000.0,0.0041809995,4145.346394300461,1257,0.0,0.07775292,0.5439151227474213,1257000,-3412.867187740281,6.595229,1,0.07775292,100.361465
1000.0,0.0049843416,4148.945314645767,1258,0.0,0.10420047,0.2529566287994385,1258000,-3427.2388917137987,6.556884,1,0.10420047,99.09048
1000.0,0.004643905,4152.535020828247,1259,0.0,0.08377455,0.6644023954868317,1259000,-3456.1298649197197,6.5729966,1,0.08377455,98.04456
1000.0,0.003841014,4156.107691287994,1260,0.0,0.0718959,0.7378855645656586,1260000,-3456.1187737813134,6.601182,1,0.0718959,99.64043
1000.0,0.003982961,4159.679850578308,1261,0.0,0.09027681,0.8736966699361801,1261000,-3471.0931161523345,6.6074877,1,0.09027681,100.02103
1000.0,0.004809716,4163.262432336807,1262,0.0,0.089414135,0.6978878080844879,1262000,-3496.927154248709,6.6217055,1,0.089414135,99.195175
1000.0,0.004318822,4166.831337928772,1263,0.0,0.08512227,0.5614316463470459,1263000,-3515.0183046137217,6.641419,1,0.08512227,99.684525
1000.0,0.004145194,4170.419494152069,1264,0.0,0.068693265,0.08902841806411743,1264000,-3527.0339765323106,6.641127,1,0.068693265,102.17428
1000.0,0.00455183,4174.020213365555,1265,0.0,0.0851706,0.6938653886318207,1265000,-3572.511826355483,6.649724,1,0.0851706,100.160446
