entloss,EpTrueRewMean,TimestepsSoFar,optimgain,EpLenMean,meankl,EpisodesSoFar,TimeElapsed,surrgain,EpThisIter,entropy,ev_tdlam_before,EpRewMean
0.0,-4291.833851972963,804000,0.15654191,1000.0,0.0053393575,804,2536.487452030182,0.15654191,1,5.0777645,0.9650145471096039,233.78365
0.0,-4324.517396955009,805000,0.077762336,1000.0,0.0047805645,805,2539.940936565399,0.077762336,1,5.0562744,-1.9948959350585938,231.78902
0.0,-4364.715704781464,806000,0.029806867,1000.0,0.008535069,806,2543.3913745880127,0.029806867,1,5.0037646,0.9300529211759567,259.7793
0.0,-4393.708950740952,807000,0.1404809,1000.0,0.008216655,807,2546.830496788025,0.1404809,1,5.0100646,0.44436198472976685,286.02676
0.0,-4428.435545522726,808000,0.09424021,1000.0,0.008036792,808,2550.2830033302307,0.09424021,1,5.0333014,-0.09531247615814209,303.85394
0.0,-4464.240354249089,809000,0.37513155,1000.0,0.008523161,809,2553.722770214081,0.37513155,1,5.04496,-0.04295670986175537,327.39453
0.0,-4500.254189628099,810000,0.2910858,1000.0,0.0071889693,810,2557.175634622574,0.2910858,1,5.0191636,-0.10753142833709717,348.2089
0.0,-4538.345399347493,811000,0.07139386,1000.0,0.0092071155,811,2560.618508338928,0.07139386,1,5.0174565,-0.048918724060058594,363.5682
0.0,-4614.99957371341,812000,0.026558178,1000.0,0.0087702125,812,2564.0624284744263,0.026558178,1,5.102967,-0.036064743995666504,368.99667
0.0,-4689.165863877288,813000,0.05771573,1000.0,0.0074194046,813,2567.513223171234,0.05771573,1,5.126362,0.20589303970336914,372.3098
0.0,-4753.122297796367,814000,0.052090324,1000.0,0.0041625705,814,2570.954241514206,0.052090324,1,5.143638,0.6645454168319702,372.84814
0.0,-4791.266621734927,815000,0.041845582,1000.0,0.010672691,815,2574.4029488563538,0.041845582,1,5.095708,-0.07655596733093262,376.64926
0.0,-4829.002828886328,816000,0.1009693,1000.0,0.01495968,816,2577.8320372104645,0.1009693,1,5.062707,-0.09040451049804688,379.57437
0.0,-4864.886950406517,817000,0.05821463,1000.0,0.01281378,817,2581.2751166820526,0.05821463,1,5.1116285,0.29943424463272095,381.4939
0.0,-4923.69606794651,818000,0.05876092,1000.0,0.0040615518,818,2584.7235090732574,0.05876092,1,5.174379,0.6479170322418213,375.08417
