#{"t_start": 1521177770.8833416, "env_id": "MountainCarContinuous-v0"}
r,l,t
-92.579404,999,1.167601
-100.583963,999,1.694478
-87.312353,999,2.893905
-88.981642,999,3.556228
-77.479896,999,4.654338
-77.810757,999,5.31367
-66.719359,999,6.4168
-66.014654,999,7.075559
-57.679016,999,8.195671
-56.024951,999,8.85574
68.985462,684,9.748779
60.9063,731,10.233394
-49.289064,999,11.337659
72.579089,597,11.733404
57.243241,882,12.3146
62.810552,816,13.289239
67.593516,689,13.747249
81.729702,404,14.01507
79.353106,443,14.306376
81.95768,409,15.0171
85.105811,322,15.233809
83.367324,355,15.460985
75.169065,549,15.823251
75.331954,491,16.146368
87.509119,249,16.746738
81.658764,394,17.009836
82.810177,408,17.283761
86.917877,254,17.451047
78.753725,373,17.6957
87.404764,280,17.880449
75.46488,542,18.690658
87.385377,293,18.883876
87.213833,337,19.104424
87.262364,319,19.315918
86.000574,346,19.544166
83.971944,394,20.242568
89.314969,246,20.403824
84.483499,344,20.634639
91.815412,245,20.795854
88.997327,267,20.971215
89.170986,280,21.156358
89.40606,236,21.313372
89.906853,246,21.476133
79.751688,480,22.23474
89.757071,240,22.394409
82.35889,484,22.713836
89.54488,307,22.915852
84.044676,422,23.19316
87.884972,323,23.845887
90.752772,241,24.001473
89.776875,241,24.162227
88.695534,246,24.324671
86.134558,368,24.568584
90.612865,307,24.770841
86.478257,327,24.985766
88.824697,290,25.610889
89.256953,245,25.776933
90.308457,304,25.978904
90.398461,250,26.143507
89.942298,265,26.318904
88.361853,312,26.524779
92.762693,243,26.684365
90.58695,250,26.857155
91.800398,231,27.456887
92.146817,200,27.588417
91.073703,222,27.73679
89.988818,228,27.887215
90.071838,243,28.04617
92.105936,192,28.169858
89.819591,226,28.31892
88.610345,263,28.492645
88.679717,314,28.698914
86.954007,306,29.344975
93.442753,155,29.44345
89.749998,230,29.596919
90.496761,293,29.790066
90.089227,224,29.936831
89.916259,266,30.113585
92.433005,203,30.247069
87.628108,301,30.44523
93.411222,170,30.986432
91.040481,186,31.114869
90.269892,234,31.270837
93.679179,134,31.359182
91.051666,203,31.492761
91.696464,221,31.638506
91.835307,227,31.78736
92.730453,196,31.916697
90.34318,218,32.060229
90.677752,226,32.209957
91.934934,212,32.77989
93.835595,124,32.862425
92.719516,190,32.99039
87.784483,310,33.192602
93.45173,188,33.317693
93.19229,159,33.42277
91.317891,213,33.564959
87.530957,247,33.727041
92.290659,222,33.873265
90.734954,194,34.000571
89.186983,255,34.606186
91.878394,151,34.705164
88.632481,282,34.895611
93.966617,195,35.02396
90.36505,205,35.158771
90.401607,217,35.303222
91.885551,195,35.431964
93.010943,165,35.540553
92.771007,161,35.646288
92.426884,166,35.75478
90.211233,201,35.887746
88.639941,192,36.44944
90.764347,178,36.568073
92.272479,153,36.66976
93.807355,159,36.774919
91.186892,208,36.912008
92.018613,187,37.035156
92.155242,187,37.158136
90.528709,193,37.287823
91.102946,202,37.422221
92.359055,194,37.550888
92.312519,160,37.658416
91.309238,172,38.204666
91.985399,149,38.303029
93.451902,110,38.380715
92.27762,154,38.482965
88.80666,188,38.606493
93.361083,145,38.702391
94.432895,121,38.782531
92.401048,146,38.879035
89.466117,201,39.011238
90.948895,179,39.129824
92.911735,113,39.20468
90.251018,145,39.309207
94.236658,118,39.392075
93.210391,118,39.470602
92.016462,145,39.999813
88.67783,188,40.128604
92.60126,119,40.208184
88.107499,189,40.333705
94.55457,121,40.414927
86.210356,156,40.517225
89.241247,149,40.616258
87.460745,200,40.748727
89.66669,203,40.883583
89.507463,142,40.978694
91.622824,173,41.092923
91.058794,148,41.193494
91.344396,152,41.294559
92.237279,160,41.831815
89.464921,154,41.935999
90.783368,149,42.034438
88.96989,151,42.135697
93.112735,112,42.210362
91.151519,153,42.312929
92.59507,165,42.423434
94.030172,77,42.475348
94.118326,120,42.555374
94.065011,120,42.635038
91.49421,120,42.714101
94.392973,86,42.771241
94.516332,92,42.832058
89.383613,145,42.927055
93.139829,115,43.002622
91.877547,160,43.53993
87.361996,147,43.638989
93.057768,108,43.714246
93.703883,85,43.771642
89.737672,150,43.870559
92.157363,117,43.948045
87.152136,148,44.045483
93.570255,83,44.100482
93.884508,80,44.153365
87.963264,142,44.247234
86.906558,146,44.344435
92.549676,136,44.435356
86.489181,174,44.560441
91.787276,128,44.649441
93.123091,113,44.724055
92.959367,114,44.798951
88.964758,149,44.896899
94.162365,82,45.387373
88.767377,150,45.490858
92.529746,114,45.566975
89.20979,156,45.670586
86.22319,186,45.793078
90.858137,124,45.874441
91.522946,140,45.966755
90.831913,118,46.044127
92.473469,116,46.120622
