#{"t_start": 1521177323.1295977, "env_id": "MountainCarContinuous-v0"}
r,l,t
-100.964436,999,1.115464
-94.766687,999,1.703325
-91.666818,999,2.903163
-99.670506,999,3.565863
-79.535066,999,4.682066
-75.169414,999,5.346701
-68.258424,999,6.442836
-65.754869,999,7.10297
-57.212265,999,8.207472
-60.942024,999,8.867618
-53.755418,999,9.973214
-52.372199,999,10.6365
-47.522573,999,11.743529
-43.692412,999,12.404583
-41.113776,999,13.506536
82.693144,400,13.77072
-39.446411,999,14.435291
-35.452247,999,15.543484
-36.191203,999,16.207486
67.690101,900,17.245354
69.651994,875,17.824764
85.79751,439,18.550175
84.843545,419,18.831524
86.021043,421,19.110819
85.289983,470,19.422209
86.466151,418,19.698435
75.615375,678,20.602702
90.892676,262,20.776529
84.163745,494,21.103945
90.069638,246,21.2668
84.973784,455,21.567813
86.932827,376,22.251989
89.102064,350,22.487618
85.182833,438,22.776726
85.918362,435,23.06624
88.497904,332,23.287195
87.972175,340,23.953216
89.467518,333,24.174491
90.011527,284,24.363675
87.399484,362,24.603682
90.951151,279,24.788509
89.368598,281,24.974121
88.455805,414,25.709481
88.970503,329,25.931904
89.317447,357,26.169106
91.828605,241,26.329448
89.687015,291,26.522002
86.498407,409,26.792296
90.255399,315,27.000749
91.634673,253,27.603692
89.680745,272,27.784518
87.118683,361,28.024008
91.334567,240,28.183276
90.188357,248,28.347466
89.863204,298,28.544692
88.629941,305,28.746528
89.387438,359,29.417641
89.340733,339,29.645503
87.480943,391,29.905387
87.01323,450,30.203896
91.525576,238,30.377492
91.113659,294,30.572806
88.861437,428,31.290194
89.460965,350,31.522388
90.689058,300,31.721133
89.364714,367,31.9641
94.825954,159,32.069766
91.578392,299,32.268491
94.046374,180,32.387015
91.656145,212,32.963073
94.472244,164,33.073194
94.521758,169,33.185779
92.764052,213,33.329986
93.830253,171,33.443589
90.237924,255,33.61339
90.110854,329,33.831011
94.722035,161,33.938237
93.398909,205,34.075381
90.994361,200,34.208944
93.20055,242,34.809901
91.844809,228,34.967596
90.379112,232,35.12231
92.039501,207,35.259622
93.366722,211,35.39891
94.209081,159,35.503593
93.899554,164,35.622777
93.955999,156,35.726722
93.508152,202,35.865589
93.535139,194,35.99436
94.839503,168,36.537491
92.036474,228,36.692999
93.508716,158,36.797404
95.071526,160,36.903815
92.220498,234,37.058527
93.286337,196,37.188471
94.442219,167,37.299128
91.727036,269,37.477287
93.257751,201,37.611084
88.636555,349,37.842036
91.668839,245,38.435358
94.931663,157,38.54275
93.613384,154,38.644967
93.803298,157,38.749047
92.306172,251,38.915496
91.794862,262,39.089448
93.465626,197,39.220139
91.708278,230,39.374694
95.20631,132,39.461817
94.771906,169,39.574732
90.270475,237,40.168094
92.289169,162,40.276551
93.003526,164,40.3902
93.049464,163,40.498969
92.609104,153,40.600462
91.8155,155,40.703062
92.593388,205,40.847364
92.647227,160,40.953489
93.423321,153,41.05571
92.233043,157,41.159514
92.199517,157,41.263821
90.419096,204,41.398895
89.956604,230,41.985866
91.719978,200,42.123842
92.259945,158,42.229491
92.745331,157,42.333697
94.091545,125,42.416502
91.857401,166,42.526389
92.567921,153,42.627362
91.154732,162,42.734953
92.730204,150,42.834048
94.237656,126,42.917933
93.631331,145,43.01405
92.518376,154,43.116786
93.457468,162,43.224846
92.69553,156,43.762338
91.19108,154,43.864691
92.56511,187,43.992692
91.60504,161,44.100048
94.304438,131,44.1874
92.159417,157,44.292012
90.752492,187,44.416126
92.585244,153,44.515385
92.213143,157,44.618579
90.921539,170,44.73066
91.746081,152,44.831358
92.481598,167,44.942132
92.885782,153,45.040219
91.557895,145,45.569677
90.896555,149,45.668926
93.759124,138,45.763616
91.241851,188,45.889237
93.751238,126,45.972641
93.839454,122,46.058242
93.887077,128,46.145179
90.827029,180,46.264868
89.82461,154,46.366847
92.345669,162,46.47415
91.113937,168,46.585144
90.413151,153,46.685992
91.083206,160,46.791676
92.171908,151,47.324367
91.235965,163,47.43281
92.747329,121,47.516584
94.31523,131,47.604482
89.109195,154,47.706949
89.351827,159,47.812174
90.361476,152,47.913129
90.401419,151,48.012974
91.723347,176,48.129172
94.154096,120,48.208943
91.806539,162,48.315996
93.740183,82,48.370097
91.929875,148,48.467576
89.808531,152,48.567944
89.385606,161,49.112478
91.601501,151,49.213052
90.573265,153,49.318348
93.850805,81,49.372491
92.995934,118,49.451172
94.675745,138,49.542758
90.40932,150,49.642278
88.997086,152,49.742899
89.48348,191,49.869788
90.240022,176,49.986581
93.511258,80,50.039682
93.862261,84,50.095032
94.158043,82,50.149575
88.88545,198,50.281459
93.872361,84,50.337683
93.39602,120,50.417335
94.414506,80,50.908993
94.090747,88,50.965559
94.456542,83,51.020974
92.06415,119,51.107114
93.748184,93,51.169307
91.843993,143,51.267595
91.500779,120,51.363139
93.121413,127,51.447919
92.954464,116,51.525179
89.099815,161,51.631931
93.546998,80,51.684766
90.929671,163,51.791892
89.983108,152,51.893151
87.607827,159,51.998239
94.212561,83,52.053185
93.997805,80,52.106232
89.851818,147,52.204038
92.982547,113,52.279181
90.095212,142,52.803926
93.647102,79,52.856341
89.151013,183,52.981818
93.15697,80,53.035537
93.041501,82,53.089828
91.657472,122,53.170638
92.957179,95,53.233809
87.307545,176,53.350126
88.823296,161,53.456129
93.339749,80,53.509824
92.796782,80,53.562431
92.559634,76,53.612924
90.06639,119,53.691679
94.425459,84,53.751071
87.474574,175,53.868472
93.485705,82,53.923125
93.588341,91,53.983796
88.462397,143,54.079409
85.530856,156,54.61499
92.596609,78,54.670024
93.524304,76,54.721105
92.157649,131,54.807986
88.440487,160,54.914942
94.272807,96,54.978639
93.098331,79,55.032072
93.406676,85,55.08866
89.756697,153,55.190356
93.167172,77,55.241653
93.060065,84,55.297301
93.740819,85,55.353669
91.792438,78,55.405395
93.212262,80,55.457975
86.666125,154,55.559903
93.027026,83,55.614583
86.624161,171,55.727779
93.365802,78,55.779321
92.909688,80,55.831929
91.91609,78,56.314087
93.092665,99,56.382703
93.091299,78,56.434479
87.118423,162,56.555136
92.140769,78,56.610968
92.369692,87,56.668625
92.884069,85,56.724908
93.360303,79,56.777509
92.484633,80,56.830587
92.775201,79,56.883248
91.751267,91,56.943493
92.645499,77,56.994987
90.917564,114,57.070836
92.351319,80,57.123776
86.378094,164,57.232504
92.611286,81,57.286119
90.922816,112,57.360194
