entloss,EpThisIter,EpRewMean,EpisodesSoFar,entropy,ev_tdlam_before,TimestepsSoFar,meankl,TimeElapsed,EpLenMean,EpTrueRewMean,surrgain,optimgain
0.0,45,15.545532,45,24.12545,0.41476714611053467,1025,0.006774961,30.109755992889404,23.325,109.52348124806267,0.16412526,0.16412526
0.0,44,13.635088,89,24.16226,0.4411708116531372,2050,0.0072803935,54.87091612815857,23.075,108.98535196225998,0.16386914,0.16386914
0.0,41,15.253018,130,24.176762,0.5343866050243378,3081,0.006808025,80.70896005630493,25.35,118.51327486259488,0.16941679,0.16941679
0.0,39,16.451736,169,24.17151,0.5821549594402313,4129,0.006543317,106.27220010757446,27.225,128.52186047925773,0.14886217,0.14886217
0.0,33,17.945368,202,24.168497,0.5659854114055634,5126,0.006822549,133.99687218666077,29.45,139.06119147631784,0.17154351,0.17154351
0.0,31,20.215853,233,24.12402,0.6322281062602997,6145,0.0075882385,161.1792550086975,33.0,152.31451286650434,0.1779689,0.1779689
0.0,24,24.127525,257,24.132364,0.5827710926532745,7160,0.007320935,186.80687808990479,38.425,179.27724308449484,0.16144192,0.16144192
0.0,22,29.005749,279,24.143198,0.6783789694309235,8202,0.007351253,214.47496795654297,45.8,215.30005329761315,0.15853196,0.15853196
0.0,23,29.527155,302,24.145504,0.6469761431217194,9214,0.0074769836,241.00017404556274,46.025,215.53221158326932,0.17981124,0.17981124
0.0,20,29.960468,322,24.14441,0.65658038854599,10216,0.007326704,267.05306792259216,45.775,213.97077205343993,0.17051202,0.17051202
0.0,20,33.2829,342,24.13334,0.6916650235652924,11235,0.007538609,292.5898332595825,50.525,236.80137174757184,0.18810134,0.18810134
0.0,20,33.89483,362,24.092247,0.7142482995986938,12291,0.008107888,315.65877389907837,51.875,247.27755276396496,0.16430095,0.16430095
0.0,20,34.11764,382,24.051605,0.6116923391819,13305,0.008034736,567.1414921283722,51.75,243.74869132105428,0.16511649,0.16511649
0.0,18,35.568398,400,24.061401,0.7717349678277969,14309,0.007635093,934.1404440402985,53.075,248.42834625884433,0.18708397,0.18708397
0.0,15,38.597565,415,24.054535,0.8173832148313522,15316,0.007220285,1014.9174098968506,57.425,274.38891327918043,0.19752774,0.19752774
0.0,18,42.0406,433,24.033813,0.6844870448112488,16370,0.0077800415,1125.2094151973724,61.675,295.32081470944814,0.17448701,0.17448701
0.0,17,40.46009,450,24.01481,0.6920858025550842,17422,0.00804452,1154.3767762184143,60.325,281.86287051647804,0.19223836,0.19223836
0.0,18,40.43122,468,23.970367,0.8490207940340042,18452,0.008267552,1196.694864988327,60.275,281.6212746853,0.18390189,0.18390189
0.0,17,39.096527,485,23.946745,0.8422627151012421,19508,0.008474042,1229.2742161750793,58.575,280.4808365123161,0.17859967,0.17859967
0.0,12,45.319164,497,23.948372,0.8199250996112823,20510,0.008206988,1254.452522277832,67.525,321.8230704219604,0.20421466,0.20421466
0.0,16,44.8776,513,23.975454,0.8168443143367767,21533,0.008093019,1278.6070399284363,68.475,327.8303981500379,0.1894691,0.1894691
0.0,14,46.102924,527,23.996103,0.8737744688987732,22512,0.009241167,1302.6925868988037,70.3,335.5796099478176,0.25902346,0.25902346
0.0,15,42.907093,542,23.987923,0.8915291726589203,23542,0.008203311,1326.6789631843567,66.95,320.3262636505315,0.20249328,0.20249328
0.0,13,45.486603,555,24.009605,0.8418959379196167,24524,0.0089829825,1350.7304251194,71.775,344.7540050316636,0.20109689,0.20109689
0.0,15,43.474392,570,23.998526,0.8570970743894577,25521,0.008536775,1374.9375641345978,69.975,336.9380448902478,0.21508001,0.21508001
0.0,16,40.374382,586,24.015627,0.8527042716741562,26567,0.008294477,1398.818167924881,67.6,322.6012308832378,0.18330881,0.18330881
0.0,15,40.076702,601,23.983358,0.852768138051033,27630,0.00858224,1421.813705921173,68.5,326.1910531207622,0.19788703,0.19788703
0.0,14,40.632847,615,23.96859,0.8897094428539276,28649,0.008577706,1443.4374001026154,70.0,327.7906885072927,0.1955778,0.1955778
0.0,13,41.416405,628,23.960447,0.898649126291275,29619,0.009370694,1466.6369729042053,72.6,340.8197455280013,0.1986593,0.1986593
0.0,15,40.331,643,23.978159,0.8969577550888062,30671,0.008625136,1488.9420001506805,72.325,341.2884289849605,0.22452155,0.22452155
0.0,14,40.200066,657,23.97348,0.8805136159062386,31692,0.007747703,1515.7310061454773,72.925,351.0144746927941,0.21666513,0.21666513
0.0,12,39.900578,669,23.976889,0.8493778258562088,32679,0.008424174,1544.0987679958344,74.1,355.2460202469798,0.21772486,0.21772486
0.0,12,42.28721,681,23.96241,0.7957616746425629,33722,0.00887033,1569.017060995102,79.25,381.17008568741005,0.21449077,0.21449077
0.0,13,42.10997,694,23.959808,0.881589725613594,34707,0.008590413,1594.3461339473724,80.425,381.72606327047447,0.18405041,0.18405041
0.0,14,39.54648,708,23.974281,0.9178481474518776,35719,0.009228965,1620.329195022583,77.6,373.00915827617536,0.19595428,0.19595428
0.0,14,36.161076,722,23.94239,0.8623067438602448,36735,0.008952932,1650.8333458900452,73.275,351.7757396431427,0.21694094,0.21694094
0.0,13,35.000793,735,23.91344,0.8611677587032318,37705,0.009783767,1675.4026231765747,73.4,349.8303278613372,0.2175026,0.2175026
0.0,15,33.84734,750,23.957027,0.8863621428608894,38754,0.009016775,1700.1102221012115,72.15,340.4469271192097,0.20768681,0.20768681
0.0,13,34.573357,763,23.939486,0.8544320464134216,39819,0.009134699,1723.2938690185547,75.45,352.04870351600664,0.23812118,0.23812118
0.0,13,35.361298,776,23.935587,0.8383014053106308,40878,0.008655634,1746.7007830142975,77.7,363.3264237496873,0.27474612,0.27474612
0.0,13,36.4403,789,23.941446,0.8567662388086319,41877,0.009644717,1769.4452729225159,80.1,382.3219917300939,0.22706744,0.22706744
0.0,12,35.621014,801,23.916004,0.8217022866010666,42853,0.009347672,1792.1789338588715,80.4,381.8374034227978,0.2281209,0.2281209
0.0,13,34.55074,814,23.910774,0.8176006227731705,43868,0.009552221,1818.9613580703735,79.075,381.2926472043109,0.17845611,0.17845611
0.0,12,34.860252,826,23.89905,0.8551059514284134,44845,0.009748298,1842.8212950229645,81.425,392.68615664888785,0.21912569,0.21912569
0.0,12,35.53899,838,23.895054,0.8829639256000519,45842,0.009631835,1865.8306641578674,82.825,400.2939507505645,0.2041075,0.2041075
0.0,12,35.687275,850,23.870079,0.9059051796793938,46912,0.010089939,1889.849997997284,84.25,408.05109457673495,0.22238553,0.22238553
