#{"t_start": 1521290868.8732035, "env_id": "Walker2d-v2"}
r,l,t
-2.423034,17,6.567258
-4.416977,9,6.578079
-0.481172,14,6.594174
-1.552542,16,6.612787
-1.385497,10,6.624139
1.950999,33,6.661573
0.206018,27,6.69151
-3.798178,15,6.708513
-2.525066,22,6.733353
2.307371,25,6.761949
12.183106,27,6.793074
-4.982277,19,6.815111
6.004903,15,6.832778
-1.36398,22,6.858066
6.442012,16,6.876612
-3.35805,11,6.889102
-0.056403,12,6.902941
-3.578557,9,6.913236
-7.870357,23,6.939924
-7.892486,14,6.956659
2.919931,16,6.975193
-4.691246,24,7.003119
2.064609,14,7.019353
-0.531042,10,7.031048
1.00913,28,7.063145
-4.094097,12,7.077308
-5.116947,14,7.093845
-4.05573,17,7.113135
-5.288283,21,7.137493
1.97063,14,7.154165
13.049277,38,7.197495
2.891878,15,7.215172
-2.168817,8,7.22475
-3.836179,16,7.243489
-0.278934,13,7.258754
-7.357353,15,7.276033
-3.731103,16,7.294301
-3.154122,12,7.308475
-6.865413,17,7.328381
-2.159345,8,7.3379
0.372636,22,7.36284
-9.292799,20,7.385816
3.453969,20,7.40869
-2.72178,14,7.424852
-7.952245,19,7.446294
6.328594,15,7.463517
0.052413,33,7.501018
-2.358208,17,7.520538
-0.725128,9,7.531158
-2.788394,14,7.547444
8.633061,26,7.577221
1.495895,16,7.595768
-5.752522,17,7.615627
3.016638,15,7.633124
-3.882047,25,7.662019
-8.127783,15,7.679107
0.400718,15,7.69655
-7.555378,17,7.715985
-2.317377,18,8.254996
11.138465,29,8.288233
-11.563352,16,8.306961
-1.180341,30,8.341271
1.539674,19,8.363196
6.699126,44,8.413087
3.836839,28,8.445179
-0.887858,21,8.469393
-1.279021,24,8.497224
2.705051,39,8.541392
0.475488,10,8.553115
-3.600077,18,8.573969
-3.78906,16,8.592331
-1.465396,14,8.608762
0.896978,28,8.641172
3.236033,17,8.661005
-0.061514,22,8.686302
-0.064297,16,8.704885
2.410926,15,8.722267
-0.902201,12,8.736543
2.47291,18,8.757027
-0.25322,13,8.772027
2.178825,29,8.804673
4.456421,20,8.827537
0.146668,10,8.839162
0.376312,21,8.862981
-3.8364,14,8.878526
-1.785733,19,8.8995
3.791255,19,8.921405
-3.508652,10,8.933403
2.065401,21,8.957344
5.242874,30,8.991673
-6.40061,23,9.017693
0.489933,10,9.02924
5.202915,17,9.04856
1.952638,14,9.064822
-1.851112,38,9.107533
0.046224,12,9.121559
2.103311,29,9.1545
1.507749,15,9.171715
-0.44114,17,9.191247
2.671775,36,9.231666
-1.610109,11,9.244567
3.159293,22,9.269731
-5.746943,13,9.284701
1.371015,12,9.298487
3.420922,18,9.31913
1.461291,24,9.346391
21.439648,43,9.395102
0.46285,24,9.586262
-12.158094,15,9.603636
5.688828,35,9.643676
12.498397,30,9.678206
4.410737,14,9.694289
-3.438824,24,9.721619
-2.391875,14,9.738078
13.17612,63,9.809079
-4.193279,23,9.835233
-2.478815,7,9.843684
5.516136,38,9.88644
2.533938,15,9.903883
9.128963,22,9.929063
-2.853821,10,9.940775
-6.844251,19,9.962456
-3.121516,11,9.975625
4.657642,32,10.010921
7.080555,31,10.045671
1.052723,17,10.065078
1.933663,14,10.081274
-2.790236,16,10.099951
-6.502567,20,10.122922
-4.083364,30,10.157338
0.784422,26,10.187109
-1.246398,12,10.201092
-9.203172,14,10.217275
-2.375773,33,10.254594
-2.136291,22,10.279791
-4.187422,10,10.291284
4.5116,33,10.328851
-7.976686,29,10.361684
-3.074256,31,10.396932
0.22235,15,10.414493
15.318276,43,10.463711
1.983333,12,10.477605
-7.174804,18,10.498504
-2.43982,8,10.508361
3.834755,23,10.53441
0.372452,15,10.551714
3.922123,15,10.569081
4.667416,35,10.608886
0.888295,23,10.635201
-5.21277,16,10.653754
8.428045,36,10.694887
-0.807298,14,10.71128
1.407282,14,10.727633
6.673301,37,11.035367
0.020067,16,11.053938
-6.410271,18,11.074789
4.081607,23,11.101671
23.216936,51,11.158047
-1.735786,26,11.188097
3.201996,15,11.205666
-3.211767,12,11.219623
-7.212395,46,11.271907
-3.045773,11,11.28513
-4.638808,12,11.299542
5.819767,31,11.33446
2.511112,16,11.35299
-9.584197,33,11.390261
-0.187124,32,11.42693
-2.2162,9,11.437525
0.125175,28,11.469697
13.730359,33,11.507325
-2.639078,30,11.541438
-5.929195,10,11.553069
1.206176,26,11.582267
-5.117686,18,11.603176
-4.165591,20,11.626045
-13.732721,16,11.644719
9.74118,50,11.701588
-2.294487,21,11.725587
-5.251769,27,11.756132
-1.308701,9,11.766738
2.47282,18,11.787092
-8.997257,10,11.798925
-5.41181,23,11.824895
-2.566619,12,11.838714
0.503753,11,11.851637
13.264876,39,11.89617
-2.570794,55,11.958307
5.363245,21,11.982675
-4.993809,38,12.025867
-5.514544,7,12.034653
2.879179,32,12.071329
-1.811511,22,12.096494
-1.521548,16,12.115051
5.483621,24,12.142227
-4.560289,27,12.17308
-3.536091,22,12.364141
1.736462,30,12.398526
-2.858423,17,12.418413
9.758068,33,12.455572
5.030817,34,12.494043
37.979548,64,12.565886
2.235786,18,12.586755
-1.909423,21,12.610886
5.947547,51,12.668282
-0.526426,14,12.684356
-7.049216,35,12.723977
-6.54955,39,12.767811
-6.956457,28,12.799999
3.144036,54,12.861447
-2.437775,41,12.908061
-5.252227,21,12.931891
-11.083468,47,12.984546
8.649766,41,13.030756
0.970017,23,13.056977
5.666921,35,13.096832
-2.675182,13,13.11218
-6.578213,18,13.132996
-8.610581,52,13.191945
1.432804,14,13.208456
5.407414,33,13.245702
-0.924411,14,13.261958
-12.37688,26,13.291279
-9.618237,19,13.313336
2.587428,43,13.361318
8.857158,37,13.402243
9.081894,38,13.4449
4.861207,17,13.464341
-7.786782,38,13.507523
-9.803904,23,13.696274
12.720194,65,13.76945
1.317533,12,13.78358
16.229779,48,13.837718
2.789739,40,13.882819
6.773315,30,13.917446
-3.393033,49,13.972931
-6.091225,23,13.999367
-2.089334,18,14.020159
-4.800859,30,14.054267
1.831562,72,14.135281
-5.500709,32,14.17171
1.316151,35,14.211754
8.236307,40,14.256969
2.411647,38,14.300262
0.469428,35,14.339926
-5.572637,26,14.369732
-2.30806,22,14.394941
-1.676242,33,14.432893
-3.043392,56,14.494983
-2.218455,30,14.52856
11.280356,54,14.58951
17.066399,32,14.625633
-1.409205,31,14.660913
6.328851,16,14.679366
-5.654221,15,14.696526
-4.273099,16,14.714933
-2.676889,25,14.743215
-8.085753,27,14.774144
16.168493,40,14.819947
9.284534,38,15.038623
10.878016,42,15.086424
-8.615909,43,15.13519
38.961579,85,15.230773
2.289079,84,15.325172
4.23964,39,15.369351
-20.429282,59,15.436409
-24.181292,98,15.547853
46.754297,70,15.625846
25.02214,100,15.738565
0.685765,18,15.759285
8.442058,30,15.793098
-0.199489,26,15.822635
-0.845111,55,15.884134
30.110018,96,15.992169
14.035855,46,16.044209
0.978923,15,16.061496
10.055553,25,16.090255
-8.011806,31,16.125834
12.820901,41,16.171963
10.42978,67,16.411958
-1.228801,14,16.428455
0.867178,25,16.457176
-22.540477,78,16.545123
6.50111,34,16.583845
19.59982,69,16.66136
