TimeElapsed,entloss,EpTrueRewMean,EpThisIter,EpLenMean,TimestepsSoFar,meankl,EpRewMean,ev_tdlam_before,EpisodesSoFar,entropy,optimgain,surrgain
1003.0770213603973,0.0,717.8758529054918,4,490.175,198019,0.0080483565,54.998375,0.7523136734962463,360,3.9025881,0.07102292,0.07102292
1008.2523548603058,0.0,731.9217499612378,1,503.625,198735,0.011603426,55.735695,-0.08517348766326904,361,3.911468,0.060695313,0.060695313
1013.4327878952026,0.0,738.332051213643,2,510.225,200020,0.010750944,54.89563,0.23448044061660767,363,3.9140685,0.076435715,0.076435715
1018.628826379776,0.0,733.0564734423864,2,508.3,200834,0.008814555,53.887085,-0.050042152404785156,365,3.9056072,0.058170013,0.058170013
1023.8137147426605,0.0,757.0470299321966,2,525.7,201926,0.008738939,54.47396,0.6217190623283386,367,3.9171062,0.07309662,0.07309662
1028.9796550273895,0.0,757.5759847672487,1,525.7,202926,0.009448789,53.615204,0.03170508146286011,368,3.9251328,0.0526101,0.0526101
1034.1423275470734,0.0,739.0134697278072,2,508.2,203706,0.0088969255,50.944946,0.772437572479248,370,3.9420242,0.0617586,0.0617586
1039.3172810077667,0.0,733.5649759817398,2,506.575,204848,0.009491787,49.327778,0.2955898642539978,372,3.9328294,0.08307482,0.08307482
1044.4803667068481,0.0,758.8970645470978,1,527.025,205848,0.009807795,50.52265,0.5055534541606903,373,3.9241884,0.057419978,0.057419978
1049.640795469284,0.0,774.8742292594812,1,542.35,206848,0.009001568,50.653873,-0.4341853857040405,374,3.9118578,0.06050273,0.06050273
1054.7972898483276,0.0,792.6898945284374,1,556.6,207848,0.009113056,51.327843,0.4600459337234497,375,3.906799,0.060373712,0.060373712
1060.3244533538818,0.0,780.1787274300722,3,555.9,208822,0.009687905,49.09046,0.3373603820800781,378,3.896789,0.06632741,0.06632741
1065.4970893859863,0.0,748.6238926524131,3,534.05,209573,0.011941679,45.742928,0.5647185444831848,381,3.8948,0.0712402,0.0712402
1070.6554808616638,0.0,752.1606026278214,1,540.35,210573,0.008987264,45.3588,0.009996294975280762,382,3.8873842,0.056321517,0.056321517
1075.8202302455902,0.0,768.7562423269362,1,547.625,211044,0.011270039,45.8539,0.8886838108301163,383,3.8917542,0.113127515,0.113127515
1080.9901843070984,0.0,798.9561130289803,2,573.675,212748,0.009014456,46.506454,0.21379685401916504,385,3.9102156,0.07607115,0.07607115
1086.1448545455933,0.0,801.3828760614045,2,570.4,213744,0.008857547,45.490143,0.8953268676996231,387,3.9111402,0.07620687,0.07620687
1091.3009984493256,0.0,825.4570295066902,1,588.6,214744,0.009226973,46.345814,-0.08562755584716797,388,3.9194872,0.06277418,0.06277418
1096.4584503173828,0.0,841.021425340364,1,602.025,215744,0.00892505,46.975563,0.01040637493133545,389,3.912232,0.054969646,0.054969646
1101.6055572032928,0.0,865.0293755474747,1,618.35,216601,0.009441756,47.919025,0.8192610442638397,390,3.9351563,0.086164474,0.086164474
1106.7582693099976,0.0,851.8046753080719,1,605.625,217092,0.008989846,46.38288,0.008168935775756836,391,3.92618,0.061958894,0.061958894
1111.920697927475,0.0,875.5686898006228,1,623.525,218092,0.011452072,47.216003,0.002379119396209717,392,3.908508,0.08395639,0.08395639
