meankl,entropy,surrgain,entloss,EpThisIter,EpisodesSoFar,TimeElapsed,optimgain,ev_tdlam_before,EpLenMean,EpRewMean,TimestepsSoFar
0.007853852,1.4189401,0.009562579,0.0,1,1,0.849992036819458,0.009562579,0.007080495357513428,999.0,-102.81907171000265,999
0.006518417,1.4189401,0.008124102,0.0,1,2,1.5368340015411377,0.008124102,-0.4666748046875,999.0,-99.98708526646422,1998
0.0069470587,1.4189401,0.008544682,0.0,1,3,2.198546886444092,0.008544682,-0.7721158266067505,999.0,-101.10486245303866,2997
0.00628966,1.4189401,0.010437097,0.0,1,4,2.9137661457061768,0.010437097,0.18367481231689453,999.0,-101.17808999063672,3996
0.0053303847,1.4189401,0.008790485,0.0,1,5,3.605881452560425,0.008790485,0.01588618755340576,954.6,-76.57185697944357,4773
0.0067520402,1.4189401,0.005753014,0.0,2,7,4.385370254516602,0.005753014,0.21853452920913696,821.0,-40.637813085783435,5747
0.008311703,1.4189401,0.015821205,0.0,2,9,5.087433815002441,0.015821205,0.17631542682647705,786.3333333333334,-26.27469264281282,7077
0.005643365,1.4189401,0.008498618,0.0,1,10,5.788536310195923,0.008498618,0.3182017207145691,777.8,-21.14909005970727,7778
0.007196356,1.4189401,0.014004384,0.0,2,12,6.489373683929443,0.014004384,0.429720938205719,748.4166666666666,-11.720651664342462,8981
0.0078086657,1.4189401,0.018439539,0.0,3,15,7.176016569137573,0.018439539,0.5405175983905792,669.3333333333334,2.3584717248998337,10040
0.0065204147,1.4189401,0.009159102,0.0,4,19,7.8712382316589355,0.009159102,0.6706772148609161,586.1578947368421,16.75539131539127,11137
0.0063662576,1.4189401,0.013176345,0.0,4,23,8.558122158050537,0.013176345,0.7832079976797104,527.6086956521739,26.398621239704088,12135
0.008553248,1.4189401,0.011275421,0.0,5,28,9.255367994308472,0.011275421,0.7536621689796448,473.60714285714283,34.06268719078521,13261
0.0055788346,1.4189401,0.008653802,0.0,4,32,9.932803630828857,0.008653802,0.8459505438804626,446.3125,37.91995621522275,14282
0.008052606,1.4189401,0.009649472,0.0,6,38,10.621719360351562,0.009649472,0.9186572432518005,403.9736842105263,42.855902480844996,15351
0.0045454297,1.4189401,0.006262535,0.0,5,43,11.30853009223938,0.006262535,0.8900211155414581,334.35,57.082954654826246,16371
