entropy,meankl,entloss,TimestepsSoFar,EpLenMean,surrgain,TimeElapsed,EpTrueRewMean,ev_tdlam_before,EpRewMean,EpThisIter,EpisodesSoFar,optimgain
2.5938625,0.004064043,0.0,2021054,726.1,0.06599876,7869.935011386871,2405.7518185661875,0.15403026342391968,252.07048,1,3210,0.06599876
2.5747569,0.013070687,0.0,2021857,740.725,0.13366382,7873.812913894653,2457.3844939053024,0.8334037512540817,257.43024,1,3211,0.13366382
2.5632844,0.011226749,0.0,2022857,748.6,0.09675299,7877.705648183823,2495.251785122711,0.3533989191055298,262.2329,1,3212,0.09675299
2.598269,0.01349008,0.0,2024291,734.45,0.12475293,7881.576780319214,2430.0530808076533,0.8315304815769196,261.7934,2,3214,0.12475293
2.5857754,0.012175415,0.0,2025291,735.9,0.1472629,7885.481301784515,2437.301937062335,0.4086762070655823,261.95853,1,3215,0.1472629
2.618986,0.013376063,0.0,2026749,739.575,0.1302624,7889.3764452934265,2450.922299371435,0.4528123140335083,262.40683,2,3217,0.1302624
2.6014926,0.012832155,0.0,2027749,759.325,0.13409218,7893.263787269592,2515.043671008401,-0.014039158821105957,269.84198,1,3218,0.13409218
2.5973213,0.0037709686,0.0,2029009,740.825,0.06602386,7897.178382396698,2452.204752739422,0.5449329018592834,261.81485,2,3220,0.06602386
2.6127617,0.014760258,0.0,2031009,763.275,0.12095624,7901.06379699707,2532.4163571441986,0.24788707494735718,272.31128,2,3222,0.12095624
2.6256196,0.004074169,0.0,2031486,769.0,0.08336735,7904.9655148983,2553.405713567199,0.7898731380701065,277.6132,1,3223,0.08336735
2.6278293,0.013586935,0.0,2033077,779.575,0.11395917,7908.845226049423,2578.017766529996,0.6355814337730408,282.70416,2,3225,0.11395917
2.5915134,0.012303455,0.0,2034077,779.575,0.10378216,7912.732289552689,2573.0292730108386,0.1947816014289856,279.44067,1,3226,0.10378216
2.571536,0.004307919,0.0,2035077,779.575,0.0638547,7916.637150764465,2576.5317992611235,0.08854633569717407,278.68848,1,3227,0.0638547
2.5678403,0.014840744,0.0,2036077,779.575,0.120018505,7920.515350341797,2577.99193019275,0.24461883306503296,279.63605,1,3228,0.120018505
2.547152,0.012434258,0.0,2037077,794.375,0.10408722,7924.407607316971,2631.1332857507978,0.33657073974609375,285.2276,1,3229,0.10408722
2.532431,0.013202166,0.0,2038030,790.75,0.11187478,7928.300704717636,2623.4890479843316,0.8316104114055634,285.45923,2,3231,0.11187478
2.5214236,0.0143744815,0.0,2039237,770.925,0.13396546,7932.198705911636,2552.803344314446,0.5918758511543274,277.23148,2,3233,0.13396546
2.5270293,0.011746664,0.0,2040237,793.125,0.10341544,7936.07602930069,2634.499971398129,0.35548627376556396,287.37042,1,3234,0.10341544
2.5183623,0.012231951,0.0,2041237,793.125,0.11868524,7939.966034650803,2629.318280295749,0.32794618606567383,287.70987,1,3235,0.11868524
2.5134857,0.01265005,0.0,2042237,793.125,0.10139762,7943.83677482605,2620.042476978712,0.2785632610321045,288.1392,1,3236,0.10139762
2.5150876,0.0038375873,0.0,2043764,803.45,0.0695213,7947.717429161072,2645.523630492451,0.7645250707864761,291.22958,2,3238,0.0695213
2.5057466,0.013151619,0.0,2044764,810.9,0.088797204,7951.598615884781,2658.2061440620164,0.06389099359512329,293.87564,1,3239,0.088797204
2.4806945,0.013000466,0.0,2045424,794.7,0.12528335,7955.467810630798,2587.5100657458693,0.8496867567300797,286.75058,2,3241,0.12528335
2.4926443,0.013558088,0.0,2047201,789.125,0.11957793,7959.343001365662,2542.359403194635,0.7475845515727997,284.64447,2,3243,0.11957793
2.5037513,0.014079081,0.0,2048128,787.3,0.13568324,7963.22417807579,2532.428414590312,0.8776078000664711,284.54398,1,3244,0.13568324
2.4910586,0.01305401,0.0,2049128,787.3,0.10080162,7967.116776227951,2524.8226390095892,0.11953467130661011,284.00766,1,3245,0.10080162
2.4724326,0.013766789,0.0,2050128,791.125,0.11469875,7971.440873146057,2542.4029131271927,0.17215168476104736,286.40176,1,3246,0.11469875
2.4809692,0.012979362,0.0,2050876,797.15,0.1521509,7975.315031528473,2553.6847219044125,0.914131335914135,292.42566,1,3247,0.1521509
2.4401548,0.014504717,0.0,2051774,812.475,0.12423521,7979.192936897278,2602.0427992130217,0.9131865799427032,299.1518,1,3248,0.12423521
2.4278262,0.003902174,0.0,2052671,790.425,0.06466575,7983.070062637329,2528.4488950432815,0.6835744678974152,289.53986,2,3250,0.06466575
2.4475706,0.013211364,0.0,2053671,795.35,0.10241516,7986.941325902939,2544.7692816171366,0.25599825382232666,290.40704,1,3251,0.10241516
2.4688137,0.0138472095,0.0,2054262,785.125,0.1384986,7990.80766749382,2495.541102001832,0.5937578976154327,284.28745,1,3252,0.1384986
2.4595673,0.012590561,0.0,2055513,755.55,0.12789948,7994.681500673294,2395.3184912285033,0.8021595180034637,267.81915,3,3255,0.12789948
2.461965,0.0037988082,0.0,2056363,751.8,0.07025386,7998.558200836182,2384.256295445636,0.8576606959104538,266.7741,1,3256,0.07025386
2.4735441,0.014604838,0.0,2057363,765.35,0.10865547,8002.429230451584,2424.3044885631484,0.4580610990524292,275.0171,1,3257,0.10865547
2.4576108,0.012195181,0.0,2058313,764.1,0.12666933,8006.297530889511,2421.3183668495058,0.7981466054916382,277.21707,1,3258,0.12666933
2.4488015,0.012992202,0.0,2059283,763.35,0.12251208,8010.164913415909,2414.6384492973293,0.8790005147457123,280.13788,1,3259,0.12251208
2.442127,0.014894351,0.0,2060283,781.85,0.09236086,8014.033408403397,2472.2351137223427,0.5745797753334045,287.76187,1,3260,0.09236086
2.4292605,0.0121085085,0.0,2061419,760.25,0.11695954,8017.907788515091,2408.814658201868,0.8649567812681198,273.29938,2,3262,0.11695954
2.4464324,0.012419609,0.0,2062419,773.325,0.09532145,8021.780208110809,2465.1893121401095,0.4436250925064087,275.60156,1,3263,0.09532145
2.438443,0.0120885465,0.0,2063419,780.525,0.10028396,8025.6583688259125,2496.8889946153286,0.38381433486938477,275.16205,1,3264,0.10028396
2.424459,0.013348678,0.0,2064006,773.225,0.1144246,8029.5333042144775,2470.6386919756815,0.8151890337467194,271.4668,1,3265,0.1144246
2.426974,0.011836406,0.0,2065006,773.225,0.08982086,8033.404419660568,2474.0791493548704,0.33079856634140015,269.47824,1,3266,0.08982086
2.4350772,0.0114717055,0.0,2066006,773.225,0.10240656,8037.272056102753,2475.6318197352803,0.5241906642913818,269.18106,1,3267,0.10240656
