#{"t_start": 1521290832.9156518, "env_id": "Walker2d-v2"}
r,l,t
-2.423034,17,6.438076
-4.416977,9,6.449794
-0.481172,14,6.467366
-1.552542,16,6.486761
-1.385497,10,6.498617
1.950999,33,6.537482
0.206018,27,6.570125
-3.798178,15,6.588491
-2.525066,22,6.614294
2.307371,25,6.643531
12.183106,27,6.675118
-4.982277,19,6.69746
6.004903,15,6.71534
-1.36398,22,6.74086
6.442012,16,6.759787
-3.35805,11,6.772717
-0.056403,12,6.786476
-3.578557,9,6.796907
-7.870357,23,6.823561
-7.892486,14,6.840066
2.919931,16,6.858509
-4.691246,24,6.886812
2.064609,14,6.903203
-0.531042,10,6.915081
1.00913,28,6.947555
-4.094097,12,6.958612
-5.116947,14,6.97039
-4.05573,17,6.984128
-5.288283,21,7.001361
1.97063,14,7.01301
13.049277,38,7.04327
2.891878,15,7.055731
-2.168817,8,7.06252
-3.836179,16,7.075603
-0.278934,13,7.086332
-7.357353,15,7.098444
-3.731103,16,7.112718
-3.154122,12,7.123143
-6.865413,17,7.137002
-2.159345,8,7.143659
0.372636,22,7.161649
-9.292799,20,7.177782
3.453969,20,7.193807
-2.72178,14,7.206297
-7.952245,19,7.222119
6.328594,15,7.234382
0.052413,33,7.261652
-2.358208,17,7.277854
-0.725128,9,7.288637
-2.788394,14,7.305153
8.633061,26,7.335351
1.495895,16,7.354257
-5.752522,17,7.374636
3.016638,15,7.392537
-3.882047,25,7.421965
-8.127783,15,7.439424
0.400718,15,7.457047
-7.555378,17,7.476995
-2.317377,18,8.020423
11.138465,29,8.05371
-11.563352,16,8.072639
-1.180341,30,8.107219
1.539674,19,8.129305
6.699126,44,8.179284
3.836839,28,8.211395
-0.887858,21,8.235567
-1.279021,24,8.263453
2.705051,39,8.307892
0.475488,10,8.319746
-3.600077,18,8.341022
-3.78906,16,8.359495
-1.465396,14,8.375892
0.896978,28,8.407809
3.236033,17,8.427472
-0.061514,22,8.452762
-0.064297,16,8.471402
2.410926,15,8.488714
-0.902201,12,8.503104
2.47291,18,8.523676
-0.25322,13,8.538928
2.178825,29,8.572032
4.456421,20,8.595343
0.146668,10,8.607091
0.376312,21,8.631235
-3.8364,14,8.64742
-1.785733,19,8.669299
3.791255,19,8.691601
-3.508652,10,8.703739
2.065401,21,8.727998
5.242874,30,8.762609
-6.40061,23,8.789112
0.489933,10,8.800775
5.202915,17,8.820508
1.952638,14,8.837137
-1.851112,38,8.880395
0.046224,12,8.894404
2.103311,29,8.917649
1.507749,15,8.929825
-0.44114,17,8.944067
2.671775,36,8.972279
-1.610109,11,8.981436
3.159293,22,8.999464
-5.746943,13,9.0099
1.371015,12,9.019594
3.420922,18,9.037615
1.461291,24,9.064827
21.439648,43,9.113798
0.46285,24,9.306144
-12.158094,15,9.323574
5.688828,35,9.36405
12.498397,30,9.395142
4.410737,14,9.40645
-3.438824,24,9.432252
-2.391875,14,9.44881
13.17612,63,9.520001
-4.193279,23,9.54634
-2.478815,7,9.554695
5.516136,38,9.596596
2.533938,15,9.613791
9.128963,22,9.639031
-2.853821,10,9.650912
-6.844251,19,9.672739
-3.121516,11,9.685792
4.657642,32,9.720176
7.080555,31,9.744573
1.052723,17,9.758603
1.933663,14,9.774692
-2.790236,16,9.793314
-6.502567,20,9.816318
-4.083364,30,9.850774
0.784422,26,9.880743
-1.246398,12,9.894779
-9.203172,14,9.910995
-2.375773,33,9.948525
-2.136291,22,9.973912
-4.187422,10,9.985462
4.5116,33,10.020842
-7.976686,29,10.044431
-3.074256,31,10.069499
0.22235,15,10.081766
15.318276,43,10.116271
1.983333,12,10.128373
-7.174804,18,10.143004
-2.43982,8,10.149678
3.834755,23,10.167473
0.372452,15,10.179258
3.922123,15,10.191151
4.667416,35,10.218661
0.888295,23,10.236728
-5.21277,16,10.24947
8.428045,36,10.277396
-0.807298,14,10.288672
1.407282,14,10.299844
6.673301,37,10.55038
0.020067,16,10.569086
-6.410271,18,10.59024
4.081607,23,10.616907
23.216936,51,10.67394
-1.735786,26,10.704081
3.201996,15,10.721504
-3.211767,12,10.735697
-7.212395,46,10.788277
-3.045773,11,10.801549
-4.638808,12,10.816002
5.819767,31,10.850895
2.511112,16,10.869491
-9.584197,33,10.906858
-0.187124,32,10.943945
-2.2162,9,10.954591
0.125175,28,10.986754
13.730359,33,11.024499
-2.639078,30,11.058428
-5.929195,10,11.070008
1.206176,26,11.099472
-5.117686,18,11.120307
-4.165591,20,11.143063
-13.732721,16,11.162141
9.74118,50,11.219146
-2.294487,21,11.242852
-5.251769,27,11.273725
-1.308701,9,11.284285
2.47282,18,11.304015
-8.997257,10,11.312327
-5.41181,23,11.330308
-2.566619,12,11.340462
0.503753,11,11.349273
13.264876,39,11.379749
-2.570794,55,11.422913
5.363245,21,11.446017
-4.993809,38,11.488781
-5.514544,7,11.497518
2.879179,32,11.534153
-1.811511,22,11.559419
-1.521548,16,11.578066
5.483621,24,11.605434
-4.560289,27,11.636409
-3.545577,22,11.824022
2.104915,30,11.858389
-2.830616,17,11.87872
11.195829,34,11.917502
4.550927,31,11.953473
65.861811,74,12.037989
-0.611422,16,12.057075
22.424418,41,12.10374
1.162871,34,12.142194
-6.800988,36,12.183966
-0.026416,51,12.242295
-8.78694,20,12.265723
2.506917,54,12.327868
-8.581023,50,12.384822
-4.364564,31,12.420404
-8.878284,46,12.472352
0.443105,11,12.485584
-2.084158,24,12.513089
0.130395,54,12.574189
-7.193501,19,12.595875
5.576488,21,12.618081
-4.398188,37,12.655804
2.384854,15,12.676694
10.529924,34,12.71563
-1.631177,11,12.728398
-11.185081,25,12.756768
-9.317158,19,12.778821
3.132571,43,12.827747
