EpThisIter,EpisodesSoFar,optimgain,TimeElapsed,EpTrueRewMean,meankl,EpLenMean,entropy,TimestepsSoFar,surrgain,EpRewMean,ev_tdlam_before,entloss
2,3400,0.1250567,5994.988382101059,2492.237797794248,0.014198489,802.275,1.0864714,1504030,0.1250567,95.57973,0.8802968114614487,0.0
1,3401,0.10574896,5998.991739749908,2531.8741526839462,0.012187429,812.575,1.077498,1505030,0.10574896,96.19062,0.40164291858673096,0.0
2,3403,0.11090085,6002.990078926086,2529.9309077953735,0.013092153,797.7,1.0543284,1506206,0.11090085,95.89027,0.6307870149612427,0.0
1,3404,0.08923366,6007.00194478035,2527.83110920244,0.0108734155,797.7,1.0484768,1507206,0.08923366,94.67772,0.33050107955932617,0.0
1,3405,0.103059724,6011.008043527603,2526.5545665640066,0.012267603,797.7,1.0591679,1508206,0.103059724,94.146324,0.2902832627296448,0.0
1,3406,0.120863825,6015.011791944504,2495.972731060171,0.013025278,791.275,1.059738,1508949,0.120863825,92.8454,0.7614544630050659,0.0
1,3407,0.1329659,6018.998819112778,2548.010190440651,0.0126403505,802.275,1.0510558,1509670,0.1329659,94.37525,0.8443172127008438,0.0
1,3408,0.094179764,6022.989246606827,2574.38795255001,0.012161295,802.275,1.0247499,1510670,0.094179764,94.297585,0.371746301651001,0.0
2,3410,0.111814484,6027.013096570969,2610.2440957367567,0.01471558,800.425,1.0191119,1511700,0.111814484,94.380936,0.3759719729423523,0.0
1,3411,0.09250145,6031.041246652603,2689.1467210858145,0.011655784,800.425,1.0287228,1512700,0.09250145,96.1197,0.44544535875320435,0.0
2,3413,0.056519505,6035.059053182602,2660.7875880140637,0.0037531191,792.125,1.043526,1513731,0.056519505,93.4328,0.1892511248588562,0.0
1,3414,0.111086845,6039.061608552933,2660.2127850618263,0.012558934,795.225,1.054626,1514595,0.111086845,92.996704,0.8435727506875992,0.0
1,3415,0.10596566,6043.07147860527,2651.728848303066,0.013186976,795.225,1.0354365,1515595,0.10596566,91.278465,0.7886453121900558,0.0
1,3416,0.09432543,6047.070705652237,2647.6512259231104,0.012679648,795.225,1.0473007,1516595,0.09432543,90.18814,0.10694491863250732,0.0
1,3417,0.089832604,6051.4682767391205,2683.061298975299,0.011985117,795.225,1.0392594,1517595,0.089832604,91.74082,0.3111920952796936,0.0
1,3418,0.12497987,6055.477952003479,2700.7814015819044,0.01367844,795.825,1.0362937,1518595,0.12497987,91.94417,0.237842857837677,0.0
1,3419,0.051611632,6059.498026371002,2688.8457411364993,0.0038984194,795.825,1.0488296,1519595,0.051611632,90.97449,0.11251217126846313,0.0
2,3421,0.121407226,6063.5060205459595,2699.3783669651248,0.013519192,816.8,1.0565419,1521427,0.121407226,92.04469,0.5450600683689117,0.0
1,3422,0.07504347,6067.505042791367,2730.8473009597838,0.011161015,816.8,1.0618191,1522427,0.07504347,92.778946,-0.01247262954711914,0.0
1,3423,0.08545866,6071.494658231735,2742.930613897427,0.012069232,816.8,1.0691224,1523427,0.08545866,93.46712,0.09256255626678467,0.0
1,3424,0.1165774,6075.488604784012,2726.8867447312937,0.012053756,809.7,1.0618283,1524143,0.1165774,93.11603,0.7790788412094116,0.0
1,3425,0.09200506,6079.47846031189,2824.8027744658616,0.011576112,831.4,1.0766912,1525143,0.09200506,96.753525,0.1632063388824463,0.0
1,3426,0.08185908,6083.466286659241,2824.1565142573195,0.011531959,832.4,1.0834099,1526143,0.08185908,96.79582,0.10096216201782227,0.0
1,3427,0.10415465,6087.462892770767,2812.733510601322,0.013446082,832.4,1.0851982,1527143,0.10415465,96.07137,-0.031330108642578125,0.0
1,3428,0.11228801,6091.454786300659,2824.5718183857634,0.01399032,832.4,1.1050869,1528143,0.11228801,96.090004,0.1269884705543518,0.0
4,3432,0.12238604,6095.435183763504,2783.0249730281753,0.0132407015,818.475,1.0885218,1529878,0.12238604,95.14193,0.7530798614025116,0.0
5,3437,0.06410906,6099.437383413315,2471.5430471369923,0.0044554425,738.575,1.08796,1531154,0.06410906,85.28491,0.7173314094543457,0.0
1,3438,0.09660038,6103.404787778854,2466.9954606490132,0.011431385,738.575,1.0849757,1532154,0.09660038,85.736984,0.17568838596343994,0.0
1,3439,0.09075518,6107.4151384830475,2518.7370832348206,0.011093147,748.775,1.0809532,1533154,0.09075518,87.46867,0.37092387676239014,0.0
1,3440,0.09581411,6111.413101434708,2541.5640039068776,0.013746916,753.1,1.0670099,1534154,0.09581411,88.832,0.11877542734146118,0.0
1,3441,0.1455012,6115.424813508987,2526.672480781177,0.013977952,742.825,1.0655046,1534743,0.1455012,88.43197,0.7247229218482971,0.0
1,3442,0.10358315,6119.431365966797,2526.3920076363447,0.013013793,742.825,1.0699311,1535743,0.10358315,88.50722,0.28134965896606445,0.0
1,3443,0.09694647,6123.429738998413,2615.2498149885114,0.014201611,763.425,1.0621186,1536743,0.09694647,90.56719,0.32074058055877686,0.0
1,3444,0.105867654,6127.43124461174,2583.089510953626,0.013375808,754.325,1.0426499,1537379,0.105867654,89.99016,0.852894127368927,0.0
1,3445,0.09457815,6131.435119867325,2507.755139654784,0.011213322,754.325,1.0362226,1538379,0.09457815,88.31636,0.07469004392623901,0.0
1,3446,0.083492085,6135.434299945831,2534.667038286597,0.0137238195,760.75,1.0293293,1539379,0.083492085,89.46006,0.04095602035522461,0.0
1,3447,0.11777887,6139.4276394844055,2561.9690878433858,0.013409998,767.725,1.0349675,1540379,0.11777887,91.09978,0.0007833242416381836,0.0
1,3448,0.120793596,6143.416210174561,2476.2767284974625,0.01336902,747.45,1.0276932,1540568,0.120793596,88.832466,0.751793310046196,0.0
2,3450,0.10787271,6147.4171822071075,2454.192698965346,0.012321699,743.075,1.0438482,1541423,0.10787271,88.218315,0.7677326798439026,0.0
1,3451,0.1003184,6151.403498649597,2457.447952389648,0.012080813,743.075,1.0403384,1542423,0.1003184,89.052414,0.2595892548561096,0.0
1,3452,0.097756684,6155.398174285889,2421.0549158221766,0.011483891,731.25,1.0371858,1542950,0.097756684,88.01595,0.7338414788246155,0.0
3,3455,0.06665457,6159.401002407074,2388.8925777984637,0.0041662306,716.125,1.0358886,1544240,0.06665457,87.2019,0.6150111854076385,0.0
1,3456,0.09395704,6163.39581155777,2392.5050282541683,0.014151432,715.3,1.0398726,1545207,0.09395704,86.51012,0.8508524745702744,0.0
1,3457,0.076403,6167.393857955933,2382.135821374617,0.012717632,715.3,1.0262893,1546207,0.076403,85.405785,0.07393062114715576,0.0
1,3458,0.12759174,6171.384727478027,2378.272890327279,0.012670075,715.3,1.034188,1547207,0.12759174,84.99051,0.8551180511713028,0.0
1,3459,0.11031889,6175.377930164337,2400.5579653686386,0.01335769,715.3,1.0376436,1548207,0.11031889,84.87494,0.3289099931716919,0.0
1,3460,0.087302014,6179.38023352623,2424.2666395480037,0.014689022,715.3,1.0335845,1549207,0.087302014,84.26113,0.1578255295753479,0.0
1,3461,0.111932576,6183.373732328415,2453.408893409664,0.0136650335,707.7,1.04641,1549735,0.111932576,84.81551,0.8827334269881248,0.0
1,3462,0.1347425,6187.374855518341,2418.8212205496698,0.013836569,698.575,1.018652,1550370,0.1347425,83.043144,0.7349110841751099,0.0
2,3464,0.111105524,6191.382235050201,2362.3974005916098,0.014725106,696.05,1.028824,1551985,0.111105524,80.16847,0.6964654922485352,0.0
1,3465,0.11672062,6195.38290643692,2319.371594277097,0.013363192,685.8,1.0459497,1552575,0.11672062,77.77496,0.6744322180747986,0.0
1,3466,0.091101825,6199.3928990364075,2347.427013688227,0.012531265,685.8,1.0364155,1553575,0.091101825,78.35393,0.010275006294250488,0.0
1,3467,0.11071752,6203.402783155441,2333.650477108854,0.013341541,685.8,1.0377485,1554575,0.11071752,77.100815,0.6223019659519196,0.0
1,3468,0.112972334,6207.399930000305,2316.4434529488253,0.013208965,685.8,1.0467753,1555575,0.112972334,76.79311,-0.00992119312286377,0.0
3,3471,0.06827348,6211.4050552845,2301.7807091120185,0.0048480504,687.45,1.0541705,1557098,0.06827348,75.770065,0.7398361563682556,0.0
2,3473,0.14370862,6215.410359859467,2318.2377781239543,0.014205894,695.25,1.0595025,1558405,0.14370862,77.13335,0.8601858019828796,0.0
1,3474,0.09254146,6219.412552118301,2373.2877510086532,0.014654677,715.825,1.0596107,1559405,0.09254146,79.22294,0.3679842948913574,0.0
2,3476,0.06128122,6223.408890962601,2451.339034403304,0.003966134,735.05,1.0738583,1560525,0.06128122,82.54785,0.7511278837919235,0.0
2,3478,0.098298736,6227.4043481349945,2415.8866699341215,0.011806699,726.8,1.0718215,1561226,0.098298736,82.29309,0.8766535222530365,0.0
2,3480,0.06415013,6231.3975076675415,2312.84270617937,0.004714858,703.9,1.0752815,1562310,0.06415013,79.26473,0.8169254809617996,0.0
1,3481,0.09517382,6235.398350715637,2361.824535587554,0.011601562,714.175,1.0793248,1563310,0.09517382,82.20111,-0.051598548889160156,0.0
2,3483,0.12051955,6239.409351348877,2189.674056575349,0.012008848,688.825,1.0677812,1564296,0.12051955,78.99574,0.61982262134552,0.0
1,3484,0.08550804,6243.412075519562,2187.629228529645,0.01364695,697.925,1.0743426,1565296,0.08550804,80.359215,0.1355818510055542,0.0
1,3485,0.0782198,6247.401669025421,2263.3499311854357,0.01132964,697.925,1.058573,1566296,0.0782198,82.34755,0.06267791986465454,0.0
1,3486,0.09004487,6251.394426107407,2267.7735156269605,0.012012449,697.925,1.0492307,1567296,0.09004487,82.34557,0.4319646954536438,0.0
1,3487,0.10786809,6255.396329164505,2270.243268707151,0.012551886,697.925,1.0516356,1568296,0.10786809,81.448265,0.5289447009563446,0.0
2,3489,0.12199513,6259.389515638351,2357.046593053983,0.01448486,720.825,1.0388253,1570012,0.12199513,84.6405,0.7017639577388763,0.0
1,3490,0.093577474,6263.396920681,2437.6949654743503,0.011843854,739.725,1.0418719,1571012,0.093577474,87.06523,0.33338242769241333,0.0
1,3491,0.11840274,6267.391031742096,2404.7638675158037,0.012728389,737.3,1.0453101,1571915,0.11840274,85.813965,0.8337655961513519,0.0
1,3492,0.12932166,6271.3835709095,2407.5719705671627,0.01307808,736.875,1.0347054,1572425,0.12932166,85.73309,0.8998068794608116,0.0
1,3493,0.084509864,6275.381373167038,2404.083856629451,0.011640195,736.875,1.0228406,1573425,0.084509864,85.84238,0.2000318169593811,0.0
1,3494,0.09669653,6279.379426240921,2437.240744275669,0.010239949,746.65,1.0232563,1573955,0.09669653,86.925865,0.8189236521720886,0.0
