meankl,EpTrueRewMean,EpLenMean,TimestepsSoFar,ev_tdlam_before,EpThisIter,optimgain,TimeElapsed,EpRewMean,entloss,surrgain,EpisodesSoFar,entropy
0.0072452305,109.94105514424987,23.425,1009,0.5815555453300476,43,0.13815665,5.135066032409668,18.47173,0.0,0.13815665,43,24.14484
0.0066996487,109.31177380411847,23.35,2025,0.49221330881118774,44,0.18513586,9.919681310653687,18.169231,0.0,0.18513586,87,24.171873
0.0069462815,134.60498279233857,28.8,3069,0.5057143270969391,37,0.1871858,14.288901567459106,22.212227,0.0,0.1871858,124,24.18011
0.0069859764,132.34263007962446,28.325,4089,0.6350209712982178,36,0.1909016,19.373215436935425,21.932722,0.0,0.1909016,160,24.121807
0.0069658263,149.50005776914824,31.5,5120,0.5308805108070374,33,0.15744936,23.816315174102783,23.819654,0.0,0.15744936,193,24.143616
0.0076059406,153.9066258788388,32.025,6172,0.6717785894870758,33,0.1435718,28.320473194122314,23.840946,0.0,0.1435718,226,24.138004
0.007277647,165.12474924899166,35.0,7173,0.7472678422927856,28,0.14829296,32.71355080604553,26.130682,0.0,0.14829296,254,24.13786
0.007052432,193.24652916674498,41.0,8188,0.7152430415153503,23,0.17418325,37.117234230041504,30.521582,0.0,0.17418325,277,24.144268
0.0071099764,223.2746707221625,46.475,9215,0.7789106965065002,21,0.15528081,41.55034899711609,33.2573,0.0,0.15528081,298,24.121643
0.007603866,234.2222261666012,49.5,10246,0.6886348128318787,21,0.1754597,45.97005534172058,34.568382,0.0,0.1754597,319,24.084944
0.0075378995,217.173225184479,46.525,11278,0.7514318078756332,23,0.16796827,50.39595985412598,32.325806,0.0,0.16796827,342,24.066975
0.0072545107,228.42305800316723,48.05,12369,0.7925704419612885,22,0.16501042,54.8323712348938,31.824,0.0,0.16501042,364,24.071539
0.0076273503,250.9326484809282,52.35,13372,0.6491403877735138,18,0.18882087,59.327616691589355,33.23533,0.0,0.18882087,382,24.059505
0.007412184,245.06138369307882,51.45,14340,0.7701149731874466,20,0.16114295,63.780744791030884,31.178131,0.0,0.16114295,402,24.052713
0.00782949,247.0601184211332,52.05,15388,0.7594124972820282,19,0.19188923,68.25910329818726,30.877026,0.0,0.19188923,421,24.044756
