entropy,meankl,surrgain,EpLenMean,EpRewMean,ev_tdlam_before,entloss,EpisodesSoFar,TimestepsSoFar,optimgain,TimeElapsed,EpThisIter
1.4189401,0.008179583,0.0047163363,999.0,-98.93007328456424,9.179115295410156e-05,0.0,1,999,0.0047163363,0.8821053504943848,1
1.4189401,0.008672954,0.008002361,999.0,-101.12839514452864,-0.28325462341308594,0.0,2,1998,0.008002361,1.582888126373291,1
1.4189401,0.00837601,0.010155562,606.6,-2.8037532830516225,0.03896397352218628,0.0,5,3033,0.010155562,2.274447202682495,3
1.4189401,0.005455896,0.0073998636,552.7142857142857,12.979495502783795,0.18382227420806885,0.0,7,3869,0.0073998636,2.9627115726470947,2
1.4189401,0.008823721,0.014179457,460.45454545454544,31.282989976086416,0.26541680097579956,0.0,11,5065,0.014179457,3.6486477851867676,4
1.4189401,0.005987227,0.012793323,382.9375,44.39705639944698,0.32085317373275757,0.0,16,6127,0.012793323,4.434207916259766,5
1.4189401,0.0049809944,0.009514047,372.7894736842105,46.99720320499713,0.5145998299121857,0.0,19,7083,0.009514047,5.120520353317261,3
1.4189401,0.007260044,0.010859963,356.0869565217391,50.212219150371844,0.5897700786590576,0.0,23,8190,0.010859963,5.808708667755127,4
1.4189401,0.004307459,0.008896915,335.4074074074074,53.09315741050072,0.70057812333107,0.0,27,9056,0.008896915,6.490168333053589,4
1.4189401,0.008141137,0.008734242,309.5151515151515,56.816727182546515,0.7908706218004227,0.0,33,10214,0.008734242,7.193659543991089,6
1.4189401,0.008209552,0.009837094,309.3333333333333,57.27932513118343,0.7557818442583084,0.0,36,11136,0.009837094,7.869623422622681,3
1.4189401,0.004006869,0.00622851,278.9,62.76095825152704,0.8328478634357452,0.0,41,12155,0.00622851,8.541232824325562,5
1.4189401,0.004354176,0.00629839,244.925,67.6320969685296,0.876276969909668,0.0,46,13233,0.00629839,9.250724792480469,5
1.4189401,0.00761995,0.022163142,231.675,68.82758657930567,0.8710451722145081,0.0,50,14069,0.022163142,9.954946756362915,4
1.4189401,0.0045185518,0.009271376,228.5,68.09525407849758,0.9318948313593864,0.0,56,15267,0.009271376,10.648366451263428,6
1.4189401,0.005069134,0.010204954,211.85,69.6565133744998,0.8850863575935364,0.0,61,16204,0.010204954,11.31782579421997,5
1.4189401,0.007382828,0.012274755,209.3,69.32904415697321,0.8977315872907639,0.0,66,17250,0.012274755,12.025684595108032,5
