entloss,EpTrueRewMean,surrgain,EpRewMean,EpThisIter,TimestepsSoFar,TimeElapsed,optimgain,ev_tdlam_before,meankl,entropy,EpLenMean,EpisodesSoFar
0.0,1505.1766499987505,0.09061664,60.990093,1,501740,2593.1069509983063,0.09061664,0.9448974803090096,0.012188701,1.6207126,434.15,1297
0.0,1506.3176629536026,0.06734317,61.3724,3,503054,2598.4550852775574,0.06734317,0.8532944172620773,0.012043629,1.6090286,433.875,1300
0.0,1541.8707888472893,0.079923786,63.12594,3,504444,2603.814784049988,0.079923786,0.9705449398607016,0.01159834,1.6335863,443.05,1303
0.0,1540.847839890291,0.06534253,63.255383,2,505382,2609.162964105606,0.06534253,0.9487034045159817,0.012452133,1.6158644,442.1,1305
0.0,1532.2404737563218,0.07507928,63.134266,3,506282,2614.5176060199738,0.07507928,0.9716765992343426,0.011726167,1.6200292,439.125,1308
0.0,1538.263979702496,0.06680556,63.421406,3,507414,2619.8749186992645,0.06680556,0.828058272600174,0.014444947,1.6020472,441.4,1311
0.0,1574.3868967236829,0.07818565,64.78136,3,508902,2625.230380296707,0.07818565,0.9800238069146872,0.011626903,1.5848542,452.75,1314
0.0,1620.5951162790964,0.07064286,66.65066,1,509902,2630.5749740600586,0.07064286,0.4243425130844116,0.011276419,1.5747412,466.525,1315
0.0,1654.64235178686,0.06757179,68.10067,4,511736,2635.9303238391876,0.06757179,0.7403600215911865,0.011920406,1.556441,476.475,1319
0.0,1694.369777127277,0.07825733,70.38296,3,513253,2641.2787063121796,0.07825733,0.9707880783826113,0.011797271,1.5632467,485.55,1322
0.0,1650.999080789784,0.07781051,69.09307,2,513994,2646.6177661418915,0.07781051,0.9770200066268444,0.0113290185,1.5674331,473.5,1324
0.0,1671.9844382690633,0.0772991,70.41822,2,514961,2651.971564054489,0.0772991,0.9824403114616871,0.01272398,1.5587616,479.175,1326
0.0,1704.69274640047,0.0677169,72.28181,2,516192,2657.3351304531097,0.0677169,0.9781756941229105,0.011554437,1.5123243,487.875,1328
0.0,1713.0181798874692,0.0760279,72.91206,1,516726,2662.696600675583,0.0760279,0.9105455875396729,0.010861226,1.5043678,490.475,1329
0.0,1774.6880205972873,0.05340973,74.97084,1,517726,2668.04514169693,0.05340973,-0.19580566883087158,0.011501958,1.4945477,508.75,1330
0.0,1671.0933119271715,0.06675795,72.00493,4,518812,2673.4008989334106,0.06675795,0.9336572885513306,0.01337277,1.479904,479.6,1334
0.0,1669.5914135862652,0.081293456,71.86963,2,520090,2678.747674226761,0.081293456,0.9760494325309992,0.01212183,1.4777995,480.925,1336
0.0,1632.5811171049222,0.06749265,70.951126,2,521374,2684.0979130268097,0.06749265,0.9845751449465752,0.011097614,1.4322155,470.075,1338
