TimeElapsed,EpTrueRewMean,entropy,ev_tdlam_before,EpThisIter,entloss,TimestepsSoFar,optimgain,EpLenMean,EpRewMean,meankl,surrgain,EpisodesSoFar
3607.002602815628,1586.6695804807284,0.3276142,0.9212027043104172,3,0.0,810774,0.0873138,515.05,50.02323,0.010745359,0.0873138,1759
3611.0701911449432,1549.1300451692587,0.3331885,0.9438381791114807,2,0.0,811452,0.0936529,502.225,49.11078,0.010148453,0.0936529,1761
3615.378783941269,1534.3940328785043,0.34091946,0.9208225011825562,2,0.0,812450,0.08546807,494.9,48.683052,0.011174977,0.08546807,1763
3620.4590351581573,1524.3552720560047,0.333511,0.935486301779747,1,0.0,812647,0.066344194,491.475,48.581062,0.01079604,0.066344194,1764
3624.7844927310944,1543.3721275684456,0.3272361,0.4820903539657593,1,0.0,813647,0.06420122,496.525,48.90086,0.010957193,0.06420122,1765
3628.958702802658,1506.2377914145218,0.3354,0.9645956978201866,2,0.0,814411,0.07843238,483.125,47.755093,0.011700758,0.07843238,1767
3633.287832736969,1476.7694282877096,0.33229417,0.974981963634491,2,0.0,815576,0.0797777,472.625,47.204662,0.012524206,0.0797777,1769
3637.8486495018005,1530.949918709428,0.3268398,0.28539973497390747,1,0.0,816576,0.059664197,491.975,48.456223,0.01048461,0.059664197,1770
3642.4853167533875,1547.16035857932,0.31845486,0.7038895785808563,2,0.0,817815,0.050770923,494.875,49.33703,0.011572295,0.050770923,1772
3646.941108226776,1604.743486407601,0.30174023,0.5780299007892609,2,0.0,819067,0.052920487,514.9,50.714394,0.01062927,0.052920487,1774
3651.4406394958496,1531.0795560619142,0.30964422,0.9824019782245159,4,0.0,820123,0.07083095,485.675,49.328827,0.011698448,0.07083095,1778
3655.9948489665985,1556.879153737045,0.28730902,0.9750386234372854,1,0.0,820798,0.07623573,493.225,50.17327,0.011853848,0.07623573,1779
3661.0993127822876,1610.8883930765992,0.2721616,0.8016292452812195,1,0.0,821798,0.06939143,510.275,51.721336,0.011879634,0.06939143,1780
3665.2205851078033,1604.3006174133839,0.23734905,0.9604803770780563,3,0.0,822806,0.062068142,504.95,51.78916,0.01069298,0.062068142,1783
3669.8189854621887,1618.4166666231292,0.23127179,0.9729044027626514,2,0.0,823719,0.07510566,508.575,52.25945,0.011111812,0.07510566,1785
3674.4913403987885,1586.9562020503843,0.24385117,0.7888207137584686,3,0.0,825192,0.06424549,499.7,51.50291,0.010539833,0.06424549,1788
3678.989486217499,1619.3985839025643,0.24089429,0.3711498975753784,1,0.0,826192,0.06439838,511.925,52.068726,0.010434163,0.06439838,1789
3683.278915643692,1667.1043343578415,0.25386286,0.8197092413902283,3,0.0,828045,0.048366047,523.875,53.60042,0.011034805,0.048366047,1792
3687.6921684741974,1700.776141279596,0.23451425,0.8335936367511749,2,0.0,829319,0.06073482,534.55,54.14663,0.011369963,0.06073482,1794
3692.141212940216,1680.0323455369253,0.25288045,0.7904854416847229,2,0.0,830545,0.06411445,526.5,53.518593,0.011989061,0.06411445,1796
3696.771265029907,1707.3029490521512,0.23497005,0.9565375447273254,1,0.0,831522,0.06832362,533.35,54.16164,0.011392052,0.06832362,1797
3700.852763414383,1763.4256875790693,0.2324777,0.1584792137145996,1,0.0,832522,0.05891806,552.2,55.42234,0.011485332,0.05891806,1798
3705.3925511837006,1762.7748339063824,0.2369499,0.9808912165462971,2,0.0,833153,0.07454345,549.9,55.397015,0.011363074,0.07454345,1800
3709.599170446396,1791.4775229210795,0.22874846,0.9733532276004553,1,0.0,833849,0.0710881,559.925,55.862354,0.011179871,0.0710881,1801
3714.108703136444,1775.4220508707283,0.23758125,0.9165752232074738,1,0.0,834370,0.06804516,555.325,55.413464,0.013690775,0.06804516,1802
3718.626197576523,1803.2149538591846,0.22301053,0.9678055346012115,2,0.0,835240,0.08036535,564.825,56.06765,0.011076124,0.08036535,1804
3723.402140855789,1779.222951543968,0.21877466,0.9705571606755257,2,0.0,836123,0.073769435,555.4,55.493187,0.01090174,0.073769435,1806
3727.6116683483124,1709.081379856012,0.2199801,0.9689418617635965,2,0.0,836623,0.091459215,532.775,53.20645,0.010590849,0.091459215,1808
3732.224812746048,1764.732471853132,0.22052385,0.3813425898551941,1,0.0,837623,0.0473725,551.175,54.6432,0.011533761,0.0473725,1809
3736.386512517929,1737.8345971182018,0.20188464,0.9292480871081352,1,0.0,838186,0.06483911,540.25,53.907387,0.010679674,0.06483911,1810
3740.8349092006683,1713.6093466893094,0.19509695,0.9371709376573563,1,0.0,838855,0.068919465,531.975,53.127815,0.010694877,0.068919465,1811
3745.4979662895203,1755.8528436412805,0.19953904,0.9427457340061665,1,0.0,839633,0.06972936,545.45,54.202232,0.012240481,0.06972936,1812
3750.317118406296,1751.0885156197644,0.19364753,0.9575075954198837,1,0.0,840509,0.06628061,542.35,54.471474,0.012507735,0.06628061,1813
3754.907970905304,1754.3668587803131,0.19547287,0.936371423304081,1,0.0,840797,0.07587634,543.25,54.436485,0.011086546,0.07587634,1814
3759.454622745514,1774.8928066243739,0.20002176,0.9418185576796532,1,0.0,841270,0.08019984,549.35,54.900963,0.011296411,0.08019984,1815
3763.818502187729,1820.0429359484635,0.21244417,0.9615372940897942,3,0.0,842677,0.078082174,563.85,56.04595,0.011175817,0.078082174,1818
3767.9475662708282,1771.7687021023607,0.22087617,0.9630686976015568,2,0.0,843734,0.07179465,548.4,54.66873,0.01166041,0.07179465,1820
3772.1852848529816,1783.0516841025346,0.19993268,0.9676086902618408,1,0.0,844189,0.07058172,552.925,55.10847,0.012375753,0.07058172,1821
3776.5147638320923,1798.7532162293464,0.20146547,0.8916446641087532,1,0.0,844553,0.08153509,556.975,55.51535,0.011523672,0.08153509,1822
3781.1416459083557,1830.624021699016,0.20593438,0.7506362348794937,2,0.0,846080,0.069664285,569.975,56.45232,0.011153441,0.069664285,1824
3785.6532073020935,1865.0148439215468,0.20803207,0.6385450959205627,1,0.0,847029,0.06715077,582.75,57.405373,0.011132922,0.06715077,1825
3790.2656569480896,1868.2454458492793,0.1976801,0.31649357080459595,1,0.0,848029,0.05497258,582.75,57.235462,0.010396156,0.05497258,1826
3794.8656284809113,1930.3557291470454,0.19787215,0.9648576080799103,1,0.0,849016,0.07606657,602.75,58.923035,0.011760287,0.07606657,1827
